"Time","rskj-miner1","rskj-miner2","rskj-node2","rskj-miner4","rskj-miner3","rskj-node1"
2026-02-10 17:10:00,2.48 GiB,2.42 GiB,2.34 GiB,2.46 GiB,2.45 GiB,2.36 GiB
2026-02-10 17:20:00,2.46 GiB,2.46 GiB,2.37 GiB,2.48 GiB,2.48 GiB,2.38 GiB
2026-02-10 17:30:00,2.80 GiB,2.51 GiB,2.41 GiB,2.58 GiB,2.60 GiB,2.54 GiB
2026-02-10 17:40:00,2.78 GiB,2.54 GiB,2.43 GiB,2.63 GiB,2.66 GiB,2.58 GiB
2026-02-10 17:50:00,2.77 GiB,2.57 GiB,2.46 GiB,2.65 GiB,2.68 GiB,2.59 GiB
2026-02-10 18:00:00,2.87 GiB,2.61 GiB,2.51 GiB,2.68 GiB,2.70 GiB,2.62 GiB
2026-02-10 18:10:00,2.87 GiB,2.64 GiB,2.54 GiB,2.70 GiB,2.73 GiB,2.63 GiB
2026-02-10 18:20:00,2.86 GiB,2.69 GiB,2.58 GiB,2.73 GiB,2.76 GiB,2.65 GiB
2026-02-10 18:30:00,2.85 GiB,2.64 GiB,2.61 GiB,2.66 GiB,2.69 GiB,2.67 GiB
2026-02-10 18:40:00,2.94 GiB,2.66 GiB,2.62 GiB,2.69 GiB,2.71 GiB,2.69 GiB
2026-02-10 18:50:00,2.94 GiB,2.70 GiB,2.66 GiB,2.71 GiB,2.73 GiB,2.70 GiB
2026-02-10 19:00:00,2.93 GiB,2.74 GiB,2.70 GiB,2.73 GiB,2.76 GiB,2.73 GiB
2026-02-10 19:10:00,3.09 GiB,2.79 GiB,2.74 GiB,2.91 GiB,2.92 GiB,2.86 GiB
2026-02-10 19:20:00,3.13 GiB,2.83 GiB,2.76 GiB,2.97 GiB,2.99 GiB,2.91 GiB
2026-02-10 19:30:00,3.14 GiB,2.89 GiB,2.81 GiB,3.00 GiB,3.01 GiB,2.93 GiB
2026-02-10 19:40:00,3.13 GiB,2.92 GiB,2.83 GiB,3.02 GiB,3.04 GiB,2.95 GiB
2026-02-10 19:50:00,3.22 GiB,2.95 GiB,2.86 GiB,3.05 GiB,3.07 GiB,2.98 GiB
2026-02-10 20:00:00,3.26 GiB,2.98 GiB,2.91 GiB,3.12 GiB,3.11 GiB,3.00 GiB
2026-02-10 20:10:00,3.25 GiB,3.01 GiB,2.93 GiB,3.16 GiB,3.15 GiB,3.04 GiB
2026-02-10 20:20:00,3.35 GiB,3.08 GiB,2.98 GiB,3.18 GiB,3.18 GiB,3.05 GiB
2026-02-10 20:30:00,3.34 GiB,3.11 GiB,2.99 GiB,3.21 GiB,3.20 GiB,3.07 GiB
2026-02-10 20:40:00,3.34 GiB,3.14 GiB,3.02 GiB,3.24 GiB,3.23 GiB,3.10 GiB
2026-02-10 20:50:00,3.33 GiB,3.15 GiB,3.06 GiB,3.25 GiB,3.25 GiB,3.11 GiB
2026-02-10 21:00:00,3.36 GiB,3.18 GiB,3.09 GiB,3.27 GiB,3.26 GiB,3.12 GiB
2026-02-10 21:10:00,3.38 GiB,3.19 GiB,3.13 GiB,3.22 GiB,3.21 GiB,3.14 GiB
2026-02-10 21:20:00,3.38 GiB,3.23 GiB,3.16 GiB,3.25 GiB,3.24 GiB,3.16 GiB
2026-02-10 21:30:00,3.54 GiB,3.16 GiB,3.18 GiB,3.45 GiB,3.38 GiB,3.31 GiB
2026-02-10 21:40:00,3.52 GiB,3.15 GiB,3.21 GiB,3.50 GiB,3.38 GiB,3.35 GiB
2026-02-10 21:50:00,3.36 GiB,3.18 GiB,3.15 GiB,3.41 GiB,3.25 GiB,3.28 GiB
2026-02-10 22:00:00,3.35 GiB,3.21 GiB,3.18 GiB,3.44 GiB,3.27 GiB,3.30 GiB
2026-02-10 22:10:00,3.33 GiB,3.24 GiB,3.20 GiB,3.34 GiB,3.24 GiB,3.24 GiB
2026-02-10 22:20:00,3.26 GiB,3.25 GiB,3.21 GiB,3.31 GiB,3.19 GiB,3.23 GiB
2026-02-10 22:30:00,3.22 GiB,3.28 GiB,3.24 GiB,3.24 GiB,3.16 GiB,3.13 GiB
2026-02-10 22:40:00,3.06 GiB,3.35 GiB,3.28 GiB,3.20 GiB,3.14 GiB,3.10 GiB
2026-02-10 22:50:00,3.07 GiB,3.38 GiB,3.30 GiB,3.07 GiB,3.12 GiB,3.03 GiB
2026-02-10 23:00:00,3.11 GiB,3.40 GiB,3.33 GiB,3.01 GiB,3.03 GiB,2.99 GiB
2026-02-10 23:10:00,3.38 GiB,3.45 GiB,3.37 GiB,3.23 GiB,3.19 GiB,3.18 GiB
2026-02-10 23:20:00,3.45 GiB,3.48 GiB,3.39 GiB,3.28 GiB,3.25 GiB,3.22 GiB
2026-02-10 23:30:00,3.44 GiB,3.51 GiB,3.42 GiB,3.31 GiB,3.27 GiB,3.24 GiB
2026-02-10 23:40:00,3.45 GiB,3.48 GiB,3.51 GiB,3.33 GiB,3.29 GiB,3.26 GiB
2026-02-10 23:50:00,3.28 GiB,3.40 GiB,3.52 GiB,3.36 GiB,3.32 GiB,3.28 GiB
2026-02-11 00:00:00,3.71 GiB,3.04 GiB,2.94 GiB,3.66 GiB,3.53 GiB,3.56 GiB
2026-02-11 00:10:00,3.70 GiB,3.00 GiB,2.95 GiB,3.70 GiB,3.57 GiB,3.59 GiB
2026-02-11 00:20:00,3.70 GiB,2.95 GiB,3.00 GiB,3.72 GiB,3.59 GiB,3.61 GiB
2026-02-11 00:30:00,3.70 GiB,2.98 GiB,3.02 GiB,3.75 GiB,3.61 GiB,3.63 GiB
2026-02-11 00:40:00,3.75 GiB,2.98 GiB,3.08 GiB,3.68 GiB,3.45 GiB,3.66 GiB
2026-02-11 00:50:00,3.74 GiB,3.01 GiB,3.10 GiB,3.59 GiB,3.32 GiB,3.69 GiB
2026-02-11 01:00:00,3.71 GiB,3.02 GiB,3.14 GiB,3.44 GiB,3.30 GiB,3.60 GiB
2026-02-11 01:10:00,3.49 GiB,3.37 GiB,3.52 GiB,3.27 GiB,3.12 GiB,3.29 GiB
2026-02-11 01:20:00,3.51 GiB,3.38 GiB,3.55 GiB,3.21 GiB,3.08 GiB,3.29 GiB
2026-02-11 01:30:00,3.45 GiB,3.29 GiB,3.56 GiB,3.15 GiB,3.11 GiB,3.35 GiB
2026-02-11 01:40:00,3.32 GiB,3.32 GiB,3.58 GiB,3.17 GiB,3.12 GiB,3.29 GiB
2026-02-11 01:50:00,3.48 GiB,3.34 GiB,3.42 GiB,3.19 GiB,3.15 GiB,3.25 GiB
2026-02-11 02:00:00,3.48 GiB,3.37 GiB,3.32 GiB,3.22 GiB,3.17 GiB,3.27 GiB
2026-02-11 02:10:00,3.46 GiB,3.40 GiB,3.31 GiB,3.24 GiB,3.20 GiB,3.29 GiB
2026-02-11 02:20:00,3.38 GiB,3.36 GiB,3.53 GiB,3.41 GiB,3.39 GiB,3.37 GiB
2026-02-11 02:30:00,3.45 GiB,3.32 GiB,3.35 GiB,3.39 GiB,3.39 GiB,3.37 GiB
2026-02-11 02:40:00,3.36 GiB,3.45 GiB,3.34 GiB,3.34 GiB,3.34 GiB,3.37 GiB
2026-02-11 02:50:00,3.38 GiB,3.35 GiB,3.35 GiB,3.34 GiB,3.34 GiB,3.37 GiB
2026-02-11 03:00:00,3.35 GiB,3.21 GiB,3.35 GiB,3.35 GiB,3.34 GiB,3.37 GiB
2026-02-11 03:10:00,3.65 GiB,3.28 GiB,3.29 GiB,3.50 GiB,3.44 GiB,3.60 GiB
2026-02-11 03:20:00,3.63 GiB,3.28 GiB,3.22 GiB,3.50 GiB,3.41 GiB,3.55 GiB
2026-02-11 03:30:00,3.61 GiB,3.23 GiB,3.22 GiB,3.51 GiB,3.42 GiB,3.40 GiB
2026-02-11 03:40:00,3.66 GiB,3.22 GiB,3.22 GiB,3.51 GiB,3.42 GiB,3.40 GiB
2026-02-11 03:50:00,3.64 GiB,3.24 GiB,3.22 GiB,3.51 GiB,3.43 GiB,3.40 GiB
2026-02-11 04:00:00,3.46 GiB,3.31 GiB,3.27 GiB,3.61 GiB,3.54 GiB,3.52 GiB
2026-02-11 04:10:00,3.52 GiB,3.24 GiB,3.27 GiB,3.61 GiB,3.41 GiB,3.37 GiB
2026-02-11 04:20:00,3.21 GiB,3.56 GiB,3.58 GiB,3.42 GiB,3.27 GiB,3.29 GiB
2026-02-11 04:30:00,3.15 GiB,3.57 GiB,3.58 GiB,3.42 GiB,3.26 GiB,3.27 GiB
2026-02-11 04:40:00,3.07 GiB,3.57 GiB,3.58 GiB,3.39 GiB,3.21 GiB,3.24 GiB
2026-02-11 04:50:00,3.15 GiB,3.57 GiB,3.61 GiB,3.31 GiB,3.16 GiB,3.24 GiB
2026-02-11 05:00:00,3.15 GiB,3.58 GiB,3.61 GiB,3.24 GiB,3.17 GiB,3.25 GiB
2026-02-11 05:10:00,3.13 GiB,3.62 GiB,3.63 GiB,3.27 GiB,3.20 GiB,3.27 GiB
2026-02-11 05:20:00,3.22 GiB,3.63 GiB,3.63 GiB,3.29 GiB,3.22 GiB,3.29 GiB
2026-02-11 05:30:00,3.53 GiB,3.14 GiB,3.24 GiB,3.54 GiB,3.49 GiB,3.48 GiB
2026-02-11 05:40:00,3.56 GiB,3.16 GiB,3.27 GiB,3.60 GiB,3.56 GiB,3.54 GiB
2026-02-11 05:50:00,3.55 GiB,3.16 GiB,3.23 GiB,3.49 GiB,3.54 GiB,3.43 GiB
2026-02-11 06:00:00,3.61 GiB,3.28 GiB,3.47 GiB,3.31 GiB,3.36 GiB,3.29 GiB
