"Time","rskj-miner1:8080 (Copy)","rskj-miner2:8080 (Copy)","rskj-miner3:8080 (Copy)","rskj-miner4:8080 (Copy)","rskj-node1:8080 (Copy)","rskj-node2:8080 (Copy)","rskj-miner1:8080 (MarkSweepCompact)","rskj-miner2:8080 (MarkSweepCompact)","rskj-miner3:8080 (MarkSweepCompact)","rskj-miner4:8080 (MarkSweepCompact)","rskj-node1:8080 (MarkSweepCompact)","rskj-node2:8080 (MarkSweepCompact)"
2026-02-10 13:26:00,1.31 ms,1.07 ms,1.49 ms,1.53 ms,2.61 ms,1.36 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 13:28:00,797 µs,2.73 ms,2.24 ms,576 µs,2.02 ms,2.98 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 13:30:00,492 µs,1.71 ms,441 µs,271 µs,441 µs,2.00 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 13:32:00,627 µs,2.24 ms,203 µs,373 µs,542 µs,2.61 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 13:34:00,2.17 ms,2.97 ms,1.95 ms,1.20 ms,1.14 ms,2.00 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 13:36:00,1.78 ms,1.59 ms,644 µs,2.53 ms,525 µs,4.61 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 13:38:00,1.53 ms,763 µs,729 µs,881 µs,661 µs,1.14 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 13:40:00,1.66 ms,847 µs,1.75 ms,898 µs,1.27 ms,2.92 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 13:42:00,1.49 ms,1.15 ms,915 µs,864 µs,983 µs,763 µs,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 13:44:00,1.56 ms,915 µs,1.58 ms,2.02 ms,1.14 ms,3.10 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 13:46:00,2.36 ms,492 µs,1.56 ms,983 µs,2.68 ms,1.10 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 13:48:00,2.36 ms,2.02 ms,1.31 ms,2.34 ms,898 µs,3.29 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 13:50:00,1.86 ms,2.10 ms,678 µs,1.27 ms,915 µs,0 s,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 13:52:00,1.63 ms,1.90 ms,492 µs,1.07 ms,695 µs,949 µs,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 13:54:00,1.64 ms,1.42 ms,1.90 ms,763 µs,2.22 ms,2.00 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 13:56:00,2.08 ms,3.76 ms,1.10 ms,1.63 ms,1.05 ms,2.80 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 13:58:00,2.59 ms,3.24 ms,2.83 ms,2.10 ms,1.42 ms,3.73 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 14:00:00,2.07 ms,1.27 ms,2.24 ms,1.68 ms,2.46 ms,2.24 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 14:02:00,1.93 ms,2.32 ms,898 µs,1.25 ms,2.41 ms,1.39 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 14:04:00,1.92 ms,746 µs,1.29 ms,1.02 ms,881 µs,1.02 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 14:06:00,2.88 ms,1.88 ms,2.34 ms,3.31 ms,2.39 ms,2.10 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 14:08:00,2.24 ms,1.88 ms,2.66 ms,2.32 ms,3.00 ms,1.25 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 14:10:00,881 µs,1.93 ms,3.17 ms,1.05 ms,2.20 ms,6.03 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 14:12:00,2.61 ms,2.51 ms,2.08 ms,932 µs,1.03 ms,2.22 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 14:14:00,1.78 ms,1.83 ms,2.34 ms,847 µs,2.29 ms,2.03 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 14:16:00,1.68 ms,1.95 ms,949 µs,1.44 ms,1.22 ms,2.78 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 14:18:00,1.95 ms,1.93 ms,2.85 ms,2.00 ms,1.34 ms,6.34 ms,0 s,0 s,0 s,0 s,0 s,0 s
