Time,"job=""promtail"""
2026-03-05 13:41:02,0
2026-03-05 13:41:32,0
2026-03-05 13:42:02,0
2026-03-05 13:42:32,0
2026-03-05 13:43:02,0
2026-03-05 13:43:32,0
2026-03-05 13:44:02,0
2026-03-05 13:44:32,0
2026-03-05 13:45:02,2.111008
2026-03-05 13:45:32,0
2026-03-05 13:46:02,0
2026-03-05 13:46:32,0
2026-03-05 13:47:02,0
2026-03-05 13:47:32,0
2026-03-05 13:48:02,2.111008
2026-03-05 13:48:32,6.333024
2026-03-05 13:49:02,0
2026-03-05 13:49:32,10.55504
2026-03-05 13:50:02,6.333024
2026-03-05 13:50:32,2.111008
2026-03-05 13:51:02,0
2026-03-05 13:51:32,10.55504
2026-03-05 13:52:02,14.777056
2026-03-05 13:52:32,14.777056
2026-03-05 13:53:02,14.777056
2026-03-05 13:53:32,14.777056
2026-03-05 13:54:02,14.777056
2026-03-05 13:54:32,0
2026-03-05 13:55:02,0
2026-03-05 13:55:32,14.777056
2026-03-05 13:56:02,10.55504
2026-03-05 13:56:32,10.55504
2026-03-05 13:57:02,16.888064
2026-03-05 13:57:32,16.888064
2026-03-05 13:58:02,16.888064
2026-03-05 13:58:32,4.222016
2026-03-05 13:59:02,0
2026-03-05 13:59:32,16.888064
2026-03-05 14:00:02,16.888064
2026-03-05 14:00:32,0
2026-03-05 14:01:02,0
2026-03-05 14:01:32,0
2026-03-05 14:02:02,16.946984
2026-03-05 14:02:32,16.982336
2026-03-05 14:03:02,16.982336
2026-03-05 14:03:32,16.982336
2026-03-05 14:04:02,16.982336
2026-03-05 14:04:32,16.982336
2026-03-05 14:05:02,0
2026-03-05 14:05:32,0
2026-03-05 14:06:02,0
2026-03-05 14:06:32,0
2026-03-05 14:07:02,8.47904
2026-03-05 14:07:32,8.47904
2026-03-05 14:08:02,8.47904
2026-03-05 14:08:32,16.95808
2026-03-05 14:09:02,16.95808
2026-03-05 14:09:32,16.96566
2026-03-05 14:10:02,0
2026-03-05 14:10:32,0
2026-03-05 14:11:02,0
2026-03-05 14:11:32,0
2026-03-05 14:12:02,2.111008
2026-03-05 14:12:32,2.111008
2026-03-05 14:13:02,2.111008
2026-03-05 14:13:32,2.111008
2026-03-05 14:14:02,2.111008
2026-03-05 14:14:32,0
2026-03-05 14:15:02,0
2026-03-05 14:15:32,0
2026-03-05 14:16:02,0
2026-03-05 14:16:32,0
2026-03-05 14:17:02,0
2026-03-05 14:17:32,10.55504
2026-03-05 14:18:02,10.55504
2026-03-05 14:18:32,10.55504
2026-03-05 14:19:02,10.55504
2026-03-05 14:19:32,10.55504
2026-03-05 14:20:02,10.55504
2026-03-05 14:20:32,10.55504
2026-03-05 14:21:02,10.55504
2026-03-05 14:21:32,10.55504
2026-03-05 14:22:02,14.777056
2026-03-05 14:22:32,14.777056
2026-03-05 14:23:02,14.777056
2026-03-05 14:23:32,14.777056
2026-03-05 14:24:02,14.777056
2026-03-05 14:24:32,14.777056
2026-03-05 14:25:02,14.777056
2026-03-05 14:25:32,14.777056
2026-03-05 14:26:02,14.777056
2026-03-05 14:26:32,14.777056
2026-03-05 14:27:02,14.777056
2026-03-05 14:27:32,16.888064
2026-03-05 14:28:02,16.888064
2026-03-05 14:28:32,16.888064
2026-03-05 14:29:02,16.888064
2026-03-05 14:29:32,16.888064
2026-03-05 14:30:02,0
2026-03-05 14:30:32,0
2026-03-05 14:31:02,0
