Time,"name=""rskj-miner1""","name=""rskj-miner2""","name=""rskj-miner3""","name=""rskj-miner4""","name=""rskj-node1""","name=""rskj-node2"""
2026-02-23 21:04:57,-24363.391841097964,-10489.741025552603,-9846.718852374219,-10482.085589158245,-10469.361012448704,-9883.168385116727
2026-02-23 21:05:27,-98847.82233870133,-144486.56850236212,-69464.67119555846,-70100.00344839477,-69928.13545294665,-69420.49725852614
2026-02-23 21:05:57,-212005.2068965517,-130131.89655172413,-278491.0344827586,-234731.6896551724,-130023.86206896552,-129495.41379310345
2026-02-23 21:06:27,-61102.83467825368,-69899.85516242501,-69280.15725222431,-40129.00889716533,-69889.40616594249,-69277.57086695636
2026-02-23 21:06:57,-323085.1724137931,-189757,-338232.7586206896,-189821.62068965516,-189725.6896551724,-189136.24137931035
2026-02-23 21:07:27,-98890.52101651666,-144478.91452018893,-69522.39577945587,-70119.20278611082,-70026.82666114961,-69437.7780076549
2026-02-23 21:07:57,-100310.67894210543,-144645.70187234922,-69657.77042170959,-144729.25071549256,-70209.64794317436,-69619.0821006172
2026-02-23 21:08:27,-98593.58620689655,-69851.86206896552,-69376.55172413793,-69988.5172413793,-69930.3448275862,-69292.55172413793
2026-02-23 21:08:57,-471879.0647953377,-362814.75223283557,-362325.7008862374,-362884.5477430256,-362831.37349563773,-362298.49305148446
2026-02-23 21:09:27,-33321.137931034486,-10227.448275862069,-9694.827586206897,-84776.96551724138,-10212.793103448275,-9659.172413793103
2026-02-23 21:09:57,-108045.76019862753,-85135.90123797371,-10054.415669505843,-85155.38466843683,-10572.67491982482,-9986.206420911065
2026-02-23 21:10:27,-107333.73564605674,-10353.563915997102,-84217.31783854615,-10364.667747163694,-10321.286940928996,-9725.956067450601
2026-02-23 21:10:57,-31567.916135039133,-10531.742473878408,-84488.32718369598,-85068.96789544466,-10517.638539259973,-9962.481464878098
2026-02-23 21:11:27,-472899.9275837097,-334809.855512259,-186363.97806820922,-260227.11127969925,-186838.64960860717,-186315.83847718884
2026-02-23 21:11:57,-179114.3793103448,-10544.758620689656,-9959.793103448275,-10558.793103448275,-10558.724137931034,-9967.344827586207
