Time,"__name__=""jvm_memory_bytes_used"",area=""heap"",instance=""rskj-miner1:8080"",job=""rskj-jvm"",name=""rskj-miner1""","__name__=""jvm_memory_bytes_used"",area=""heap"",instance=""rskj-miner2:8080"",job=""rskj-jvm"",name=""rskj-miner2""","__name__=""jvm_memory_bytes_used"",area=""heap"",instance=""rskj-miner3:8080"",job=""rskj-jvm"",name=""rskj-miner3""","__name__=""jvm_memory_bytes_used"",area=""heap"",instance=""rskj-miner4:8080"",job=""rskj-jvm"",name=""rskj-miner4""","__name__=""jvm_memory_bytes_used"",area=""heap"",instance=""rskj-node1:8080"",job=""rskj-jvm"",name=""rskj-node1""","__name__=""jvm_memory_bytes_used"",area=""heap"",instance=""rskj-node2:8080"",job=""rskj-jvm"",name=""rskj-node2""","__name__=""jvm_memory_bytes_max"",area=""heap"",instance=""rskj-miner1:8080"",job=""rskj-jvm"",name=""rskj-miner1""","__name__=""jvm_memory_bytes_max"",area=""heap"",instance=""rskj-miner2:8080"",job=""rskj-jvm"",name=""rskj-miner2""","__name__=""jvm_memory_bytes_max"",area=""heap"",instance=""rskj-miner3:8080"",job=""rskj-jvm"",name=""rskj-miner3""","__name__=""jvm_memory_bytes_max"",area=""heap"",instance=""rskj-miner4:8080"",job=""rskj-jvm"",name=""rskj-miner4""","__name__=""jvm_memory_bytes_max"",area=""heap"",instance=""rskj-node1:8080"",job=""rskj-jvm"",name=""rskj-node1""","__name__=""jvm_memory_bytes_max"",area=""heap"",instance=""rskj-node2:8080"",job=""rskj-jvm"",name=""rskj-node2"""
2026-03-10 13:12:59,233051648,465101488,70479912,432960608,797027152,178524672,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 13:13:29,571741696,120242048,246677504,74635648,878553208,453424128,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 13:13:59,491200000,671069664,734311936,796344232,882709096,1405531136,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 13:14:29,141361664,198253360,544059392,642325624,226041984,310226944,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 13:14:59,941996544,540898072,158139904,275035576,613237256,357973496,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 13:15:29,171417600,773258736,1541825024,662031064,825752128,617305600,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 13:15:59,240485712,737181360,1910620160,726037024,187566208,1164662272,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 13:16:29,1993161728,337284496,1609189376,345982672,761481328,1716213248,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 13:16:59,241668096,698020840,1517992960,724654648,297347600,276518400,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 13:17:29,1347110912,675630088,1043500128,545670616,939890680,586763776,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 13:17:59,1137405440,226906832,716872704,167439904,788055592,1373195776,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
