Time,"__name__=""dockerstats_memory_usage_bytes"",id=""085600e4fb80"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node2""","__name__=""dockerstats_memory_usage_bytes"",id=""41b25a20e577"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner2""","__name__=""dockerstats_memory_usage_bytes"",id=""5df2743655f5"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner4""","__name__=""dockerstats_memory_usage_bytes"",id=""97e58be877c8"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node1""","__name__=""dockerstats_memory_usage_bytes"",id=""b450bfd39c8f"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner3""","__name__=""dockerstats_memory_usage_bytes"",id=""f08ce6be89cd"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner1"""
2026-03-10 13:12:59,711630848,1054793728,899035136,821186560,1145839616,1360834560
2026-03-10 13:13:29,839102464,1478332416,1370406912,1328758784,2659069952,2806374400
2026-03-10 13:13:59,1720516608,1555783680,1429352448,1405812736,2829283328,2894692352
2026-03-10 13:14:29,2443141120,1607704576,1479999488,1467834368,2808520704,2873511936
2026-03-10 13:14:59,2554671104,1640697856,1565462528,1513119744,2878824448,2941714432
2026-03-10 13:15:29,2581725184,1615679488,1650556928,1536761856,2874978304,2993213440
2026-03-10 13:15:59,2603339776,1671651328,1707307008,1554546688,2907643904,2959077376
2026-03-10 13:16:29,2608857088,1723420672,1714413568,1580769280,2934489088,2985119744
2026-03-10 13:16:59,2759757824,1748107264,1702334464,1598607360,2996523008,3009286144
2026-03-10 13:17:29,2802814976,1684119552,1754329088,1599995904,3032625152,3041181696
2026-03-10 13:17:59,2807349248,1701986304,1779474432,1615540224,2973728768,3052232704
2026-03-10 13:18:29,2808586240,1750179840,1713631232,1618436096,3020541952,3081502720
2026-03-10 13:18:59,2813796352,1774579712,1734758400,1643823104,3130470400,3099684864
2026-03-10 13:19:29,2835193856,1825878016,1786257408,1659035648,3184898048,3062075392
2026-03-10 13:19:59,2853294080,1762979840,1808007168,1668608000,3118338048,3080507392
2026-03-10 13:20:29,2855862272,1788907520,1825316864,1670893568,3150241792,3096657920
2026-03-10 13:20:59,2827173888,1806917632,1837395968,1682755584,3172675584,3115241472
2026-03-10 13:21:29,2849419264,1871790080,1804861440,1694494720,3232677888,3166490624
2026-03-10 13:21:59,2860572672,1924157440,1851645952,1719214080,3208335360,3131731968
2026-03-10 13:22:29,2890584064,1871310848,1894813696,1732292608,3263123456,3169124352
2026-03-10 13:22:59,2892910592,1923334144,1850744832,1751572480,3248984064,3221311488
2026-03-10 13:23:29,2893864960,1958666240,1885351936,1752420352,3292946432,3258511360
2026-03-10 13:23:59,2894798848,1976848384,1908051968,1759637504,3316621312,3185139712
2026-03-10 13:24:29,2894901248,1896796160,1917435904,1759903744,3328507904,3198758912
2026-03-10 13:24:59,2894979072,1897086976,1917743104,1760059392,3328823296,3199078400
2026-03-10 13:25:29,2897793024,1905192960,1911939072,1766227968,3310002176,3207192576
2026-03-10 13:25:59,2902134784,1920847872,1942839296,1768169472,3319443456,3218698240
2026-03-10 13:26:29,2903461888,1929519104,1936982016,1784324096,3330269184,3232321536
2026-03-10 13:26:59,2910699520,1955565568,1987272704,1787473920,3348164608,3252981760
2026-03-10 13:27:29,2913329152,2018029568,1953665024,1789902848,3313831936,3317088256
2026-03-10 13:27:59,2961969152,2064556032,1961644032,1806540800,3369590784,3274227712
2026-03-10 13:28:29,2962358272,2026192896,2032218112,1817964544,3419648000,3325984768
2026-03-10 13:28:59,3027046400,2065698816,1975386112,1825796096,3370684416,3368521728
