Time,"exported_name=""BLOCKCHAIN_FLUSH"",instance=""rskj-miner1:8080"",job=""rskj-jvm"",name=""rskj-miner1""","exported_name=""BLOCKCHAIN_FLUSH"",instance=""rskj-miner2:8080"",job=""rskj-jvm"",name=""rskj-miner2""","exported_name=""BLOCKCHAIN_FLUSH"",instance=""rskj-miner3:8080"",job=""rskj-jvm"",name=""rskj-miner3""","exported_name=""BLOCKCHAIN_FLUSH"",instance=""rskj-miner4:8080"",job=""rskj-jvm"",name=""rskj-miner4""","exported_name=""BLOCKCHAIN_FLUSH"",instance=""rskj-node1:8080"",job=""rskj-jvm"",name=""rskj-node1""","exported_name=""BLOCKCHAIN_FLUSH"",instance=""rskj-node2:8080"",job=""rskj-jvm"",name=""rskj-node2"""
2026-03-10 13:12:59,0,0,0,0,0,0
2026-03-10 13:13:29,0,0,0,0,0,0
2026-03-10 13:13:59,0,0,0,0,0,0
2026-03-10 13:14:29,0,0,0,0,0,0
2026-03-10 13:14:59,0,0,0,0,0,0
2026-03-10 13:15:29,0,0,0,0,0,0
2026-03-10 13:15:59,0,0,0,0,0,0
2026-03-10 13:16:29,0,0,0,0,0,0
2026-03-10 13:16:59,0,0,0,0,0,0
2026-03-10 13:17:29,0,0,0,0,0,0
2026-03-10 13:17:59,0,0,0,0,0,0
2026-03-10 13:18:29,0,0,0,0,0,0
2026-03-10 13:18:59,0,0,0,0,0,0
2026-03-10 13:19:29,0,0,0,0,0,0
2026-03-10 13:19:59,0,0,0,0,0,0
2026-03-10 13:20:29,0,0,0,0,0,0
2026-03-10 13:20:59,0,0,0,0,0,0
2026-03-10 13:21:29,0,0,0,0,0,0
2026-03-10 13:21:59,0,0,0,0,0,0
2026-03-10 13:22:29,0,0,0,0,0,0
2026-03-10 13:22:59,0,0,0,0,0,0
2026-03-10 13:23:29,0,0,0,0,0,0
2026-03-10 13:23:59,0,0,0,0,0,0
2026-03-10 13:24:29,0,0,0,0,0,0
2026-03-10 13:24:59,0,0,0,0,0,0
2026-03-10 13:25:29,0,0,0,0,0,0
2026-03-10 13:25:59,0,0,0,0,0,0
2026-03-10 13:26:29,0,0,0,0,0,0
2026-03-10 13:26:59,0,0,0,0,0,0
2026-03-10 13:27:29,0,0,0,0,0,0
2026-03-10 13:27:59,0,0,0,0,0,0
2026-03-10 13:28:29,0,0,0,0,0,0
2026-03-10 13:28:59,0,0,1.442863918,2.716192877,2.104920709,0
2026-03-10 13:29:29,0,0,1.442863918,2.716192877,2.104920709,0
2026-03-10 13:29:59,0,0,1.442863918,2.716192877,2.104920709,0
2026-03-10 13:30:29,0,0,1.442863918,2.716192877,2.104920709,0
2026-03-10 13:30:59,0,0,1.442863918,2.716192877,2.104920709,0
2026-03-10 13:31:29,0,0,1.442863918,2.716192877,2.104920709,0
2026-03-10 13:31:59,0,0,1.442863918,2.716192877,2.104920709,0
2026-03-10 13:32:29,0,0,1.442863918,2.716192877,2.104920709,0
2026-03-10 13:32:59,0,0,1.442863918,2.716192877,2.104920709,0
2026-03-10 13:33:29,0,0,1.442863918,2.716192877,2.104920709,0
2026-03-10 13:33:59,0,0,1.442863918,2.716192877,2.104920709,0
2026-03-10 13:34:29,0,0,1.442863918,2.716192877,2.104920709,0
2026-03-10 13:34:59,0,0,1.442863918,2.716192877,2.104920709,0
2026-03-10 13:35:29,0,0,1.442863918,2.716192877,2.104920709,0
2026-03-10 13:35:59,0,0,1.442863918,2.716192877,2.104920709,0
2026-03-10 13:36:29,0,0,1.442863918,2.716192877,2.104920709,0
2026-03-10 13:36:59,0,0,1.442863918,2.716192877,2.104920709,0
2026-03-10 13:37:29,0,0,1.442863918,2.716192877,2.104920709,0
2026-03-10 13:37:59,0,0,1.442863918,2.716192877,2.104920709,0
2026-03-10 13:38:29,0,0,1.442863918,2.716192877,2.104920709,0
2026-03-10 13:38:59,0,0,1.442863918,2.716192877,2.104920709,0
2026-03-10 13:39:29,0,0,1.442863918,2.716192877,2.104920709,0
2026-03-10 13:39:59,0,0,1.442863918,2.716192877,2.104920709,0
2026-03-10 13:40:29,0,0,1.442863918,2.716192877,2.104920709,0
2026-03-10 13:40:59,0,0,1.442863918,2.716192877,2.104920709,0
2026-03-10 13:41:29,0,0,1.442863918,2.716192877,2.104920709,0
2026-03-10 13:41:59,0,0,1.442863918,2.716192877,2.104920709,0
2026-03-10 13:42:29,0,0,1.442863918,2.716192877,2.104920709,0
2026-03-10 13:42:59,0,0,1.442863918,2.716192877,2.104920709,0
2026-03-10 13:43:29,0,0,1.442863918,2.716192877,2.104920709,0
2026-03-10 13:43:59,0,0,1.442863918,2.716192877,2.104920709,0
2026-03-10 13:44:29,0,0,1.442863918,2.716192877,2.104920709,0
2026-03-10 13:44:59,0,0,1.442863918,2.716192877,2.104920709,0
2026-03-10 13:45:29,0,0,1.442863918,2.716192877,2.104920709,0
2026-03-10 13:45:59,0,0,1.442863918,2.716192877,2.104920709,0
2026-03-10 13:46:29,0,0,1.442863918,2.716192877,2.104920709,0
2026-03-10 13:46:59,0,0,1.442863918,2.716192877,2.104920709,0
2026-03-10 13:47:29,0,0,1.442863918,2.716192877,2.104920709,0
2026-03-10 13:47:59,0,0,1.442863918,2.716192877,2.104920709,0
2026-03-10 13:48:29,0,0,1.442863918,2.716192877,2.104920709,0
2026-03-10 13:48:59,0,0,1.442863918,2.716192877,2.104920709,0
2026-03-10 13:49:29,0,0,1.442863918,2.716192877,2.104920709,0
2026-03-10 13:49:59,0,0,1.534192334,2.27823746,2.272651668,0
2026-03-10 13:50:29,0,0,1.534192334,2.27823746,2.272651668,0
2026-03-10 13:50:59,0,0,1.534192334,2.27823746,2.272651668,0
2026-03-10 13:51:29,0,0,1.534192334,2.27823746,2.272651668,0
2026-03-10 13:51:59,0,0,1.534192334,2.27823746,2.272651668,0
2026-03-10 13:52:29,0,0,1.534192334,2.27823746,2.272651668,0
2026-03-10 13:52:59,0,0,1.534192334,2.27823746,2.272651668,0
2026-03-10 13:53:29,0,0,1.534192334,2.27823746,2.272651668,0
2026-03-10 13:53:59,0,0,1.534192334,2.27823746,2.272651668,0
2026-03-10 13:54:29,0,0,1.534192334,2.27823746,2.272651668,0
2026-03-10 13:54:59,0,0,1.534192334,2.27823746,2.272651668,0
2026-03-10 13:55:29,0,0,1.534192334,2.27823746,2.272651668,0
2026-03-10 13:55:59,0,0,1.534192334,2.27823746,2.272651668,0
2026-03-10 13:56:29,0,0,1.534192334,2.27823746,2.272651668,0
2026-03-10 13:56:59,0,0,1.534192334,2.27823746,2.272651668,0
2026-03-10 13:57:29,0,0,1.534192334,2.27823746,2.272651668,0
2026-03-10 13:57:59,0,0,1.534192334,2.27823746,2.272651668,0
2026-03-10 13:58:29,0,0,1.534192334,2.27823746,2.272651668,0
2026-03-10 13:58:59,0,0,1.534192334,2.27823746,2.272651668,0
2026-03-10 13:59:29,0,0,1.534192334,2.27823746,2.272651668,0
2026-03-10 13:59:59,0,0,1.534192334,2.27823746,2.272651668,0
2026-03-10 14:00:29,0,0,1.534192334,2.27823746,2.272651668,0
2026-03-10 14:00:59,0,0,1.534192334,2.27823746,2.272651668,0
2026-03-10 14:01:29,0,0,1.534192334,2.27823746,2.272651668,0
2026-03-10 14:01:59,0,0,1.534192334,2.27823746,2.272651668,0
2026-03-10 14:02:29,0,0,1.534192334,2.27823746,2.272651668,0
2026-03-10 14:02:59,0,0,1.534192334,2.27823746,2.272651668,0
2026-03-10 14:03:29,0,0,1.534192334,2.27823746,2.272651668,0
2026-03-10 14:03:59,0,0,1.534192334,2.27823746,2.272651668,0
2026-03-10 14:04:29,0,0,1.534192334,2.27823746,2.272651668,0
2026-03-10 14:04:59,0,0,1.534192334,2.27823746,2.272651668,0
2026-03-10 14:05:29,0,0,1.534192334,2.27823746,2.272651668,0
2026-03-10 14:05:59,0,0,1.534192334,2.27823746,2.272651668,0
2026-03-10 14:06:29,0,0,1.534192334,2.27823746,2.272651668,0
2026-03-10 14:06:59,0,0,1.534192334,2.27823746,2.272651668,0
2026-03-10 14:07:29,0,0,1.534192334,2.27823746,2.272651668,0
2026-03-10 14:07:59,0,0,1.534192334,2.27823746,2.272651668,0
2026-03-10 14:08:29,0,0,1.534192334,2.27823746,2.272651668,0
2026-03-10 14:08:59,0,0,1.534192334,2.27823746,2.272651668,0
2026-03-10 14:09:29,0,0,1.534192334,2.27823746,2.272651668,0
2026-03-10 14:09:59,0,0,1.534192334,2.27823746,2.272651668,0
2026-03-10 14:10:29,0,0,1.534192334,2.27823746,2.272651668,0
2026-03-10 14:10:59,0,0,1.534192334,2.27823746,2.272651668,0
2026-03-10 14:11:29,0,0,1.534192334,2.27823746,2.272651668,0
2026-03-10 14:11:59,0,0,1.534192334,2.27823746,2.272651668,0
2026-03-10 14:12:29,0,0,1.534192334,2.27823746,2.272651668,0
2026-03-10 14:12:59,0,0,1.534192334,2.27823746,2.272651668,0
