Time,"__name__=""dockerstats_memory_usage_bytes"",id=""02a2e3e124fe"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node2""","__name__=""dockerstats_memory_usage_bytes"",id=""41d1baaf2c95"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node1""","__name__=""dockerstats_memory_usage_bytes"",id=""56826f41bc79"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner1""","__name__=""dockerstats_memory_usage_bytes"",id=""6b9f86a23579"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node2""","__name__=""dockerstats_memory_usage_bytes"",id=""77eea1274db0"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner3""","__name__=""dockerstats_memory_usage_bytes"",id=""b98b00f798aa"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node2""","__name__=""dockerstats_memory_usage_bytes"",id=""c09c05c2ffc8"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner2""","__name__=""dockerstats_memory_usage_bytes"",id=""efdc5cfa15c3"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner4"""
2026-02-27 17:04:01,,4226052096,4035772416,,4292022272,5927247872,3717148672,3874635776
2026-02-27 17:04:31,,4226437120,4057100288,,4292050944,5927370752,3717259264,3874709504
2026-02-27 17:05:01,,4228661248,4068081664,,4292055040,5928316928,3719008256,3876548608
2026-02-27 17:05:31,,3858010112,4085473280,,4293197824,5929676800,3729285120,3879473152
2026-02-27 17:06:01,,3861213184,4090601472,,4289970176,5930160128,3730534400,3886206976
2026-02-27 17:06:31,,3862675456,4095299584,,4290056192,5931089920,3736682496,3887222784
2026-02-27 17:07:01,,3877748736,4116156416,,4290056192,5932167168,3738169344,3893501952
2026-02-27 17:07:31,,3881246720,4135948288,,4290076672,5933105152,3748691968,3894489088
2026-02-27 17:08:01,,3882983424,4149641216,,4290093056,5936332800,3751550976,3895648256
2026-02-27 17:08:31,,3884937216,4157403136,,4290097152,5937729536,3753480192,3902390272
2026-02-27 17:09:01,,3885989888,4162605056,,4290162688,5938888704,3754782720,3903119360
2026-02-27 17:09:31,,3889061888,4171120640,,4290220032,5941649408,3760369664,3907596288
2026-02-27 17:10:01,,3894398976,4191236096,,4290224128,5947748352,3772633088,3911950336
2026-02-27 17:10:31,,3904372736,4210679808,,4290785280,5954920448,3777998848,3927527424
2026-02-27 17:11:01,,3906379776,4224438272,,4291518464,6105239552,3789963264,3928113152
2026-02-27 17:11:31,,3917053952,4237152256,,4291596288,6172200960,3793563648,3943510016
2026-02-27 17:12:01,,3918073856,4257546240,,4291608576,6171422720,3806224384,3943550976
2026-02-27 17:12:31,,3920752640,4277104640,,4291641344,6173773824,3809366016,3954659328
2026-02-27 17:13:01,,3929767936,4288589824,,4291641344,6174253056,3815198720,3955204096
2026-02-27 17:13:31,,3930726400,4293582848,,4291649536,6175137792,4294180864,3956137984
2026-02-27 17:14:01,,3932454912,4293603328,,4291719168,6176456704,3838013440,3964014592
