Time,"name=""rskj-miner1""","name=""rskj-miner2"""
2026-03-04 15:42:00,2.739640918,
2026-03-04 15:43:00,2.739640918,
2026-03-04 15:44:00,,1.520437834
2026-03-04 15:45:00,,2.508109502
2026-03-04 15:46:00,1.874952709,
2026-03-04 15:47:00,1.759611584,
2026-03-04 15:48:00,,1.054706417
2026-03-04 15:49:00,,1.056136208
2026-03-04 15:50:00,,1.583855376
2026-03-04 15:51:00,,2.329901501
2026-03-04 15:52:00,,2.546661251
2026-03-04 15:53:00,,3.310926252
2026-03-04 15:57:00,3.275289501,
2026-03-04 15:59:00,3.425273335,
2026-03-04 16:00:00,3.339111627,
2026-03-04 16:03:00,,3.254060085
2026-03-04 16:06:00,,3.668819043
2026-03-04 16:08:00,,3.922680918
2026-03-04 16:09:00,,3.510201752
2026-03-04 16:10:00,,5.649730211
2026-03-04 16:13:00,1.020042251,8.113240962
2026-03-04 16:14:00,,5.712969503
2026-03-04 16:15:00,,3.433146002
2026-03-04 16:16:00,,4.618924669
2026-03-04 16:20:00,,1.391796626
2026-03-04 16:23:00,,1.218082417
2026-03-04 16:24:00,,1.218082417
2026-03-04 16:25:00,,1.218082417
2026-03-04 16:27:00,,1.820870209
2026-03-04 16:28:00,,1.245344959
2026-03-04 16:29:00,,1.434865292
2026-03-04 16:30:00,,1.969920875
2026-03-04 16:32:00,,1.321547543
2026-03-04 16:33:00,,1.002969167
2026-03-04 16:34:00,,2.953251585
2026-03-04 16:37:00,,2.604716585
2026-03-04 16:38:00,,1.954811751
2026-03-04 16:40:00,,2.041529834
2026-03-04 16:42:00,,1.224823417
