Time,"name=""rskj-miner1""","name=""rskj-miner2""","name=""rskj-node1"""
2026-03-11 23:07:23,,,3.185615793
2026-03-11 23:12:23,,,2.708770793
2026-03-11 23:17:23,,,1.018436334
2026-03-11 23:18:23,,,1.346625959
2026-03-11 23:19:23,,,2.900260501
2026-03-11 23:30:23,,,2.435507418
2026-03-11 23:31:23,,,2.435507418
2026-03-11 23:53:23,,,5.03704721
2026-03-11 23:55:23,,,1.290757376
2026-03-11 23:58:23,,,3.46854696
2026-03-12 00:01:23,,,4.802088877
2026-03-12 00:03:23,,,1.023067
2026-03-12 00:12:23,,,3.944795335
2026-03-12 00:13:23,,,1.012145376
2026-03-12 00:31:23,,,6.268415961
2026-03-12 00:53:23,,,1.839379084
2026-03-12 00:57:23,,,3.035681334
2026-03-12 01:16:23,,,1.026193084
2026-03-12 01:25:23,,,3.722972169
2026-03-12 01:30:23,,,2.179098501
2026-03-12 01:33:23,,,1.876457251
2026-03-12 01:38:23,,,4.153885585
2026-03-12 01:44:23,,,1.795205959
2026-03-12 01:51:23,,,2.709873252
2026-03-12 01:53:23,,,5.096326002
2026-03-12 02:17:23,,,2.720325751
2026-03-12 02:30:23,,,2.727123876
2026-03-12 02:45:23,,,1.028395334
2026-03-12 02:52:23,,,4.060003418
2026-03-12 02:54:23,,,1.4040815
2026-03-12 02:59:23,,,1.095950667
2026-03-12 07:13:23,,1.120824876,
2026-03-12 07:29:23,,1.182897792,
2026-03-12 07:46:23,1.077882334,,
2026-03-12 09:11:23,1.195981042,,
