timestamp,container,cgrp_total_mb,rss_mb,cache_mb,nmt_total_mb,heap_comm_mb,gc_mb,threads_mb,metaspace_mb,nmt_other_mb,db_fds
2026-03-17 17:26:17,rskj-node1,3380,3204,152,3356,3072,159,5,38,284,41
2026-03-17 17:26:18,rskj-node2,3393,3210,153,3356,3072,158,5,38,284,41
2026-03-17 17:26:49,rskj-miner1,5358,4769,552,5506,5120,237,8,38,386,41
2026-03-17 17:26:49,rskj-miner2,5308,4747,522,5504,5120,237,8,38,384,41
2026-03-17 17:26:50,rskj-node1,3384,3206,153,3356,3072,159,5,38,284,41
2026-03-17 17:26:51,rskj-node2,3394,3211,154,3356,3072,158,5,38,284,41
2026-03-17 17:27:22,rskj-miner1,5366,4769,559,5506,5120,237,8,38,386,41
2026-03-17 17:27:22,rskj-miner2,5318,4748,530,5504,5120,237,8,38,384,41
2026-03-17 17:27:23,rskj-node1,3383,3207,153,3356,3072,159,5,38,284,41
2026-03-17 17:27:24,rskj-node2,3396,3211,154,3356,3072,158,5,38,284,41
2026-03-17 17:27:55,rskj-miner1,5372,4771,563,5506,5120,237,8,38,386,41
2026-03-17 17:27:56,rskj-miner2,5327,4752,536,5504,5120,237,8,38,384,41
2026-03-17 17:27:56,rskj-node1,3384,3207,153,3356,3072,159,5,38,284,41
2026-03-17 17:27:57,rskj-node2,3395,3211,154,3356,3072,158,5,38,284,41
2026-03-17 17:28:28,rskj-miner1,5375,4771,566,5506,5120,237,8,38,386,41
2026-03-17 17:28:29,rskj-miner2,5334,4753,541,5505,5120,237,8,38,385,41
2026-03-17 17:28:29,rskj-node1,3385,3207,154,3356,3072,159,5,38,284,41
2026-03-17 17:28:30,rskj-node2,3396,3211,155,3356,3072,158,5,38,284,41
2026-03-17 17:29:01,rskj-miner1,5387,4778,571,5506,5120,237,8,38,386,41
2026-03-17 17:29:02,rskj-miner2,5347,4763,545,5504,5120,237,8,38,384,41
2026-03-17 17:29:03,rskj-node1,3388,3209,155,3356,3072,159,5,38,284,41
2026-03-17 17:29:03,rskj-node2,3400,3213,156,3356,3072,158,5,38,284,41
2026-03-17 17:29:35,rskj-miner1,5406,4782,586,5506,5120,237,8,38,386,41
2026-03-17 17:29:36,rskj-miner2,5355,4766,549,5505,5120,237,8,38,385,41
2026-03-17 17:29:36,rskj-node1,3391,3209,156,3356,3072,159,5,38,284,41
2026-03-17 17:29:37,rskj-node2,3401,3216,157,3356,3072,158,5,38,284,41
2026-03-17 17:30:09,rskj-miner1,5372,4789,545,5506,5120,237,8,38,386,41
2026-03-17 17:30:10,rskj-miner2,5377,4772,566,5505,5120,237,8,38,385,41
2026-03-17 17:30:10,rskj-node1,3391,3210,157,3356,3072,159,5,38,284,41
2026-03-17 17:30:11,rskj-node2,3402,3215,158,3356,3072,158,5,38,284,41
2026-03-17 17:30:42,rskj-miner1,5403,4792,572,5506,5120,237,8,39,386,41
2026-03-17 17:30:43,rskj-miner2,5303,4775,490,5505,5120,237,8,38,385,41
2026-03-17 17:30:44,rskj-node1,3393,3210,157,3356,3072,159,5,38,284,41
2026-03-17 17:30:44,rskj-node2,3403,3215,158,3356,3072,158,5,38,284,41
2026-03-17 17:31:15,rskj-miner1,5422,4795,589,5506,5120,237,8,39,386,41
2026-03-17 17:31:16,rskj-miner2,5319,4783,498,5505,5120,237,8,38,385,41
2026-03-17 17:31:17,rskj-node1,3394,3211,158,3356,3072,159,5,38,284,41
2026-03-17 17:31:17,rskj-node2,3405,3216,160,3356,3072,158,5,38,284,41
2026-03-17 17:31:48,rskj-miner1,5443,4796,607,5506,5120,237,8,39,386,41
2026-03-17 17:31:49,rskj-miner2,5329,4786,505,5505,5120,237,8,38,385,41
2026-03-17 17:31:50,rskj-node1,3395,3211,159,3356,3072,159,5,38,284,41
2026-03-17 17:31:50,rskj-node2,3404,3216,160,3356,3072,158,5,38,284,41
2026-03-17 17:32:21,rskj-miner1,5462,4797,626,5506,5120,237,8,39,386,41
2026-03-17 17:32:22,rskj-miner2,5342,4789,514,5505,5120,237,8,38,385,41
2026-03-17 17:32:23,rskj-node1,3396,3212,160,3356,3072,159,5,38,284,41
2026-03-17 17:32:24,rskj-node2,3407,3216,161,3356,3072,158,5,38,284,42
2026-03-17 17:32:55,rskj-miner1,5395,4801,556,5506,5120,237,8,39,386,42
2026-03-17 17:32:56,rskj-miner2,5355,4794,522,5505,5120,237,8,38,385,42
2026-03-17 17:32:57,rskj-node1,3398,3213,160,3356,3072,159,5,38,284,42
2026-03-17 17:32:57,rskj-node2,3420,3228,161,3356,3072,158,5,38,284,42
2026-03-17 17:33:14,rskj-miner1,5402,4803,560,5506,5120,237,8,39,386,42
2026-03-17 17:33:15,rskj-miner2,5357,4795,524,5505,5120,237,8,38,385,42
2026-03-17 17:33:15,rskj-node1,3397,3213,161,3370,3072,159,5,38,298,42
2026-03-17 17:33:16,rskj-node2,3420,3228,162,3356,3072,158,5,38,284,42
2026-03-17 17:33:47,rskj-miner1,5411,4805,567,5506,5120,237,8,39,386,42
2026-03-17 17:33:48,rskj-miner2,5365,4796,528,5505,5120,237,8,38,385,42
2026-03-17 17:33:49,rskj-node1,3399,3214,161,3356,3072,159,5,38,284,42
2026-03-17 17:33:49,rskj-node2,3422,3230,162,3356,3072,158,5,38,284,42
2026-03-17 17:34:20,rskj-miner1,5419,4806,574,5506,5120,237,8,39,386,42
2026-03-17 17:34:21,rskj-miner2,5369,4799,532,5505,5120,237,8,38,385,42
2026-03-17 17:34:22,rskj-node1,3401,3214,162,3356,3072,159,5,38,284,42
2026-03-17 17:34:22,rskj-node2,3422,3229,163,3356,3072,158,5,38,284,42
2026-03-17 17:34:53,rskj-miner1,5427,4809,580,5506,5120,237,8,39,386,42
2026-03-17 17:34:55,rskj-miner2,5378,4804,535,5505,5120,237,8,38,385,42
2026-03-17 17:34:55,rskj-node1,3403,3215,163,3356,3072,159,5,38,284,42
2026-03-17 17:34:56,rskj-node2,3516,3322,164,3356,3072,158,5,38,284,42
2026-03-17 17:35:28,rskj-miner1,5433,4810,584,5510,5120,237,8,39,390,42
2026-03-17 17:35:28,rskj-miner2,5381,4803,537,5508,5120,237,8,38,388,42
2026-03-17 17:35:29,rskj-node1,3422,3234,163,3356,3072,159,5,38,284,42
2026-03-17 17:35:30,rskj-node2,3517,3323,164,3356,3072,158,5,38,284,42
2026-03-17 17:36:01,rskj-miner1,5437,4810,588,5507,5120,237,8,39,387,42
2026-03-17 17:36:02,rskj-miner2,5389,4810,540,5505,5120,237,8,38,385,42
2026-03-17 17:36:02,rskj-node1,3422,3234,164,3356,3072,159,5,38,284,42
2026-03-17 17:36:03,rskj-node2,3519,3323,164,3356,3072,158,5,38,284,42
2026-03-17 17:36:34,rskj-miner1,5445,4815,591,5507,5120,237,8,39,387,42
2026-03-17 17:36:35,rskj-miner2,5392,4811,541,5505,5120,237,8,38,385,42
2026-03-17 17:36:35,rskj-node1,3422,3234,164,3356,3072,159,5,38,284,42
2026-03-17 17:36:36,rskj-node2,3519,3324,165,3356,3072,158,5,38,284,42
