Time,"name=""rskj-miner1""","name=""rskj-miner2""","name=""rskj-miner3""","name=""rskj-miner4""","name=""rskj-node1""","name=""rskj-node2"""
2026-03-10 16:43:51,-436940.58415807434,-414830.44242904923,-551739.2668712713,-745535.3632883892,-555620.9869305837,-425552.53629435494
2026-03-10 16:44:21,-304064.0853553605,-616388.9175701257,-547640.9568060575,-336735.01979005337,-415587.0934434693,-249861.33195663398
2026-03-10 16:44:51,-433252.8965517241,-418031.1379310345,-697531.172413793,-521148.3448275862,-572671.6896551724,-579244.6896551724
2026-03-10 16:45:21,-336262.5952619055,-347396.66885064996,-360992.3790475533,-352586.7443704955,-360518.46615400526,-328064.07117486803
2026-03-10 16:45:51,-11469.84794676413,-13613.936489328691,-12918.767024100956,-13945.247043409305,-14018.618763576183,-11483.949936213496
2026-03-10 16:46:21,-319151.4137931034,-165902.0344827586,-326526.6206896552,-127543.8275862069,-347408.6206896552,-160003.06896551725
2026-03-10 16:46:51,-232931.06896551725,-416557,-228709.41379310345,-322046.4482758621,-262941.3793103448,-255000.8275862069
2026-03-10 16:47:21,-716423.791949781,-370382.36815783125,-464749.83616735076,-906460.3869899632,-359023.1780084848,-565803.8147138965
2026-03-10 16:47:51,-649135.7007412515,-697020.9274263057,-608794.4147560765,-769964.8336493707,-806555.0422340975,-702638.6140320634
2026-03-10 16:48:21,-841574.7094727403,-796931.2045242938,-1088961.9986896098,-664764.6125728473,-1057126.0043449772,-911317.9075140521
2026-03-10 16:48:51,-865614.944312265,-728936.381504086,-819921.6578738663,-829410.192751974,-809852.1775111202,-708267.4735353952
2026-03-10 16:49:21,-128153.43769395215,-219828.66698848357,-324595.33825253433,-175714.08868353907,-206198.74491414387,-161320.1503344597
2026-03-10 16:49:51,-235260.22484309267,-98646.5963169874,-98364.43892682255,-59755.74177529486,-159434.37478446792,-57467.51500103456
2026-03-10 16:50:21,-389103.4340091022,-289008.2402427251,-395924.9069093918,-245752.034202179,-359196.5590952972,-269082.02316921804
2026-03-10 16:50:51,-884167.752836109,-749469.3286438398,-606236.1642701975,-688222.2337160787,-715839.488293507,-649028.2404055032
2026-03-10 16:51:21,-1000979.4496931246,-813216.0885456175,-864993.448727674,-991418.2814978277,-718162.1957106406,-681295.531342666
2026-03-10 16:51:51,-421623.4612599566,-616971.0354815351,-412111.72028550744,-623191.6140822731,-644958.691079618,-490869.9355194649
2026-03-10 16:52:21,-520478.3088488861,-436096.28250224155,-375986.9301331126,-582463.1009035106,-474961.16973584384,-446256.7418442651
2026-03-10 16:52:51,-353780.70477898075,-404186.2974967244,-652941.0385490656,-366626.68091855734,-268359.76829184196,-240253.2583959727
2026-03-10 16:53:21,-328956.1693909925,-362963.1698737844,-380850.1965652804,-503031.48492999515,-363285.70935926615,-412003.27608800604
2026-03-10 16:53:51,-1106924.8620689656,-765006.8620689654,-541395.6896551724,-931649.8275862068,-837528.4137931034,-657581.2413793104
2026-03-10 16:54:21,-308500.5689851374,-435539.77723369765,-308990.31001069,-423502.6380220007,-423805.13121142105,-271904.72085244313
2026-03-10 16:54:51,-428448.2413793103,-715402.1379310344,-690121.2413793104,-489785.1034482759,-714622.9655172414,-615593.8275862068
2026-03-10 16:55:21,-427535.0689655172,-551958.448275862,-516372.3448275862,-413616.1034482759,-540493.8275862068,-503951.6551724138
2026-03-10 16:55:51,-258190,-270646.2068965517,-254544.75862068965,-274158.2413793103,-251128.96551724136,-241030.6896551724
2026-03-10 16:56:21,-221021.3793103448,-418079.5862068965,-369204.5517241379,-184413.89655172414,-329677.275862069,-212203.1724137931
2026-03-10 16:56:51,-114219.29522101925,-181169.6089924833,-108006.44783118406,-255697.91738500795,-142228.3635611337,-68968.38149093166
2026-03-10 16:57:21,-242654.5278984758,-77638.69922063591,-59398.406786674954,-109897.88950962137,-70907.47637768123,-136661.28698530936
2026-03-10 16:57:51,-768023.9293841805,-696889.8007033998,-1106283.670091718,-908439.8662161231,-854886.1802634301,-713719.5710640646
2026-03-10 16:58:21,-199573.44827586206,-202991,-337574.2068965517,-199589.89655172414,-194782.0344827586,-253755.3448275862
2026-03-10 16:58:51,-167162.5242315148,-143158.71642204374,-282175.50540016615,-142017.37745776793,-130091.69897535308,-128585.64109664912
2026-03-10 16:59:21,-624698.8516845407,-218232.80113107344,-323769.5437773716,-214853.6846098141,-204477.7061277975,-326692.2997344736
2026-03-10 16:59:51,-370086.4048546702,-404266.9034237838,-395783.7120297901,-331227.94193704106,-315287.7288556357,-332602.1790849223
2026-03-10 17:00:21,-308696.8171316252,-210670.264491879,-285460.08483051136,-499092.96872305934,-313878.20269664464,-275562.57112314214
2026-03-10 17:00:51,-421894.7586206896,-529557.8620689656,-291743.5517241379,-685756.8275862068,-516139.9655172414,-418496.0689655172
2026-03-10 17:01:21,-385820.2351805234,-322451.15348805126,-610031.6562640091,-450874.03013897024,-554081.7269561018,-407882.6166419531
2026-03-10 17:01:51,-562513.1601642002,-407199.6274448929,-760619.2348821966,-319998.3786953672,-441341.129393908,-454981.993169823
2026-03-10 17:02:21,-284307.03205791104,-286470.56187521544,-351264.32264736295,-424493.79524301965,-282031.19613926235,-245909.16925198206
2026-03-10 17:02:51,-275282.6649194799,-249895.58260629672,-284162.24697403354,-255557.98475809506,-265698.9896203317,-258957.41232456287
2026-03-10 17:03:21,-207047.24463756123,-468739.91309745505,-291245.3617490862,-425725.7741913236,-320514.20787640533,-224780.70901441484
2026-03-10 17:03:51,-277470.3448275862,-297585.1034482759,-393173.1034482759,-62549.65517241379,-225124.89655172414,-268586.5172413793
2026-03-10 17:04:21,-707575.556934961,-634236.637009449,-672481.1021449754,-465688.9440651079,-508069.90137250844,-588872.0601420788
2026-03-10 17:04:51,-496150.73453341617,-250672.9774467205,-474952.92778812343,-403290.7097041176,-490573.55679702054,-328914.75274156843
