"Time","rskj-miner2"
2026-01-29 15:36:00,56.1 kB/s
2026-01-29 15:40:00,3.68 kB/s
2026-01-29 15:44:00,3.67 kB/s
2026-01-29 15:48:00,3.71 kB/s
2026-01-29 15:52:00,3.56 kB/s
2026-01-29 15:56:00,3.56 kB/s
2026-01-29 16:00:00,3.74 kB/s
2026-01-29 16:04:00,3.74 kB/s
2026-01-29 16:08:00,3.70 kB/s
2026-01-29 16:12:00,3.61 kB/s
2026-01-29 16:16:00,3.70 kB/s
2026-01-29 16:20:00,3.85 kB/s
2026-01-29 16:24:00,3.90 kB/s
2026-01-29 16:28:00,3.80 kB/s
2026-01-29 16:32:00,3.87 kB/s
2026-01-29 16:36:00,3.75 kB/s
2026-01-29 16:40:00,3.66 kB/s
2026-01-29 16:44:00,3.64 kB/s
2026-01-29 16:48:00,3.65 kB/s
2026-01-29 16:52:00,1.24 MB/s
2026-01-29 16:56:00,1.24 MB/s
2026-01-29 17:00:00,1.24 MB/s
2026-01-29 17:04:00,1.24 MB/s
2026-01-29 17:08:00,1.24 MB/s
2026-01-29 17:12:00,1.31 MB/s
2026-01-29 17:16:00,1.31 MB/s
2026-01-29 17:20:00,1.31 MB/s
2026-01-29 17:24:00,70.1 kB/s
2026-01-29 17:28:00,70.1 kB/s
2026-01-29 17:32:00,70.2 kB/s
2026-01-29 17:36:00,70.2 kB/s
2026-01-29 17:40:00,70.1 kB/s
2026-01-29 17:44:00,3.61 kB/s
2026-01-29 17:48:00,3.62 kB/s
2026-01-29 17:52:00,3.90 kB/s
2026-01-29 17:56:00,3.88 kB/s
2026-01-29 18:00:00,3.69 kB/s
2026-01-29 18:04:00,3.89 kB/s
2026-01-29 18:08:00,4.02 kB/s
2026-01-29 18:12:00,3.96 kB/s
2026-01-29 18:16:00,3.86 kB/s
2026-01-29 18:20:00,3.82 kB/s
2026-01-29 18:24:00,3.68 kB/s
2026-01-29 18:28:00,3.72 kB/s
2026-01-29 18:32:00,3.74 kB/s
2026-01-29 18:36:00,3.50 kB/s
2026-01-29 18:40:00,3.52 kB/s
2026-01-29 18:44:00,3.58 kB/s
2026-01-29 18:48:00,3.56 kB/s
2026-01-29 18:52:00,3.47 kB/s
2026-01-29 18:56:00,3.44 kB/s
2026-01-29 19:00:00,3.40 kB/s
2026-01-29 19:04:00,63.9 kB/s
2026-01-29 19:08:00,63.9 kB/s
2026-01-29 19:12:00,63.9 kB/s
2026-01-29 19:16:00,63.9 kB/s
2026-01-29 19:20:00,63.8 kB/s
2026-01-29 19:24:00,63.7 kB/s
2026-01-29 19:28:00,63.7 kB/s
2026-01-29 19:32:00,63.9 kB/s
2026-01-29 19:36:00,3.34 kB/s
2026-01-29 19:40:00,3.35 kB/s
2026-01-29 19:44:00,3.47 kB/s
2026-01-29 19:48:00,3.50 kB/s
2026-01-29 19:52:00,3.76 kB/s
2026-01-29 19:56:00,3.99 kB/s
2026-01-29 20:00:00,4.01 kB/s
2026-01-29 20:04:00,4.02 kB/s
2026-01-29 20:08:00,3.99 kB/s
2026-01-29 20:12:00,3.99 kB/s
2026-01-29 20:16:00,4.01 kB/s
2026-01-29 20:20:00,8.29 kB/s
2026-01-29 20:24:00,8.05 kB/s
2026-01-29 20:28:00,8.03 kB/s
2026-01-29 20:32:00,7.86 kB/s
2026-01-29 20:36:00,7.95 kB/s
2026-01-29 20:40:00,7.96 kB/s
2026-01-29 20:44:00,7.90 kB/s
2026-01-29 20:48:00,3.60 kB/s
2026-01-29 20:52:00,3.54 kB/s
2026-01-29 20:56:00,112 kB/s
2026-01-29 21:00:00,1.75 MB/s
2026-01-29 21:04:00,1.75 MB/s
2026-01-29 21:08:00,1.75 MB/s
2026-01-29 21:12:00,1.75 MB/s
2026-01-29 21:16:00,1.75 MB/s
2026-01-29 21:20:00,1.75 MB/s
2026-01-29 21:24:00,1.64 MB/s
2026-01-29 21:28:00,1.64 MB/s
2026-01-29 21:32:00,3.29 kB/s
2026-01-29 21:36:00,3.36 kB/s
2026-01-29 21:40:00,3.27 kB/s
2026-01-29 21:44:00,3.41 kB/s
2026-01-29 21:48:00,3.54 kB/s
2026-01-29 21:52:00,3.71 kB/s
2026-01-29 21:56:00,3.71 kB/s
2026-01-29 22:00:00,3.90 kB/s
2026-01-29 22:04:00,4.04 kB/s
2026-01-29 22:08:00,4.06 kB/s
2026-01-29 22:12:00,3.88 kB/s
2026-01-29 22:16:00,3.90 kB/s
2026-01-29 22:20:00,3.72 kB/s
2026-01-29 22:24:00,3.86 kB/s
2026-01-29 22:28:00,3.58 kB/s
2026-01-29 22:32:00,3.38 kB/s
2026-01-29 22:36:00,3.55 kB/s
2026-01-29 22:40:00,3.47 kB/s
2026-01-29 22:44:00,3.38 kB/s
2026-01-29 22:48:00,3.37 kB/s
2026-01-29 22:52:00,3.42 kB/s
2026-01-29 22:56:00,3.45 kB/s
2026-01-29 23:00:00,60.2 kB/s
2026-01-29 23:04:00,60.2 kB/s
2026-01-29 23:08:00,60.1 kB/s
2026-01-29 23:12:00,60.2 kB/s
2026-01-29 23:16:00,60.2 kB/s
2026-01-29 23:20:00,60.2 kB/s
2026-01-29 23:24:00,60.4 kB/s
2026-01-29 23:28:00,60.4 kB/s
2026-01-29 23:32:00,3.84 kB/s
2026-01-29 23:36:00,4.01 kB/s
2026-01-29 23:40:00,4.07 kB/s
2026-01-29 23:44:00,4.04 kB/s
2026-01-29 23:48:00,3.96 kB/s
2026-01-29 23:52:00,4.01 kB/s
2026-01-29 23:56:00,3.92 kB/s
2026-01-30 00:00:00,3.78 kB/s
2026-01-30 00:04:00,3.65 kB/s
2026-01-30 00:08:00,3.64 kB/s
2026-01-30 00:12:00,3.52 kB/s
2026-01-30 00:16:00,3.50 kB/s
2026-01-30 00:20:00,3.19 kB/s
2026-01-30 00:24:00,3.24 kB/s
2026-01-30 00:28:00,3.18 kB/s
2026-01-30 00:32:00,3.13 kB/s
2026-01-30 00:36:00,3.16 kB/s
2026-01-30 00:40:00,3.13 kB/s
2026-01-30 00:44:00,3.29 kB/s
2026-01-30 00:48:00,3.38 kB/s
2026-01-30 00:52:00,3.37 kB/s
2026-01-30 00:56:00,112 kB/s
2026-01-30 01:00:00,112 kB/s
2026-01-30 01:04:00,176 kB/s
2026-01-30 01:08:00,176 kB/s
2026-01-30 01:12:00,176 kB/s
2026-01-30 01:16:00,176 kB/s
2026-01-30 01:20:00,177 kB/s
2026-01-30 01:24:00,68.0 kB/s
2026-01-30 01:28:00,67.8 kB/s
2026-01-30 01:32:00,10.1 kB/s
2026-01-30 01:36:00,3.49 kB/s
2026-01-30 01:40:00,3.52 kB/s
2026-01-30 01:44:00,3.60 kB/s
2026-01-30 01:48:00,3.46 kB/s
2026-01-30 01:52:00,3.37 kB/s
2026-01-30 01:56:00,3.44 kB/s
2026-01-30 02:00:00,3.48 kB/s
2026-01-30 02:04:00,3.52 kB/s
2026-01-30 02:08:00,31.5 kB/s
2026-01-30 02:12:00,31.6 kB/s
2026-01-30 02:16:00,31.7 kB/s
2026-01-30 02:20:00,31.6 kB/s
2026-01-30 02:24:00,31.7 kB/s
2026-01-30 02:28:00,31.7 kB/s
2026-01-30 02:32:00,31.8 kB/s
2026-01-30 02:36:00,3.78 kB/s
2026-01-30 02:40:00,3.87 kB/s
2026-01-30 02:44:00,3.80 kB/s
2026-01-30 02:48:00,928 kB/s
2026-01-30 02:52:00,980 kB/s
2026-01-30 02:56:00,980 kB/s
2026-01-30 03:00:00,980 kB/s
2026-01-30 03:04:00,980 kB/s
2026-01-30 03:08:00,980 kB/s
2026-01-30 03:12:00,980 kB/s
2026-01-30 03:16:00,980 kB/s
2026-01-30 03:20:00,3.89 kB/s
2026-01-30 03:24:00,3.67 kB/s
2026-01-30 03:28:00,3.56 kB/s
2026-01-30 03:32:00,3.40 kB/s
2026-01-30 03:36:00,3.48 kB/s
2026-01-30 03:40:00,3.50 kB/s
2026-01-30 03:44:00,3.45 kB/s
2026-01-30 03:48:00,3.39 kB/s
2026-01-30 03:52:00,3.26 kB/s
2026-01-30 03:56:00,3.34 kB/s
2026-01-30 04:00:00,3.29 kB/s
2026-01-30 04:04:00,3.23 kB/s
2026-01-30 04:08:00,3.39 kB/s
2026-01-30 04:12:00,3.30 kB/s
2026-01-30 04:16:00,3.30 kB/s
2026-01-30 04:20:00,3.32 kB/s
2026-01-30 04:24:00,3.24 kB/s
2026-01-30 04:28:00,3.26 kB/s
2026-01-30 04:32:00,3.40 kB/s
2026-01-30 04:36:00,3.40 kB/s
2026-01-30 04:40:00,3.36 kB/s
2026-01-30 04:44:00,3.48 kB/s
2026-01-30 04:48:00,112 kB/s
2026-01-30 04:52:00,112 kB/s
2026-01-30 04:56:00,112 kB/s
2026-01-30 05:00:00,112 kB/s
2026-01-30 05:04:00,112 kB/s
2026-01-30 05:08:00,182 kB/s
2026-01-30 05:12:00,182 kB/s
2026-01-30 05:16:00,181 kB/s
2026-01-30 05:20:00,72.9 kB/s
2026-01-30 05:24:00,72.9 kB/s
2026-01-30 05:28:00,73.0 kB/s
2026-01-30 05:32:00,73.0 kB/s
2026-01-30 05:36:00,73.1 kB/s
2026-01-30 05:40:00,3.38 kB/s
2026-01-30 05:44:00,3.30 kB/s
2026-01-30 05:48:00,3.46 kB/s
2026-01-30 05:52:00,3.67 kB/s
2026-01-30 05:56:00,3.63 kB/s
2026-01-30 06:00:00,3.54 kB/s
2026-01-30 06:04:00,3.46 kB/s
2026-01-30 06:08:00,3.54 kB/s
2026-01-30 06:12:00,3.69 kB/s
2026-01-30 06:16:00,3.77 kB/s
2026-01-30 06:20:00,3.65 kB/s
2026-01-30 06:24:00,3.71 kB/s
2026-01-30 06:28:00,3.65 kB/s
2026-01-30 06:32:00,3.84 kB/s
2026-01-30 06:36:00,3.80 kB/s
2026-01-30 06:40:00,3.62 kB/s
2026-01-30 06:44:00,3.58 kB/s
2026-01-30 06:48:00,3.45 kB/s
2026-01-30 06:52:00,3.42 kB/s
2026-01-30 06:56:00,3.30 kB/s
2026-01-30 07:00:00,3.18 kB/s
2026-01-30 07:04:00,3.22 kB/s
2026-01-30 07:08:00,62.3 kB/s
