Time,"__name__=""dockerstats_memory_usage_bytes"",id=""01cade7c26e1"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node1""","__name__=""dockerstats_memory_usage_bytes"",id=""457f47ddd5f8"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner1""","__name__=""dockerstats_memory_usage_bytes"",id=""7ae7b9c7b9c8"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node2""","__name__=""dockerstats_memory_usage_bytes"",id=""828cfb44b3ef"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner3""","__name__=""dockerstats_memory_usage_bytes"",id=""b3919c056ad5"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner2""","__name__=""dockerstats_memory_usage_bytes"",id=""eed7b600afd2"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner4"""
2026-03-10 00:54:33,2920013824,4396548096,4093792256,4268466176,3167047680,3298865152
2026-03-10 00:55:03,2920636416,4777758720,4262490112,4274503680,3478487040,3308171264
2026-03-10 00:55:33,2927063040,4790829056,4260274176,4283658240,3585101824,3320303616
2026-03-10 00:56:03,2927366144,4798623744,4277936128,4290355200,3588767744,3328020480
2026-03-10 00:56:33,2928324608,4806057984,4279033856,4293718016,3591774208,3334393856
2026-03-10 00:57:03,2932002816,4813033472,4281061376,4289916928,3595632640,3339317248
2026-03-10 00:57:33,2932301824,4824903680,4281511936,4294225920,3601854464,3350339584
2026-03-10 00:58:03,2942824448,4739457024,4280033280,4293328896,3607797760,3355516928
2026-03-10 00:58:33,2943238144,4771291136,4280078336,4215549952,3654094848,3311702016
2026-03-10 00:59:03,2950086656,4781969408,4281307136,4225155072,3666935808,3324350464
2026-03-10 00:59:33,2950647808,4790071296,4282892288,4234059776,3684290560,3343609856
2026-03-10 01:00:03,2950680576,4794507264,4282949632,4238761984,3690958848,3349381120
2026-03-10 01:00:33,2955726848,4801359872,4284891136,4248416256,3701727232,3360595968
2026-03-10 01:01:03,2956718080,4812959744,4289261568,4254515200,3715383296,3368996864
2026-03-10 01:01:33,2964520960,4819550208,4291809280,4261625856,3719430144,3375726592
2026-03-10 01:02:03,2965168128,4827529216,4293046272,4270780416,3632709632,3383660544
2026-03-10 01:02:33,2965364736,4835012608,4293804032,4278382592,3638034432,3389906944
2026-03-10 01:03:03,2969456640,4838903808,4274962432,4284862464,3643219968,3395710976
2026-03-10 01:03:33,2969960448,4841345024,4276871168,4287582208,3647635456,3381100544
2026-03-10 01:04:03,2977574912,4852871168,4278616064,4294025216,3667046400,3411546112
2026-03-10 01:04:33,2978476032,4860710912,4280188928,4288765952,3679801344,3402821632
2026-03-10 01:05:03,2981851136,4867416064,4281790464,4293713920,3695648768,3427012608
2026-03-10 01:05:33,2986070016,4871282688,4283236352,4294213632,3703894016,3431686144
2026-03-10 01:06:03,2986598400,4876283904,4284739584,4293943296,3708723200,3346169856
2026-03-10 01:06:33,2995470336,4887896064,4284309504,4294422528,3717517312,3354185728
2026-03-10 01:07:03,2996785152,4903395328,4286492672,4195352576,3731185664,3366526976
2026-03-10 01:07:33,3013660672,4903272448,4267634688,4241195008,3920527360,3399696384
2026-03-10 01:08:03,3014455296,4917149696,4294275072,4251979776,3826302976,3423367168
2026-03-10 01:08:33,3020263424,4929646592,4293922816,4263071744,3838410752,3433656320
2026-03-10 01:09:03,3030712320,4942942208,4294070272,4273795072,3852345344,3441156096
2026-03-10 01:09:33,3031269376,4951801856,4277407744,4286005248,3876179968,3448856576
