"Time","OUT on /nbd0","OUT on /nbd1","OUT on /nbd10","OUT on /nbd11","OUT on /nbd12","OUT on /nbd13","OUT on /nbd14","OUT on /nbd15","OUT on /nbd2","OUT on /nbd3","OUT on /nbd4","OUT on /nbd5","OUT on /nbd6","OUT on /nbd7","OUT on /nbd8","OUT on /nbd9","OUT on /vda","OUT on /vdb","IN on /nbd0","IN on /nbd1","IN on /nbd10","IN on /nbd11","IN on /nbd12","IN on /nbd13","IN on /nbd14","IN on /nbd15","IN on /nbd2","IN on /nbd3","IN on /nbd4","IN on /nbd5","IN on /nbd6","IN on /nbd7","IN on /nbd8","IN on /nbd9","IN on /vda","IN on /vdb"
2026-02-11 05:54:00,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,-2.54 kB/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,767 kB/s,0 B/s
2026-02-11 05:54:40,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,-1.27 kB/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,837 kB/s,0 B/s
2026-02-11 05:55:20,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,-565 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,652 kB/s,0 B/s
2026-02-11 05:56:00,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,-706 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,851 kB/s,0 B/s
2026-02-11 05:56:40,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,874 kB/s,0 B/s
2026-02-11 05:57:20,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,-141 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,864 kB/s,0 B/s
2026-02-11 05:58:00,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,-57.3 kB/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,807 kB/s,0 B/s
2026-02-11 05:58:40,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,-847 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,488 kB/s,0 B/s
2026-02-11 05:59:20,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,-282 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,423 kB/s,0 B/s
2026-02-11 06:00:00,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,-424 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,0 B/s,727 kB/s,0 B/s
