"Time","rskj-miner1","rskj-miner2","rskj-miner3","rskj-miner4","rskj-node1","rskj-node2","rskj-miner1","rskj-miner2","rskj-miner3","rskj-miner4","rskj-node1","rskj-node2"
2026-02-11 05:54:00,42.9 KiB,1.74 KiB,1.80 KiB,1.82 KiB,1.74 KiB,1.72 KiB,-46.0 KiB,-10.2 KiB,-10.6 KiB,-11.1 KiB,-10.5 KiB,-10.5 KiB
2026-02-11 05:54:40,42.5 KiB,1.77 KiB,1.49 KiB,1.44 KiB,1.62 KiB,1.62 KiB,-45.8 KiB,-11.1 KiB,-10.5 KiB,-9.92 KiB,-10.3 KiB,-10.3 KiB
2026-02-11 05:55:20,44.3 KiB,8.80 KiB,8.67 KiB,8.75 KiB,8.64 KiB,8.64 KiB,-53.8 KiB,-16.2 KiB,-16.7 KiB,-16.4 KiB,-16.3 KiB,-16.4 KiB
2026-02-11 05:56:00,42.8 KiB,1.76 KiB,1.77 KiB,1.74 KiB,1.81 KiB,1.74 KiB,-45.9 KiB,-10.3 KiB,-11.1 KiB,-10.8 KiB,-10.6 KiB,-10.6 KiB
2026-02-11 05:56:40,40.9 KiB,1.42 KiB,1.37 KiB,1.31 KiB,1.35 KiB,1.35 KiB,-44.0 KiB,-10.6 KiB,-10.2 KiB,-10.4 KiB,-10.2 KiB,-10.2 KiB
2026-02-11 05:57:20,42.5 KiB,1.51 KiB,1.51 KiB,1.52 KiB,1.47 KiB,1.51 KiB,-45.6 KiB,-10.4 KiB,-10.4 KiB,-10.4 KiB,-10.4 KiB,-10.4 KiB
2026-02-11 05:58:00,38.8 KiB,1.85 KiB,1.87 KiB,1.90 KiB,1.86 KiB,1.90 KiB,-42.3 KiB,-11.0 KiB,-10.4 KiB,-11.2 KiB,-10.6 KiB,-10.6 KiB
2026-02-11 05:58:40,27.4 KiB,9.95 KiB,9.87 KiB,9.84 KiB,9.78 KiB,9.88 KiB,-39.5 KiB,-17.1 KiB,-17.8 KiB,-17.8 KiB,-17.5 KiB,-17.5 KiB
2026-02-11 05:59:20,42.8 KiB,1.59 KiB,1.70 KiB,1.66 KiB,1.68 KiB,1.66 KiB,-45.9 KiB,-10.8 KiB,-10.5 KiB,-10.5 KiB,-10.4 KiB,-10.4 KiB
2026-02-11 06:00:00,42.7 KiB,1.55 KiB,1.60 KiB,1.66 KiB,1.58 KiB,1.59 KiB,-46.0 KiB,-10.1 KiB,-10.4 KiB,-10.8 KiB,-10.4 KiB,-10.4 KiB
2026-02-11 06:00:40,42.6 KiB,1.57 KiB,1.50 KiB,1.47 KiB,1.52 KiB,1.54 KiB,-45.7 KiB,-10.7 KiB,-10.4 KiB,-10.6 KiB,-10.3 KiB,-10.2 KiB
2026-02-11 06:01:20,44.5 KiB,10.4 KiB,10.2 KiB,10.1 KiB,10.1 KiB,10.3 KiB,-53.8 KiB,-17.9 KiB,-17.9 KiB,-17.7 KiB,-17.9 KiB,-17.8 KiB
2026-02-11 06:02:00,42.7 KiB,1.61 KiB,1.57 KiB,1.62 KiB,1.60 KiB,1.59 KiB,-45.9 KiB,-10.5 KiB,-10.7 KiB,-10.5 KiB,-10.4 KiB,-10.4 KiB
2026-02-11 06:02:40,42.4 KiB,1.22 KiB,1.22 KiB,1.20 KiB,1.23 KiB,1.22 KiB,-45.5 KiB,-10.1 KiB,-10.1 KiB,-10.1 KiB,-10.1 KiB,-10.1 KiB
2026-02-11 06:03:20,39.2 KiB,1.60 KiB,1.58 KiB,1.60 KiB,1.60 KiB,1.60 KiB,-42.3 KiB,-10.2 KiB,-10.6 KiB,-10.4 KiB,-10.4 KiB,-10.4 KiB
2026-02-11 06:04:00,13.0 KiB,1.70 KiB,1.70 KiB,1.65 KiB,1.71 KiB,1.68 KiB,-20.7 KiB,-10.7 KiB,-10.5 KiB,-10.7 KiB,-10.5 KiB,-10.4 KiB
2026-02-11 06:04:40,42.4 KiB,1.89 KiB,1.76 KiB,1.98 KiB,1.95 KiB,1.92 KiB,-46.1 KiB,-10.8 KiB,-10.3 KiB,-11.0 KiB,-10.6 KiB,-10.6 KiB
2026-02-11 06:05:20,42.9 KiB,3.64 KiB,3.55 KiB,3.65 KiB,3.59 KiB,3.56 KiB,-48.0 KiB,-12.1 KiB,-12.1 KiB,-12.5 KiB,-12.0 KiB,-12.0 KiB
2026-02-11 06:06:00,42.7 KiB,1.61 KiB,1.64 KiB,1.64 KiB,1.64 KiB,1.69 KiB,-45.9 KiB,-10.5 KiB,-10.5 KiB,-11.0 KiB,-10.5 KiB,-10.8 KiB
2026-02-11 06:06:40,42.1 KiB,1.18 KiB,1.24 KiB,1.20 KiB,1.19 KiB,1.23 KiB,-45.4 KiB,-9.79 KiB,-10.1 KiB,-9.80 KiB,-10.1 KiB,-10.1 KiB
