Time,Series_A
2026-02-11 03:00:00,0.17126758449301513
2026-02-11 03:00:30,0.1713350485023197
2026-02-11 03:01:00,0.17138393692948456
2026-02-11 03:01:30,0.17143993640060065
2026-02-11 03:02:00,0.17146322910990688
2026-02-11 03:02:30,0.171470481566664
2026-02-11 03:03:00,0.1713422908581621
2026-02-11 03:03:30,0.17135306853415072
2026-02-11 03:04:00,0.17137403803307513
2026-02-11 03:04:30,0.17143665360332203
2026-02-11 03:05:00,0.17148102692161443
2026-02-11 03:05:30,0.17153590519119843
2026-02-11 03:06:00,0.17158123809638767
2026-02-11 03:06:30,0.17163261134856958
2026-02-11 03:07:00,0.17168558054527464
2026-02-11 03:07:30,0.1714878955436128
2026-02-11 03:08:00,0.17143500715422536
2026-02-11 03:08:30,0.17149084501070622
2026-02-11 03:09:00,0.17153290521953152
2026-02-11 03:09:30,0.1715404304009856
2026-02-11 03:10:00,0.17157657147379465
2026-02-11 03:10:30,0.17214592973288587
2026-02-11 03:11:00,0.17219642420548856
2026-02-11 03:11:30,0.17224535303631222
2026-02-11 03:12:00,0.1723041201580571
2026-02-11 03:12:30,0.17237071548869715
2026-02-11 03:13:00,0.17230339289219845
2026-02-11 03:13:30,0.17235973579441446
2026-02-11 03:14:00,0.17240439193831855
2026-02-11 03:14:30,0.1724453814501853
2026-02-11 03:15:00,0.17247340138757275
2026-02-11 03:15:30,0.17253545130659625
2026-02-11 03:16:00,0.1725999557478927
2026-02-11 03:16:30,0.17264530885491133
2026-02-11 03:17:00,0.17270468203153838
2026-02-11 03:17:30,0.17276145927308667
2026-02-11 03:18:00,0.1726850256515254
2026-02-11 03:18:30,0.17273384337228734
2026-02-11 03:19:00,0.17279097414585023
2026-02-11 03:19:30,0.17284152922394116
2026-02-11 03:20:00,0.1728953266956519
2026-02-11 03:20:30,0.17290973060001907
2026-02-11 03:21:00,0.17296015436621887
2026-02-11 03:21:30,0.17277191371980477
2026-02-11 03:22:00,0.1728230748527779
2026-02-11 03:22:30,0.1728700239043197
2026-02-11 03:23:00,0.1727876509449128
2026-02-11 03:23:30,0.17283684239951874
2026-02-11 03:24:00,0.17289031664195897
2026-02-11 03:24:30,0.17294211413255844
2026-02-11 03:25:00,0.17299527524664288
2026-02-11 03:25:30,0.1730402647207322
2026-02-11 03:26:00,0.17306761799774922
2026-02-11 03:26:30,0.17312784975212608
2026-02-11 03:27:00,0.17317593010611465
2026-02-11 03:27:30,0.17322220239637132
2026-02-11 03:28:00,0.173148768746477
2026-02-11 03:28:30,0.17320300055752
2026-02-11 03:29:00,0.17325102030602035
2026-02-11 03:29:30,0.1733014036685613
