"Time","rskj-miner1:8080 (heap)","rskj-miner2:8080 (heap)","rskj-miner3:8080 (heap)","rskj-miner4:8080 (heap)","rskj-node1:8080 (heap)","rskj-node2:8080 (heap)","rskj-miner1:8080-max","rskj-miner2:8080-max","rskj-miner3:8080-max","rskj-miner4:8080-max","rskj-node1:8080-max","rskj-node2:8080-max"
2026-02-11 05:53:20,1.74 GiB,1.79 GiB,1.94 GiB,1.66 GiB,1.54 GiB,1.54 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 05:53:40,1.80 GiB,2.08 GiB,1.42 GiB,1.94 GiB,1.75 GiB,1.75 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 05:54:00,1.32 GiB,1.77 GiB,1.88 GiB,1.59 GiB,1.35 GiB,1.30 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 05:54:20,1.39 GiB,2.01 GiB,1.34 GiB,1.83 GiB,1.55 GiB,1.50 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 05:54:40,1.59 GiB,1.61 GiB,1.69 GiB,1.39 GiB,1.80 GiB,1.75 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 05:55:00,2.00 GiB,1.34 GiB,1.38 GiB,1.87 GiB,1.40 GiB,1.35 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 05:55:20,2.00 GiB,1.97 GiB,1.21 GiB,1.72 GiB,1.21 GiB,1.95 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 05:55:40,1.27 GiB,1.47 GiB,1.47 GiB,1.97 GiB,1.38 GiB,1.33 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 05:56:00,1.68 GiB,1.97 GiB,1.97 GiB,1.69 GiB,1.82 GiB,1.74 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 05:56:20,1.69 GiB,1.43 GiB,1.40 GiB,1.90 GiB,1.20 GiB,1.92 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 05:56:40,1.85 GiB,1.76 GiB,1.69 GiB,1.40 GiB,1.42 GiB,1.35 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 05:57:00,1.24 GiB,1.37 GiB,1.30 GiB,1.82 GiB,1.79 GiB,1.72 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 05:57:20,1.21 GiB,1.55 GiB,1.44 GiB,1.96 GiB,1.93 GiB,1.87 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 05:57:40,1.21 GiB,1.70 GiB,1.58 GiB,1.31 GiB,1.28 GiB,1.21 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 05:58:00,1.73 GiB,1.64 GiB,1.50 GiB,1.24 GiB,1.82 GiB,1.73 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 05:58:20,1.50 GiB,1.50 GiB,1.31 GiB,1.85 GiB,1.60 GiB,1.52 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 05:58:40,1.50 GiB,1.70 GiB,1.51 GiB,1.25 GiB,1.77 GiB,1.68 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 05:59:00,1.81 GiB,1.35 GiB,1.92 GiB,1.65 GiB,1.33 GiB,1.24 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 05:59:20,1.97 GiB,1.67 GiB,1.46 GiB,1.98 GiB,1.56 GiB,1.47 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 05:59:40,1.91 GiB,1.86 GiB,1.60 GiB,1.33 GiB,1.71 GiB,1.61 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 06:00:00,1.57 GiB,1.65 GiB,1.37 GiB,1.90 GiB,1.35 GiB,1.26 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 06:00:20,1.67 GiB,1.92 GiB,1.65 GiB,1.38 GiB,1.56 GiB,1.47 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 06:00:40,1.71 GiB,1.39 GiB,1.86 GiB,1.59 GiB,1.74 GiB,1.65 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 06:01:00,1.41 GiB,1.65 GiB,1.30 GiB,1.76 GiB,1.85 GiB,1.73 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 06:01:20,1.43 GiB,1.90 GiB,1.54 GiB,1.21 GiB,1.26 GiB,1.93 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 06:01:40,1.38 GiB,2.09 GiB,1.69 GiB,1.36 GiB,1.41 GiB,1.28 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 06:02:00,1.72 GiB,1.79 GiB,1.40 GiB,1.86 GiB,1.81 GiB,1.67 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 06:02:20,1.72 GiB,1.98 GiB,1.54 GiB,2.01 GiB,1.95 GiB,1.81 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 06:02:40,1.86 GiB,1.51 GiB,1.82 GiB,1.50 GiB,1.38 GiB,1.23 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 06:03:00,1.42 GiB,2.02 GiB,1.49 GiB,1.96 GiB,1.79 GiB,1.66 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 06:03:20,1.94 GiB,1.42 GiB,1.63 GiB,1.31 GiB,1.93 GiB,1.80 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 06:03:40,1.33 GiB,1.57 GiB,1.78 GiB,1.46 GiB,1.28 GiB,1.95 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 06:04:00,1.52 GiB,1.38 GiB,1.51 GiB,1.22 GiB,1.73 GiB,1.57 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 06:04:20,1.60 GiB,1.62 GiB,1.66 GiB,1.43 GiB,1.90 GiB,1.74 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 06:04:40,1.51 GiB,1.82 GiB,1.91 GiB,1.62 GiB,1.30 GiB,1.93 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 06:05:00,1.83 GiB,1.53 GiB,1.59 GiB,1.28 GiB,1.73 GiB,1.52 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 06:05:20,1.87 GiB,2.03 GiB,1.29 GiB,1.79 GiB,1.41 GiB,1.99 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 06:05:40,1.89 GiB,1.50 GiB,1.50 GiB,2.00 GiB,1.59 GiB,1.37 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 06:06:00,1.44 GiB,2.02 GiB,1.99 GiB,1.70 GiB,2.00 GiB,1.78 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 06:06:20,1.39 GiB,1.36 GiB,1.34 GiB,1.84 GiB,1.34 GiB,1.92 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 06:06:40,1.39 GiB,1.56 GiB,1.49 GiB,1.98 GiB,1.49 GiB,1.27 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 06:07:00,1.62 GiB,1.93 GiB,1.89 GiB,1.56 GiB,1.86 GiB,1.62 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 06:07:20,1.68 GiB,1.39 GiB,1.30 GiB,1.77 GiB,1.25 GiB,1.79 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 06:07:40,1.69 GiB,1.58 GiB,1.45 GiB,1.91 GiB,1.39 GiB,1.93 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 06:08:00,2.01 GiB,1.36 GiB,1.23 GiB,1.67 GiB,1.85 GiB,1.58 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 06:08:20,1.46 GiB,1.75 GiB,1.58 GiB,2.00 GiB,1.30 GiB,1.83 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 06:08:40,1.58 GiB,1.32 GiB,1.95 GiB,1.59 GiB,1.60 GiB,1.34 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 06:09:00,1.60 GiB,1.93 GiB,1.70 GiB,1.38 GiB,1.27 GiB,1.81 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 06:09:20,1.85 GiB,1.39 GiB,1.91 GiB,1.59 GiB,1.45 GiB,1.99 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 06:09:40,2.04 GiB,2.00 GiB,1.74 GiB,1.42 GiB,1.97 GiB,1.71 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 06:10:00,1.60 GiB,1.73 GiB,1.43 GiB,1.87 GiB,1.59 GiB,1.30 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 06:10:20,1.64 GiB,1.94 GiB,1.64 GiB,1.29 GiB,1.78 GiB,1.48 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
