Time,"__name__=""dockerstats_memory_usage_bytes"",id=""54c6c3ff2e4b"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node1""","__name__=""dockerstats_memory_usage_bytes"",id=""74205413974e"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner1""","__name__=""dockerstats_memory_usage_bytes"",id=""7e576c3b8e6e"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner2""","__name__=""dockerstats_memory_usage_bytes"",id=""81eea9f8ce7e"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner3""","__name__=""dockerstats_memory_usage_bytes"",id=""e69d54e25e43"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner4""","__name__=""dockerstats_memory_usage_bytes"",id=""ed1d7a5ff17d"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node2"""
2026-02-11 03:00:00,3723177984,4174192640,4107366400,3703005184,3701411840,3814260736
2026-02-11 03:00:30,3723177984,4178509824,4107517952,3703123968,3701538816,3814264832
2026-02-11 03:01:00,3723489280,4182888448,4108132352,3703742464,3702304768,3814297600
2026-02-11 03:01:30,3723300864,4187549696,4108627968,3704180736,3702673408,3814313984
2026-02-11 03:02:00,3723313152,4190048256,4108718080,3704266752,3702763520,3814318080
2026-02-11 03:02:30,3723309056,4190154752,4108840960,3704406016,3702882304,3814326272
2026-02-11 03:03:00,3723313152,4190498816,4108918784,3704475648,3702964224,3814326272
2026-02-11 03:03:30,3723329536,4190511104,4109139968,3704705024,3703463936,3814350848
2026-02-11 03:04:00,3723403264,4191035392,4109463552,3705008128,3703484416,3814416384
2026-02-11 03:04:30,3723407360,4195266560,4109574144,3705118720,3703595008,3814424576
2026-02-11 03:05:00,3723436032,4199370752,4109901824,3705438208,3703914496,3814445056
2026-02-11 03:05:30,3723440128,4204453888,4110106624,3705638912,3704111104,3814453248
2026-02-11 03:06:00,3723444224,4208402432,4110176256,3705700352,3704184832,3814506496
2026-02-11 03:06:30,3723448320,4212989952,4110270464,3705786368,3704258560,3814510592
2026-02-11 03:07:00,3723464704,4217688064,4110553088,3706122240,3704524800,3814526976
2026-02-11 03:07:30,3723476992,4117172224,4110725120,3706302464,3704700928,3814801408
2026-02-11 03:08:00,3723526144,4121497600,4111355904,3706806272,3705204736,3814572032
2026-02-11 03:08:30,3723550720,4125941760,4111466496,3707047936,3705458688,3814850560
2026-02-11 03:09:00,3723554816,4130156544,4111568896,3707138048,3705540608,3814592512
2026-02-11 03:09:30,3723571200,4130037760,4111724544,3707293696,3705688064,3814600704
2026-02-11 03:10:00,3723595776,4132966400,4111949824,3707502592,3705901056,3814621184
2026-02-11 03:10:30,3801362432,4188082176,4112084992,3759357952,3804397568,3857424384
2026-02-11 03:11:00,3801640960,4192755712,4112568320,3759828992,3805044736,3857182720
2026-02-11 03:11:30,3801395200,4196990976,4112760832,3760050176,3805249536,3857551360
2026-02-11 03:12:00,3801415680,4201046016,4113301504,3760668672,3805814784,3857338368
2026-02-11 03:12:30,3802124288,4205830144,4113620992,3760992256,3806150656,3857379328
2026-02-11 03:13:00,3801624576,4210913280,4114141184,3761508352,3806691328,3857448960
2026-02-11 03:13:30,3801952256,4215152640,4114415616,3761795072,3807002624,3857514496
2026-02-11 03:14:00,3801972736,4219506688,4114882560,3762057216,3807203328,3857551360
2026-02-11 03:14:30,3801710592,4223221760,4114845696,3762061312,3807260672,3857551360
2026-02-11 03:15:00,3801731072,4225720320,4115222528,3762421760,3807625216,3857567744
2026-02-11 03:15:30,3801763840,4229402624,4115615744,3762835456,3808022528,3857612800
2026-02-11 03:16:00,3801796608,4234539008,4116602880,3763564544,3808739328,3857678336
2026-02-11 03:16:30,3802349568,4238454784,4116451328,3763666944,3808849920,3857694720
2026-02-11 03:17:00,3801858048,4242669568,4117020672,3763978240,3809234944,3857711104
2026-02-11 03:17:30,3801853952,4247265280,4116750336,3763978240,3809234944,3857719296
2026-02-11 03:18:00,3801878528,4251598848,4117143552,3764379648,3809615872,3857788928
2026-02-11 03:18:30,3801890816,4256018432,4117348352,3764580352,3809828864,3857797120
2026-02-11 03:19:00,3801915392,4260687872,4117770240,3765006336,3810238464,3857842176
2026-02-11 03:19:30,3801956352,4264775680,4118200320,3765428224,3810656256,3857862656
2026-02-11 03:20:00,3801972736,4269207552,4118691840,3765669888,3810881536,3857874944
2026-02-11 03:20:30,3801993216,4270526464,4118577152,3765809152,3811028992,3857956864
2026-02-11 03:21:00,3802009600,4273606656,4119171072,3766390784,3811610624,3858010112
2026-02-11 03:21:30,3802017792,4173045760,4119609344,3766575104,3811799040,3858018304
2026-02-11 03:22:00,3802050560,4177104896,4119760896,3766992896,3812220928,3858055168
2026-02-11 03:22:30,3802058752,4181569536,4119896064,3767123968,3812343808,3858063360
2026-02-11 03:23:00,3802066944,4186103808,4120092672,3767328768,3812552704,3858067456
2026-02-11 03:23:30,3802079232,4190560256,4120506368,3767459840,3812683776,3858075648
2026-02-11 03:24:00,3802103808,4195393536,4120592384,3767812096,3813036032,3858104320
2026-02-11 03:24:30,3802116096,4199616512,4120891392,3768094720,3813167104,3858116608
2026-02-11 03:25:00,3802128384,4204630016,4121149440,3768307712,3813572608,3858128896
2026-02-11 03:25:30,3802144768,4207964160,4121268224,3768438784,3813695488,3858149376
2026-02-11 03:26:00,3802165248,4210016256,4121657344,3768860672,3814084608,3858173952
2026-02-11 03:26:30,3802198016,4213841920,4121903104,3769126912,3814428672,3858214912
2026-02-11 03:27:00,3802202112,4218273792,4122107904,3769335808,3814653952,3858231296
2026-02-11 03:27:30,3802210304,4222947328,4122222592,3769450496,3814768640,3858227200
2026-02-11 03:28:00,3802230784,4227395584,4122677248,3769901056,3815215104,3858255872
2026-02-11 03:28:30,3802230784,4231729152,4122677248,3769896960,3815280640,3858251776
2026-02-11 03:29:00,3802386432,4235767808,4123107328,3770327040,3815710720,3858292736
2026-02-11 03:29:30,3802394624,4240216064,4123242496,3770454016,3815829504,3858296832
2026-02-11 03:30:00,3802402816,4245233664,4123443200,3770667008,3816046592,3858313216
2026-02-11 03:30:30,3802406912,4249382912,4123979776,3770667008,3816042496,3858317312
2026-02-11 03:31:00,3802411008,4253908992,4123656192,3770880000,3816247296,3858325504
2026-02-11 03:31:30,3802411008,4254400512,4123656192,3770875904,3816259584,3858329600
2026-02-11 03:32:00,3802415104,4254478336,4123840512,3770982400,3816357888,3858329600
2026-02-11 03:32:30,3802435584,4258390016,4124319744,3771219968,3816595456,3858350080
2026-02-11 03:33:00,3802443776,4263051264,4124286976,3771437056,3816808448,3858362368
2026-02-11 03:33:30,3802456064,4267839488,4124557312,3771699200,3817074688,3858374656
2026-02-11 03:34:00,3802476544,4271808512,4124839936,3771990016,3817369600,3858391040
2026-02-11 03:34:30,3802492928,4276453376,4124860416,3772010496,3817377792,3858403328
2026-02-11 03:35:00,3802513408,4175290368,4125523968,3772534784,3817897984,3858423808
2026-02-11 03:35:30,3802525696,4179877888,4125634560,3772796928,3818164224,3858436096
2026-02-11 03:36:00,3802537984,4184428544,4125831168,3772997632,3818360832,3858456576
2026-02-11 03:36:30,3802550272,4188758016,4126060544,3773235200,3818594304,3858468864
2026-02-11 03:37:00,3802554368,4193267712,4126248960,3773427712,3818790912,3858481152
2026-02-11 03:37:30,3802558464,4193705984,4126253056,3773427712,3818795008,3858477056
2026-02-11 03:38:00,3859255296,4161986560,4126621696,3817992192,3807055872,3902726144
2026-02-11 03:38:30,3859283968,4167168000,4127186944,3818561536,3807625216,3902758912
2026-02-11 03:39:00,3859308544,4171685888,4127838208,3819175936,3808247808,3902795776
2026-02-11 03:39:30,3859341312,4176228352,4128280576,3819393024,3808440320,3902808064
2026-02-11 03:40:00,3859341312,4180025344,4077404160,3819679744,3793268736,3902820352
2026-02-11 03:40:30,3859349504,4184883200,4077690880,3819917312,3793555456,3902836736
2026-02-11 03:41:00,3859374080,4189229056,4078206976,3820318720,3794071552,3902857216
2026-02-11 03:41:30,3859382272,4193738752,4078489600,3820535808,3794358272,3902873600
2026-02-11 03:42:00,3859390464,4198170624,4078604288,3803770880,3794464768,3902873600
2026-02-11 03:42:30,3859402752,4202029056,4079087616,3803959296,3794690048,3902885888
2026-02-11 03:43:00,3859415040,4203024384,4079484928,3804344320,3795095552,3902906368
2026-02-11 03:43:30,3859435520,4203474944,4079648768,3804762112,3795382272,3902939136
2026-02-11 03:44:00,3859468288,4203945984,4080914432,3805200384,3795976192,3902967808
2026-02-11 03:44:30,3859484672,4204183552,4080336896,3805396992,3796172800,3902980096
2026-02-11 03:45:00,3859513344,4204236800,4080369664,3805433856,3796488192,3903000576
