"Time","rskj-node1","rskj-miner1","rskj-miner2","rskj-miner3","rskj-miner4","rskj-node2"
2026-02-11 09:38:00,3.93 GiB,3.97 GiB,3.88 GiB,3.91 GiB,3.93 GiB,3.94 GiB
2026-02-11 09:39:00,3.93 GiB,3.98 GiB,3.88 GiB,3.91 GiB,3.93 GiB,3.94 GiB
2026-02-11 09:40:00,3.93 GiB,3.99 GiB,3.88 GiB,3.96 GiB,3.94 GiB,3.94 GiB
2026-02-11 09:41:00,3.94 GiB,4.00 GiB,3.88 GiB,3.96 GiB,3.98 GiB,3.94 GiB
2026-02-11 09:42:00,3.98 GiB,3.90 GiB,3.88 GiB,3.96 GiB,3.98 GiB,3.94 GiB
2026-02-11 09:43:00,3.98 GiB,3.91 GiB,3.88 GiB,3.96 GiB,3.98 GiB,3.94 GiB
2026-02-11 09:44:00,3.98 GiB,3.91 GiB,4.00 GiB,3.96 GiB,3.98 GiB,3.94 GiB
2026-02-11 09:45:00,3.98 GiB,3.91 GiB,3.89 GiB,3.96 GiB,3.98 GiB,3.94 GiB
2026-02-11 09:46:00,3.98 GiB,3.91 GiB,3.90 GiB,3.96 GiB,3.98 GiB,3.95 GiB
2026-02-11 09:47:00,3.98 GiB,3.91 GiB,3.90 GiB,3.96 GiB,3.98 GiB,3.95 GiB
2026-02-11 09:48:00,3.98 GiB,3.91 GiB,3.90 GiB,3.96 GiB,3.98 GiB,3.94 GiB
2026-02-11 09:49:00,3.98 GiB,3.92 GiB,3.90 GiB,3.96 GiB,3.98 GiB,3.94 GiB
2026-02-11 09:50:00,3.98 GiB,3.93 GiB,3.90 GiB,3.96 GiB,3.99 GiB,3.94 GiB
2026-02-11 09:51:00,3.98 GiB,3.94 GiB,3.90 GiB,3.96 GiB,3.99 GiB,3.94 GiB
2026-02-11 09:52:00,3.98 GiB,3.95 GiB,3.90 GiB,3.96 GiB,3.99 GiB,3.94 GiB
2026-02-11 09:53:00,3.98 GiB,3.95 GiB,3.90 GiB,3.96 GiB,3.99 GiB,3.95 GiB
2026-02-11 09:54:00,3.98 GiB,3.96 GiB,3.90 GiB,3.96 GiB,3.99 GiB,3.95 GiB
