"Time","rskj-node1","rskj-miner1","rskj-miner2","rskj-miner3","rskj-miner4","rskj-node2"
2026-02-11 06:17:00,3.75 GiB,3.88 GiB,3.79 GiB,3.80 GiB,3.80 GiB,3.80 GiB
2026-02-11 06:18:00,3.75 GiB,3.89 GiB,3.79 GiB,3.80 GiB,3.80 GiB,3.80 GiB
2026-02-11 06:19:00,3.75 GiB,3.90 GiB,3.80 GiB,3.80 GiB,3.80 GiB,3.80 GiB
2026-02-11 06:20:00,3.75 GiB,3.90 GiB,3.80 GiB,3.80 GiB,3.80 GiB,3.80 GiB
2026-02-11 06:21:00,3.75 GiB,3.90 GiB,3.80 GiB,3.80 GiB,3.80 GiB,3.80 GiB
2026-02-11 06:22:00,3.75 GiB,3.91 GiB,3.80 GiB,3.80 GiB,3.80 GiB,3.80 GiB
2026-02-11 06:23:00,3.75 GiB,3.92 GiB,3.80 GiB,3.80 GiB,3.80 GiB,3.80 GiB
2026-02-11 06:24:00,3.75 GiB,3.92 GiB,3.80 GiB,3.80 GiB,3.80 GiB,3.80 GiB
2026-02-11 06:25:00,3.75 GiB,3.83 GiB,3.80 GiB,3.80 GiB,3.80 GiB,3.80 GiB
2026-02-11 06:26:00,3.75 GiB,3.84 GiB,3.80 GiB,3.80 GiB,3.80 GiB,3.80 GiB
2026-02-11 06:27:00,3.75 GiB,3.85 GiB,3.80 GiB,3.81 GiB,3.80 GiB,3.80 GiB
2026-02-11 06:28:00,3.75 GiB,3.85 GiB,3.80 GiB,3.81 GiB,3.80 GiB,3.80 GiB
2026-02-11 06:29:00,3.75 GiB,3.86 GiB,3.80 GiB,3.81 GiB,3.80 GiB,3.80 GiB
2026-02-11 06:30:00,3.75 GiB,3.87 GiB,3.80 GiB,3.81 GiB,3.80 GiB,3.80 GiB
2026-02-11 06:31:00,3.75 GiB,3.88 GiB,3.80 GiB,3.81 GiB,3.80 GiB,3.80 GiB
2026-02-11 06:32:00,3.75 GiB,3.89 GiB,3.80 GiB,3.81 GiB,3.80 GiB,3.80 GiB
2026-02-11 06:33:00,3.75 GiB,3.89 GiB,3.80 GiB,3.81 GiB,3.80 GiB,3.80 GiB
2026-02-11 06:34:00,3.75 GiB,3.90 GiB,3.80 GiB,3.81 GiB,3.81 GiB,3.80 GiB
2026-02-11 06:35:00,3.75 GiB,3.91 GiB,3.80 GiB,3.81 GiB,3.81 GiB,3.80 GiB
2026-02-11 06:36:00,3.75 GiB,3.92 GiB,3.80 GiB,3.81 GiB,3.81 GiB,3.80 GiB
2026-02-11 06:37:00,3.75 GiB,3.93 GiB,3.80 GiB,3.81 GiB,3.81 GiB,3.80 GiB
2026-02-11 06:38:00,3.75 GiB,3.93 GiB,3.81 GiB,3.81 GiB,3.81 GiB,3.81 GiB
2026-02-11 06:39:00,3.76 GiB,3.84 GiB,3.81 GiB,3.81 GiB,3.81 GiB,3.80 GiB
2026-02-11 06:40:00,3.76 GiB,3.85 GiB,3.81 GiB,3.81 GiB,3.81 GiB,3.80 GiB
2026-02-11 06:41:00,3.77 GiB,3.86 GiB,3.81 GiB,3.82 GiB,3.82 GiB,3.85 GiB
2026-02-11 06:42:00,3.77 GiB,3.86 GiB,3.81 GiB,3.82 GiB,3.82 GiB,3.85 GiB
2026-02-11 06:43:00,3.78 GiB,3.87 GiB,3.81 GiB,3.82 GiB,3.82 GiB,3.85 GiB
2026-02-11 06:44:00,3.78 GiB,3.88 GiB,3.81 GiB,3.82 GiB,3.82 GiB,3.85 GiB
2026-02-11 06:45:00,3.79 GiB,3.89 GiB,3.81 GiB,3.82 GiB,3.82 GiB,3.85 GiB
2026-02-11 06:46:00,3.79 GiB,3.90 GiB,3.81 GiB,3.82 GiB,3.82 GiB,3.85 GiB
2026-02-11 06:47:00,3.79 GiB,3.90 GiB,3.81 GiB,3.82 GiB,3.82 GiB,3.85 GiB
2026-02-11 06:48:00,3.79 GiB,3.91 GiB,3.79 GiB,3.82 GiB,3.79 GiB,3.85 GiB
2026-02-11 06:49:00,3.79 GiB,3.92 GiB,3.79 GiB,3.82 GiB,3.80 GiB,3.85 GiB
2026-02-11 06:50:00,3.80 GiB,3.93 GiB,3.79 GiB,3.82 GiB,3.80 GiB,3.85 GiB
2026-02-11 06:51:00,3.80 GiB,3.93 GiB,3.80 GiB,3.82 GiB,3.80 GiB,3.85 GiB
2026-02-11 06:52:00,3.80 GiB,3.84 GiB,3.80 GiB,3.82 GiB,3.80 GiB,3.85 GiB
2026-02-11 06:53:00,3.80 GiB,3.85 GiB,3.80 GiB,3.79 GiB,3.80 GiB,3.85 GiB
2026-02-11 06:54:00,3.81 GiB,3.86 GiB,3.80 GiB,3.79 GiB,3.81 GiB,3.85 GiB
2026-02-11 06:55:00,3.82 GiB,3.86 GiB,3.91 GiB,3.79 GiB,3.81 GiB,3.85 GiB
2026-02-11 06:56:00,3.82 GiB,3.87 GiB,3.91 GiB,3.79 GiB,3.81 GiB,3.85 GiB
2026-02-11 06:57:00,3.82 GiB,3.88 GiB,3.91 GiB,3.80 GiB,3.81 GiB,3.85 GiB
2026-02-11 06:58:00,3.82 GiB,3.89 GiB,3.91 GiB,3.80 GiB,3.81 GiB,3.85 GiB
2026-02-11 06:59:00,3.83 GiB,3.89 GiB,3.91 GiB,3.80 GiB,3.82 GiB,3.85 GiB
2026-02-11 07:00:00,3.83 GiB,3.90 GiB,3.91 GiB,3.80 GiB,3.82 GiB,3.85 GiB
2026-02-11 07:01:00,3.83 GiB,3.91 GiB,3.91 GiB,3.80 GiB,3.82 GiB,3.85 GiB
2026-02-11 07:02:00,3.83 GiB,3.92 GiB,3.91 GiB,3.80 GiB,3.83 GiB,3.85 GiB
2026-02-11 07:03:00,3.83 GiB,3.93 GiB,3.91 GiB,3.80 GiB,3.83 GiB,3.85 GiB
2026-02-11 07:04:00,3.83 GiB,3.93 GiB,3.91 GiB,3.80 GiB,3.83 GiB,3.85 GiB
2026-02-11 07:05:00,3.83 GiB,3.84 GiB,3.92 GiB,3.80 GiB,3.83 GiB,3.85 GiB
2026-02-11 07:06:00,3.83 GiB,3.85 GiB,3.92 GiB,3.80 GiB,3.84 GiB,3.85 GiB
2026-02-11 07:07:00,3.74 GiB,3.75 GiB,3.92 GiB,3.74 GiB,3.74 GiB,3.74 GiB
2026-02-11 07:08:00,3.74 GiB,3.75 GiB,3.92 GiB,3.74 GiB,3.75 GiB,3.74 GiB
2026-02-11 07:09:00,3.74 GiB,3.76 GiB,3.92 GiB,3.74 GiB,3.75 GiB,3.74 GiB
2026-02-11 07:10:00,3.74 GiB,3.77 GiB,3.92 GiB,3.74 GiB,3.75 GiB,3.74 GiB
2026-02-11 07:11:00,3.74 GiB,3.78 GiB,3.92 GiB,3.74 GiB,3.76 GiB,3.74 GiB
2026-02-11 07:12:00,3.74 GiB,3.79 GiB,3.92 GiB,3.74 GiB,3.76 GiB,3.74 GiB
2026-02-11 07:13:00,3.74 GiB,3.79 GiB,3.92 GiB,3.74 GiB,3.77 GiB,3.74 GiB
2026-02-11 07:14:00,3.74 GiB,3.80 GiB,3.92 GiB,3.75 GiB,3.77 GiB,3.74 GiB
2026-02-11 07:15:00,3.74 GiB,3.81 GiB,3.92 GiB,3.75 GiB,3.77 GiB,3.74 GiB
2026-02-11 07:16:00,3.74 GiB,3.82 GiB,3.92 GiB,3.75 GiB,3.78 GiB,3.74 GiB
2026-02-11 07:17:00,3.74 GiB,3.82 GiB,3.92 GiB,3.75 GiB,3.78 GiB,3.74 GiB
2026-02-11 07:18:00,3.74 GiB,3.83 GiB,3.92 GiB,3.75 GiB,3.78 GiB,3.74 GiB
2026-02-11 07:19:00,3.74 GiB,3.74 GiB,3.92 GiB,3.75 GiB,3.78 GiB,3.74 GiB
2026-02-11 07:20:00,3.74 GiB,3.75 GiB,3.92 GiB,3.75 GiB,3.78 GiB,3.74 GiB
2026-02-11 07:21:00,3.74 GiB,3.76 GiB,3.92 GiB,3.75 GiB,3.79 GiB,3.74 GiB
2026-02-11 07:22:00,3.74 GiB,3.76 GiB,3.92 GiB,3.75 GiB,3.79 GiB,3.74 GiB
