"Time","rskj-miner1:8080 (Copy)","rskj-miner2:8080 (Copy)","rskj-miner3:8080 (Copy)","rskj-miner4:8080 (Copy)","rskj-node1:8080 (Copy)","rskj-node2:8080 (Copy)","rskj-miner1:8080 (MarkSweepCompact)","rskj-miner2:8080 (MarkSweepCompact)","rskj-miner3:8080 (MarkSweepCompact)","rskj-miner4:8080 (MarkSweepCompact)","rskj-node1:8080 (MarkSweepCompact)","rskj-node2:8080 (MarkSweepCompact)"
2026-02-11 05:53:00,4.59 ms,3.70 ms,4.58 ms,4.86 ms,6.25 ms,6.05 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 05:53:20,9.17 ms,3.69 ms,2.10 ms,4.86 ms,6.25 ms,6.05 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 05:53:40,9.39 ms,2.27 ms,4.78 ms,2.88 ms,3.68 ms,3.39 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 05:54:00,7.47 ms,1.95 ms,2.68 ms,2.61 ms,2.53 ms,3.27 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 05:54:20,3.51 ms,1.95 ms,6.29 ms,2.61 ms,2.53 ms,3.27 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 05:54:40,1.90 ms,4.49 ms,3.61 ms,5.46 ms,2.53 ms,3.27 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 05:55:00,1.90 ms,4.73 ms,6.64 ms,2.85 ms,3.83 ms,2.81 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 05:55:20,2.15 ms,4.73 ms,5.46 ms,5.00 ms,7.10 ms,2.81 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 05:55:40,2.47 ms,4.17 ms,5.46 ms,2.15 ms,7.10 ms,5.66 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 05:56:00,2.54 ms,1.98 ms,2.42 ms,2.76 ms,3.27 ms,2.85 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 05:56:20,2.29 ms,4.22 ms,2.27 ms,2.76 ms,2.12 ms,2.85 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 05:56:40,2.44 ms,2.24 ms,2.27 ms,4.90 ms,2.12 ms,2.22 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 05:57:00,2.27 ms,4.47 ms,5.39 ms,2.14 ms,2.12 ms,2.22 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 05:57:20,2.34 ms,2.24 ms,3.12 ms,2.14 ms,0 s,2.22 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 05:57:40,1.64 ms,2.24 ms,3.12 ms,2.53 ms,2.78 ms,2.93 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 05:58:00,1.54 ms,3.47 ms,2.66 ms,4.69 ms,2.78 ms,2.93 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 05:58:20,1.51 ms,6.03 ms,5.52 ms,4.69 ms,4.95 ms,5.41 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 05:58:40,1.78 ms,6.03 ms,5.53 ms,6.71 ms,2.17 ms,2.47 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 05:59:00,2.61 ms,4.92 ms,2.86 ms,4.54 ms,5.02 ms,5.56 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 05:59:20,2.64 ms,2.36 ms,2.46 ms,4.54 ms,2.85 ms,3.08 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 05:59:40,2.51 ms,2.36 ms,2.46 ms,2.17 ms,2.85 ms,3.08 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:00:00,1.90 ms,2.49 ms,4.92 ms,2.17 ms,2.83 ms,2.92 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:00:20,2.05 ms,2.49 ms,2.46 ms,4.27 ms,2.83 ms,2.92 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:00:40,2.14 ms,5.80 ms,2.46 ms,2.10 ms,2.83 ms,2.92 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:01:00,2.98 ms,4.22 ms,7.47 ms,6.76 ms,2.37 ms,2.42 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:01:20,3.00 ms,4.22 ms,7.47 ms,5.80 ms,6.20 ms,2.42 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:01:40,3.19 ms,915 µs,7.47 ms,5.80 ms,6.20 ms,5.78 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:02:00,2.34 ms,1.64 ms,1.66 ms,1.14 ms,3.83 ms,3.36 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:02:20,2.17 ms,1.64 ms,1.66 ms,0 s,0 s,3.36 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:02:40,1.90 ms,3.46 ms,1.66 ms,1.27 ms,1.19 ms,1.64 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:03:00,1.90 ms,1.81 ms,2.07 ms,1.27 ms,1.19 ms,1.64 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:03:20,1.54 ms,3.00 ms,2.07 ms,1.46 ms,1.19 ms,1.64 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:03:40,1.00 ms,1.19 ms,2.07 ms,1.46 ms,1.14 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:04:00,1.08 ms,2.15 ms,2.51 ms,2.46 ms,1.14 ms,1.88 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:04:20,1.88 ms,966 µs,2.51 ms,1000 µs,1.14 ms,1.88 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:04:40,2.73 ms,966 µs,2.51 ms,1000 µs,1.58 ms,1.88 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:05:00,2.52 ms,1.59 ms,1.88 ms,1.27 ms,1.58 ms,2.54 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:05:20,2.10 ms,1.59 ms,3.03 ms,1.27 ms,3.27 ms,2.54 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:05:40,1.73 ms,3.39 ms,3.03 ms,1.27 ms,1.69 ms,4.34 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:06:00,1.93 ms,1.80 ms,1.15 ms,1.24 ms,1.69 ms,1.80 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:06:20,1.95 ms,2.83 ms,1.69 ms,1.24 ms,1.46 ms,1.80 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:06:40,1.73 ms,1.03 ms,1.69 ms,1.24 ms,1.46 ms,1.42 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:07:00,1.41 ms,1.03 ms,1.69 ms,1.56 ms,1.46 ms,1.42 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:07:20,1.15 ms,864 µs,949 µs,1.56 ms,898 µs,1.42 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:07:40,1.10 ms,864 µs,949 µs,1.56 ms,898 µs,0 s,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:08:00,1.39 ms,1.93 ms,1.92 ms,763 µs,898 µs,1.78 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:08:20,1.75 ms,1.07 ms,966 µs,763 µs,1.10 ms,1.78 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:08:40,2.44 ms,2.47 ms,966 µs,1.64 ms,1.10 ms,3.31 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:09:00,2.25 ms,1.41 ms,1.54 ms,2.81 ms,2.63 ms,1.53 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:09:20,1.59 ms,2.22 ms,1.54 ms,1.93 ms,1.53 ms,1.53 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:09:40,2.36 ms,814 µs,2.64 ms,2.90 ms,1.53 ms,1.61 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:10:00,3.32 ms,1.97 ms,2.59 ms,966 µs,1.27 ms,2.76 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:10:20,4.68 ms,1.15 ms,2.59 ms,1.78 ms,1.27 ms,2.76 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:10:40,3.64 ms,2.07 ms,1.49 ms,814 µs,2.63 ms,1.15 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:11:00,3.32 ms,915 µs,1.08 ms,1.93 ms,1.36 ms,1.27 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:11:20,3.00 ms,2.24 ms,2.19 ms,1.12 ms,3.29 ms,1.27 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:11:40,2.78 ms,1.32 ms,2.19 ms,1.12 ms,1.93 ms,1.27 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:12:00,2.53 ms,3.02 ms,1.10 ms,2.47 ms,1.93 ms,1.66 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:12:20,2.31 ms,1.69 ms,1.31 ms,2.47 ms,1.02 ms,1.66 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:12:40,2.15 ms,3.03 ms,1.31 ms,3.69 ms,1.02 ms,1.66 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:13:00,2.14 ms,1.34 ms,1.58 ms,1.22 ms,1.02 ms,1.37 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:13:20,2.19 ms,2.46 ms,1.58 ms,2.68 ms,949 µs,1.37 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:13:40,2.14 ms,1.12 ms,1.58 ms,1.46 ms,949 µs,1.37 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:14:00,2.10 ms,2.17 ms,1.58 ms,2.44 ms,2.46 ms,1.41 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:14:20,2.17 ms,1.05 ms,1.58 ms,983 µs,1.51 ms,1.41 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:14:40,2.00 ms,1.05 ms,2.90 ms,983 µs,1.51 ms,3.46 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:15:00,1.49 ms,1.49 ms,1.32 ms,1.46 ms,0 s,2.05 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:15:20,1.71 ms,1.49 ms,2.32 ms,1.46 ms,1.25 ms,2.05 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:15:40,2.61 ms,2.44 ms,1000 µs,1.46 ms,1.25 ms,1.12 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:16:00,5.93 ms,2.08 ms,4.36 ms,1.71 ms,3.64 ms,1.12 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:16:20,9.10 ms,2.08 ms,6.29 ms,3.95 ms,2.39 ms,5.83 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:16:40,11.8 ms,2.15 ms,6.29 ms,3.95 ms,5.46 ms,4.71 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:17:00,10.8 ms,1.02 ms,5.71 ms,6.14 ms,3.07 ms,8.68 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:17:20,7.49 ms,2.76 ms,2.78 ms,3.90 ms,3.07 ms,3.97 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:17:40,4.41 ms,1.75 ms,2.78 ms,6.71 ms,2.71 ms,3.97 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:18:00,1.92 ms,3.02 ms,2.76 ms,2.81 ms,2.71 ms,2.54 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:18:20,1.63 ms,1.27 ms,2.76 ms,5.49 ms,4.98 ms,2.54 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:18:40,1.68 ms,2.95 ms,6.08 ms,2.68 ms,2.27 ms,2.54 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:19:00,2.02 ms,1.68 ms,6.12 ms,6.17 ms,5.49 ms,2.59 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:19:20,2.08 ms,3.12 ms,6.12 ms,3.49 ms,3.22 ms,2.59 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:19:40,2.00 ms,1.44 ms,2.80 ms,3.49 ms,3.22 ms,5.34 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:20:00,1.92 ms,3.49 ms,2.54 ms,3.44 ms,3.03 ms,2.75 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:20:20,1.25 ms,2.05 ms,2.54 ms,3.44 ms,3.03 ms,2.75 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:20:40,627 µs,2.05 ms,2.54 ms,6.00 ms,3.03 ms,2.49 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:21:00,373 µs,1.61 ms,3.34 ms,2.56 ms,3.42 ms,2.49 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:21:20,373 µs,1.61 ms,3.34 ms,2.56 ms,3.42 ms,2.49 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:21:40,915 µs,2.34 ms,3.34 ms,2.39 ms,3.42 ms,2.10 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:22:00,1.14 ms,729 µs,3.15 ms,2.39 ms,2.85 ms,2.10 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:22:20,2.36 ms,729 µs,3.15 ms,4.51 ms,2.85 ms,2.10 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:22:40,2.22 ms,932 µs,3.15 ms,2.12 ms,2.85 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:23:00,2.25 ms,1.88 ms,2.10 ms,4.12 ms,2.66 ms,2.32 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 06:23:20,1.86 ms,1.88 ms,4.66 ms,2.00 ms,2.66 ms,4.37 ms,0 s,0 s,0 s,0 s,0 s,0 s
