Time,"__name__=""dockerstats_memory_usage_bytes"",id=""1abf2c73b5c8"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node1""","__name__=""dockerstats_memory_usage_bytes"",id=""2e44704be3b3"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner4""","__name__=""dockerstats_memory_usage_bytes"",id=""49a0748cf5fb"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner2""","__name__=""dockerstats_memory_usage_bytes"",id=""99c366904a26"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node2""","__name__=""dockerstats_memory_usage_bytes"",id=""aab859a6c29b"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner1""","__name__=""dockerstats_memory_usage_bytes"",id=""bc5490ee0ead"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner3"""
2026-02-23 12:36:24,557772800,497004544,629264384,482861056,591933440,495837184
2026-02-23 12:36:54,617127936,653508608,942075904,497135616,886591488,515104768
2026-02-23 12:37:24,1144700928,1124597760,1134391296,637358080,1113272320,651825152
2026-02-23 12:37:54,1145978880,1129443328,1135853568,879665152,1114128384,780738560
2026-02-23 12:38:24,1146257408,1132363776,1157607424,1330069504,1129742336,991625216
2026-02-23 12:38:54,1159069696,1142800384,1161244672,1545011200,1129611264,991997952
2026-02-23 12:39:24,1160519680,1150590976,1166344192,2079047680,1139777536,2370375680
2026-02-23 12:39:54,1174847488,1154732032,1172815872,2394472448,1152884736,2407559168
2026-02-23 12:40:24,1175674880,1155944448,1184567296,2403770368,1155678208,2411143168
2026-02-23 12:40:54,1176301568,1157271552,1185239040,2404278272,1157021696,2411704320
2026-02-23 12:41:24,1176817664,1158057984,1186029568,2404741120,1158266880,2412728320
2026-02-23 12:41:54,1177108480,1158782976,1186562048,2405113856,1159507968,2413490176
2026-02-23 12:42:24,1177333760,1158975488,1186930688,2405523456,1159966720,2413715456
2026-02-23 12:42:54,1177849856,1159409664,1187028992,2405957632,1160978432,2413821952
2026-02-23 12:43:24,1178025984,1159655424,1187110912,2406248448,1161793536,2413879296
2026-02-23 12:43:54,1178394624,1159831552,1187241984,2406432768,1162727424,2413985792
2026-02-23 12:44:24,1178873856,1159995392,1187508224,2406518784,1163689984,2414243840
2026-02-23 12:44:54,1181425664,1160642560,1188073472,2406739968,1165570048,2414931968
2026-02-23 12:45:24,1184026624,1160949760,1188515840,2408976384,1167269888,2415271936
2026-02-23 12:45:54,1183846400,1161392128,1188884480,2409168896,1169620992,2415771648
2026-02-23 12:46:24,1184018432,1161777152,1189457920,2409349120,1173184512,2416119808
2026-02-23 12:46:54,1184075776,1161809920,1189281792,2409439232,1174122496,2416214016
2026-02-23 12:47:24,1184161792,1162039296,1189535744,2409578496,1176010752,2416443392
2026-02-23 12:47:54,1184305152,1162133504,1189621760,2409721856,1177874432,2416599040
2026-02-23 12:48:24,1184444416,1162358784,1189863424,2409865216,1179545600,2416783360
2026-02-23 12:48:54,1184563200,1162506240,1189978112,2410029056,1180590080,2416926720
2026-02-23 12:49:24,1184804864,1162706944,1190166528,2410291200,1216516096,2417180672
2026-02-23 12:49:54,1184870400,1162866688,1190346752,2410360832,1218891776,2417340416
2026-02-23 12:50:24,1185103872,1163358208,1191489536,2410639360,1221283840,2418159616
2026-02-23 12:50:54,1185189888,1163759616,1193631744,2410758144,1223946240,2418286592
2026-02-23 12:51:24,1185333248,1163943936,1193922560,2410889216,1226108928,2418507776
2026-02-23 12:51:54,1185505280,1166245888,1194180608,2411081728,1228468224,2418663424
2026-02-23 12:52:24,1185861632,1166831616,1195552768,2411364352,1231261696,2421399552
2026-02-23 12:52:54,1185996800,1166675968,1195839488,2411495424,1233465344,2421805056
2026-02-23 12:53:24,1198448640,1177657344,1196224512,2411646976,1243774976,2430578688
2026-02-23 12:53:54,1198518272,1177911296,1196376064,2411995136,1246191616,2430644224
2026-02-23 12:54:24,1198841856,1178574848,1197215744,2412023808,1249820672,2431250432
2026-02-23 12:54:54,1199104000,1178968064,1197510656,2412187648,1254416384,2431623168
2026-02-23 12:55:24,1199185920,1179254784,1197768704,2412351488,1260924928,2432094208
2026-02-23 12:55:54,1199210496,1179267072,1198080000,2412630016,1265074176,2432221184
2026-02-23 12:56:24,1199403008,1196445696,1198526464,2412924928,1269784576,2432671744
2026-02-23 12:56:54,1201590272,1196625920,1198673920,2414907392,1273929728,2432909312
