Time,"job=""promtail"""
2026-02-23 17:10:15,4.166666666666667
2026-02-23 17:10:45,0
2026-02-23 17:11:15,4.166666666666667
2026-02-23 17:11:45,25
2026-02-23 17:12:15,25
2026-02-23 17:12:45,25
2026-02-23 17:13:15,25
2026-02-23 17:13:45,25
2026-02-23 17:14:15,25
2026-02-23 17:14:45,0
2026-02-23 17:15:15,0
2026-02-23 17:15:45,0
2026-02-23 17:16:15,0
2026-02-23 17:16:45,16.666666666666668
2026-02-23 17:17:15,25
2026-02-23 17:17:45,25
2026-02-23 17:18:15,25
2026-02-23 17:18:45,25
2026-02-23 17:19:15,25
2026-02-23 17:19:45,25
2026-02-23 17:20:15,25
2026-02-23 17:20:45,20.833333333333332
2026-02-23 17:21:15,20.833333333333332
2026-02-23 17:21:45,25
2026-02-23 17:22:15,25
2026-02-23 17:22:45,25
2026-02-23 17:23:15,25
2026-02-23 17:23:45,25
2026-02-23 17:24:15,4.166666666666667
2026-02-23 17:24:45,0
2026-02-23 17:25:15,0
2026-02-23 17:25:45,0
2026-02-23 17:26:15,0
2026-02-23 17:26:45,25
2026-02-23 17:27:15,25
2026-02-23 17:27:45,25
2026-02-23 17:28:15,16.666666666666668
2026-02-23 17:28:45,25
2026-02-23 17:29:15,25
2026-02-23 17:29:45,20.833333333333332
2026-02-23 17:30:15,25
2026-02-23 17:30:45,25
2026-02-23 17:31:15,25
2026-02-23 17:31:45,0
2026-02-23 17:32:15,20.833333333333332
2026-02-23 17:32:45,25
2026-02-23 17:33:15,25
2026-02-23 17:33:45,25
2026-02-23 17:34:15,25
2026-02-23 17:34:45,25
2026-02-23 17:35:15,25
2026-02-23 17:35:45,25
2026-02-23 17:36:15,25
2026-02-23 17:36:45,4.166666666666667
2026-02-23 17:37:15,25
2026-02-23 17:37:45,25
2026-02-23 17:38:15,25
2026-02-23 17:38:45,25
2026-02-23 17:39:15,25
2026-02-23 17:39:45,25
2026-02-23 17:40:15,16.666666666666668
2026-02-23 17:40:45,0
2026-02-23 17:41:15,20.833333333333332
2026-02-23 17:41:45,4.166666666666667
2026-02-23 17:42:15,0
2026-02-23 17:42:45,25
2026-02-23 17:43:15,25
2026-02-23 17:43:45,25
2026-02-23 17:44:15,25
2026-02-23 17:44:45,25
2026-02-23 17:45:15,25
2026-02-23 17:45:45,25
2026-02-23 17:46:15,25
2026-02-23 17:46:45,25
2026-02-23 17:47:15,25
2026-02-23 17:47:45,25
2026-02-23 17:48:15,25
2026-02-23 17:48:45,25
2026-02-23 17:49:15,25
2026-02-23 17:49:45,25
2026-02-23 17:50:15,25
2026-02-23 17:50:45,25
2026-02-23 17:51:15,25
2026-02-23 17:51:45,25
2026-02-23 17:52:15,25
2026-02-23 17:52:45,25
2026-02-23 17:53:15,25
2026-02-23 17:53:45,25
2026-02-23 17:54:15,25
2026-02-23 17:54:45,25
2026-02-23 17:55:15,25
2026-02-23 17:55:45,2.0833333333333335
2026-02-23 17:56:15,25
2026-02-23 17:56:45,4.166666666666667
2026-02-23 17:57:15,25
2026-02-23 17:57:45,25
2026-02-23 17:58:15,25
2026-02-23 17:58:45,25
2026-02-23 17:59:15,25
2026-02-23 17:59:45,25
2026-02-23 18:00:15,25
2026-02-23 18:00:45,25
2026-02-23 18:01:15,25
2026-02-23 18:01:45,25
2026-02-23 18:02:15,21.328174
2026-02-23 18:02:45,25
2026-02-23 18:03:15,25
2026-02-23 18:03:45,25
2026-02-23 18:04:15,25
2026-02-23 18:04:45,25
2026-02-23 18:05:15,25
2026-02-23 18:05:45,0
2026-02-23 18:06:15,0
2026-02-23 18:06:45,0
2026-02-23 18:07:15,0
2026-02-23 18:07:45,25
2026-02-23 18:08:15,25
2026-02-23 18:08:45,25
2026-02-23 18:09:15,25
2026-02-23 18:09:45,0
2026-02-23 18:10:15,0
