Time,"__name__=""promtail_custom_block_uncle_count"",container_id=""rskj-miner1"",exported_job=""docker-json-logs"",instance=""host.docker.internal:9080"",job=""promtail"",source=""promtail"""
2026-02-23 19:56:46,0
2026-02-23 19:57:16,0
2026-02-23 19:57:46,0
2026-02-23 19:58:16,0
2026-02-23 19:58:46,0
2026-02-23 19:59:16,0
2026-02-23 19:59:46,0
2026-02-23 20:00:16,0
2026-02-23 20:00:46,0
2026-02-23 20:01:16,0
2026-02-23 20:01:46,0
2026-02-23 20:02:16,0
2026-02-23 20:02:46,0
2026-02-23 20:03:16,0
2026-02-23 20:03:46,0
2026-02-23 20:04:16,1
2026-02-23 20:04:46,0
2026-02-23 20:05:16,0
2026-02-23 20:05:46,0
2026-02-23 20:06:16,0
2026-02-23 20:06:46,0
2026-02-23 20:07:16,0
2026-02-23 20:07:46,1
2026-02-23 20:08:16,0
2026-02-23 20:08:46,0
2026-02-23 20:09:16,0
2026-02-23 20:09:46,0
2026-02-23 20:10:16,0
2026-02-23 20:10:46,0
2026-02-23 20:11:16,0
2026-02-23 20:11:46,0
2026-02-23 20:12:16,0
2026-02-23 20:12:46,0
2026-02-23 20:13:16,0
2026-02-23 20:13:46,0
2026-02-23 20:14:16,0
2026-02-23 20:14:46,0
2026-02-23 20:15:16,0
2026-02-23 20:15:46,0
2026-02-23 20:16:16,0
2026-02-23 20:16:46,0
