Time,"__name__=""dockerstats_memory_usage_bytes"",id=""47c8b2328504"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner4""","__name__=""dockerstats_memory_usage_bytes"",id=""6910db6b6dc5"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner3""","__name__=""dockerstats_memory_usage_bytes"",id=""a422f431b05b"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node1""","__name__=""dockerstats_memory_usage_bytes"",id=""b701c577194e"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner1""","__name__=""dockerstats_memory_usage_bytes"",id=""bcaacd1c62bd"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner2""","__name__=""dockerstats_memory_usage_bytes"",id=""e6179d367487"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node2"""
2026-02-19 22:13:33,1341263872,1310998528,1280487424,1433358336,1308250112,1256665088
2026-02-19 22:14:03,1343156224,1312882688,1282605056,1436704768,1310408704,1256673280
2026-02-19 22:14:33,1347379200,1314996224,1282629632,1444130816,1312583680,1256685568
2026-02-19 22:15:03,1349550080,1319759872,1282633728,1448562688,1316802560,1256681472
2026-02-19 22:15:33,1351938048,1321377792,1282908160,1451544576,1319002112,1256693760
2026-02-19 22:16:03,1355948032,1323524096,1284763648,1456848896,1321439232,1258831872
2026-02-19 22:16:33,1358123008,1327751168,1287409664,1460379648,1323335680,1260945408
2026-02-19 22:17:03,1360297984,1329864704,1289015296,1464102912,1325715456,1263083520
2026-02-19 22:17:33,1364512768,1332006912,1291374592,1467092992,1329733632,1265205248
2026-02-19 22:18:03,1366716416,1334173696,1291124736,1472811008,1331863552,1265483776
2026-02-19 22:18:33,1368854528,1338703872,1291390976,1483345920,1333997568,1265258496
2026-02-19 22:19:03,1373425664,1340547072,1293504512,1490010112,1338318848,1267380224
2026-02-19 22:19:33,1375277056,1342734336,1295630336,1493442560,1340428288,1267392512
2026-02-19 22:20:03,1377423360,1346949120,1295380480,1497870336,1342595072,1269501952
2026-02-19 22:20:33,1381703680,1349660672,1297739776,1504284672,1347117056,1271644160
2026-02-19 22:21:03,1383927808,1351340032,1299640320,1508544512,1349263360,1273757696
2026-02-19 22:21:33,1386110976,1355550720,1301749760,1513078784,1351290880,1273802752
2026-02-19 22:22:03,1390358528,1357750272,1301749760,1519456256,1355595776,1275899904
2026-02-19 22:22:33,1392545792,1359859712,1303871488,1523736576,1357713408,1278042112
2026-02-19 22:23:03,1396813824,1364156416,1303871488,1530028032,1359831040,1278033920
2026-02-19 22:23:33,1399013376,1366544384,1303887872,1535500288,1362079744,1278046208
2026-02-19 22:24:03,1403252736,1368543232,1306034176,1543790592,1366294528,1278054400
2026-02-19 22:24:33,1405444096,1372762112,1308405760,1549762560,1368481792,1280180224
2026-02-19 22:25:03,1407614976,1374957568,1310257152,1556180992,1370644480,1284386816
2026-02-19 22:25:33,1409789952,1377079296,1312391168,1564774400,1372786688,1286569984
2026-02-19 22:26:03,1414000640,1379188736,1312403456,1572319232,1377013760,1286578176
2026-02-19 22:26:33,1416146944,1383510016,1314516992,1471332352,1379127296,1288687616
2026-02-19 22:27:03,1418313728,1385627648,1316618240,1477554176,1381289984,1290805248
2026-02-19 22:27:33,1422544896,1387810816,1316896768,1486110720,1383510016,1290866688
2026-02-19 22:28:03,1424801792,1392128000,1316737024,1495670784,1387843584,1290977280
2026-02-19 22:28:33,1429118976,1394323456,1318879232,1505988608,1389977600,1293123584
2026-02-19 22:29:03,1431289856,1396441088,1318903808,1517060096,1392107520,1293131776
