Time,"__name__=""dockerstats_memory_usage_bytes"",id=""233a29e48ea9"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner3""","__name__=""dockerstats_memory_usage_bytes"",id=""84af8507a32f"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner4""","__name__=""dockerstats_memory_usage_bytes"",id=""a3da3c547f32"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner1""","__name__=""dockerstats_memory_usage_bytes"",id=""b9011014daaa"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node1""","__name__=""dockerstats_memory_usage_bytes"",id=""d3992f6a5d1f"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner2""","__name__=""dockerstats_memory_usage_bytes"",id=""e547aef343e7"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node2"""
2026-03-04 00:33:30,4292837376,4260298752,4236419072,4186574848,4287807488,6417166336
2026-03-04 00:34:00,4292694016,4260380672,4237238272,4186361856,4287897600,6417215488
2026-03-04 00:34:30,4294344704,4261601280,4239826944,4187086848,4289253376,6417604608
2026-03-04 00:35:00,4294463488,4262920192,4242567168,4187508736,4289998848,6418563072
2026-03-04 00:35:30,4294504448,4265840640,4245925888,4189638656,4292444160,6419382272
2026-03-04 00:36:00,4286636032,4268773376,4251279360,4192477184,4293767168,6420529152
2026-03-04 00:36:30,4292112384,4273573888,4257677312,4195504128,4292800512,6422761472
2026-03-04 00:37:00,4293398528,4276555776,4263170048,4198584320,4293881856,6425694208
2026-03-04 00:37:30,4293111808,4284338176,4273528832,4205780992,4292362240,6753804288
2026-03-04 00:38:00,4294344704,4286210048,4276723712,4206669824,4293611520,6754770944
2026-03-04 00:38:30,4292603904,4288565248,4281184256,4209258496,4293267456,6756425728
2026-03-04 00:39:00,4292509696,4291690496,4285841408,4211429376,4292931584,6757855232
2026-03-04 00:39:30,4293136384,4293087232,4292403200,4215091200,4294537216,6761013248
2026-03-04 00:40:00,4292812800,4293345280,4293083136,4217712640,4293492736,6763286528
2026-03-04 00:40:30,4292816896,4293402624,4293836800,4217458688,4293533696,6763278336
2026-03-04 00:41:00,4286439424,4287041536,4293349376,4221063168,4286476288,6766243840
2026-03-04 00:41:30,4287979520,4288131072,4293206016,4221747200,4288086016,6766907392
2026-03-04 00:42:00,4290732032,4290932736,4293693440,4223414272,4290383872,6768320512
2026-03-04 00:42:30,4293910528,4294311936,4293599232,4227948544,4293300224,6771421184
2026-03-04 00:43:00,4294307840,4292947968,4199174144,4230692864,4293820416,6773362688
2026-03-04 00:43:30,4293476352,4294086656,4206039040,4234039296,4293992448,6775226368
2026-03-04 00:44:00,4293361664,4292177920,4212662272,4236754944,4293427200,6777769984
2026-03-04 00:44:30,4249391104,4294443008,4219523072,4238565376,4294443008,6779568128
2026-03-04 00:45:00,4251156480,4180819968,4224901120,4119617536,4238843904,6780551168
2026-03-04 00:45:30,4258000896,4186488832,4233121792,4125409280,4244959232,6783557632
2026-03-04 00:46:00,4265025536,4193386496,4244213760,4131749888,4251709440,6786682880
2026-03-04 00:46:30,4268187648,4196229120,4254842880,4135145472,4255178752,6788472832
2026-03-04 00:47:00,4275867648,4201721856,4267364352,4141785088,4262699008,6791368704
2026-03-04 00:47:30,4283097088,4206567424,4278984704,4148359168,4269895680,6794633216
2026-03-04 00:48:00,4286365696,4209946624,4287987712,4151439360,4273332224,6796193792
2026-03-04 00:48:30,4290220032,4213256192,4293189632,4155584512,4277538816,6798368768
2026-03-04 00:49:00,4293398528,4216377344,4292980736,4158296064,4280619008,6800109568
2026-03-04 00:49:30,4292714496,4222631936,4288073728,4167761920,4289912832,6804410368
2026-03-04 00:50:00,4294291456,4223602688,4193529856,4169109504,4291571712,6805319680
2026-03-04 00:50:30,4294287360,4223582208,4198318080,4169224192,4291608576,6805319680
2026-03-04 00:51:00,4292165632,4227334144,4209238016,4172451840,4290707456,6806958080
