"Time","rskj-miner1:8080 (Copy)","rskj-miner2:8080 (Copy)","rskj-miner4:8080 (Copy)","rskj-node1:8080 (Copy)","rskj-miner1:8080 (MarkSweepCompact)","rskj-miner2:8080 (MarkSweepCompact)","rskj-miner4:8080 (MarkSweepCompact)","rskj-node1:8080 (MarkSweepCompact)"
2026-02-09 18:20:00,1.83 ms,1.58 ms,763 µs,763 µs,0 s,0 s,0 s,0 s
2026-02-09 18:22:00,2.46 ms,1.97 ms,1.41 ms,1.56 ms,0 s,0 s,0 s,0 s
2026-02-09 18:24:00,1.68 ms,2.69 ms,1.90 ms,1.85 ms,0 s,0 s,0 s,0 s
2026-02-09 18:26:00,2.98 ms,3.44 ms,2.22 ms,1.22 ms,0 s,0 s,0 s,0 s
2026-02-09 18:28:00,814 µs,1.69 ms,949 µs,780 µs,0 s,0 s,0 s,0 s
2026-02-09 18:30:00,2.27 ms,712 µs,2.12 ms,864 µs,0 s,0 s,0 s,0 s
2026-02-09 18:32:00,1.56 ms,610 µs,661 µs,661 µs,0 s,0 s,0 s,0 s
2026-02-09 18:34:00,2.32 ms,1.12 ms,1.54 ms,797 µs,0 s,0 s,0 s,0 s
2026-02-09 18:36:00,1.07 ms,1.24 ms,695 µs,915 µs,0 s,0 s,0 s,0 s
2026-02-09 18:38:00,1.31 ms,1.47 ms,2.80 ms,1.54 ms,0 s,0 s,0 s,0 s
2026-02-09 18:40:00,1.42 ms,2.03 ms,729 µs,1.08 ms,0 s,0 s,0 s,0 s
2026-02-09 18:42:00,1.15 ms,644 µs,1.71 ms,949 µs,0 s,0 s,0 s,0 s
2026-02-09 18:44:00,983 µs,1.76 ms,1.08 ms,864 µs,0 s,0 s,0 s,0 s
2026-02-09 18:46:00,1.34 ms,2.80 ms,2.59 ms,847 µs,0 s,0 s,0 s,0 s
2026-02-09 18:48:00,1.03 ms,814 µs,458 µs,627 µs,0 s,0 s,0 s,0 s
2026-02-09 18:50:00,915 µs,881 µs,1.83 ms,1.02 ms,0 s,0 s,0 s,0 s
2026-02-09 18:52:00,3.59 ms,729 µs,1.81 ms,3.14 ms,0 s,0 s,0 s,0 s
2026-02-09 18:54:00,881 µs,1.49 ms,2.27 ms,830 µs,0 s,0 s,0 s,0 s
2026-02-09 18:56:00,339 µs,949 µs,1.17 ms,1.37 ms,0 s,0 s,0 s,0 s
2026-02-09 18:58:00,830 µs,763 µs,1.05 ms,1.27 ms,0 s,0 s,0 s,0 s
2026-02-09 19:00:00,949 µs,763 µs,1.02 ms,1.42 ms,0 s,0 s,0 s,0 s
2026-02-09 19:02:00,542 µs,898 µs,1.34 ms,2.20 ms,0 s,0 s,0 s,0 s
2026-02-09 19:04:00,1.41 ms,1.64 ms,1.17 ms,864 µs,0 s,0 s,0 s,0 s
2026-02-09 19:06:00,1.31 ms,1.02 ms,831 µs,2.08 ms,0 s,0 s,0 s,0 s
2026-02-09 19:08:00,2.05 ms,2.25 ms,424 µs,780 µs,0 s,0 s,0 s,0 s
2026-02-09 19:10:00,1.29 ms,627 µs,814 µs,593 µs,0 s,0 s,0 s,0 s
2026-02-09 19:12:00,1.41 ms,542 µs,1.05 ms,949 µs,0 s,0 s,0 s,0 s
2026-02-09 19:14:00,4.83 ms,1.46 ms,2.66 ms,2.41 ms,0 s,0 s,0 s,0 s
2026-02-09 19:16:00,1.02 ms,4.58 ms,881 µs,1.12 ms,0 s,0 s,0 s,0 s
2026-02-09 19:18:00,593 µs,508 µs,0 s,1.07 ms,0 s,0 s,0 s,0 s
2026-02-09 19:20:00,322 µs,1.92 ms,0 s,1.58 ms,0 s,0 s,0 s,0 s
2026-02-09 19:22:00,1.80 ms,780 µs,1.48 ms,984 µs,0 s,0 s,0 s,0 s
2026-02-09 19:24:00,1.08 ms,831 µs,1.63 ms,898 µs,0 s,0 s,0 s,0 s
2026-02-09 19:26:00,424 µs,492 µs,729 µs,1.31 ms,0 s,0 s,0 s,0 s
2026-02-09 19:28:00,898 µs,1.83 ms,2.51 ms,949 µs,0 s,0 s,0 s,0 s
2026-02-09 19:30:00,1.34 ms,1.47 ms,576 µs,1.49 ms,0 s,0 s,0 s,0 s
2026-02-09 19:32:00,1.14 ms,1.63 ms,407 µs,610 µs,0 s,0 s,0 s,0 s
2026-02-09 19:34:00,1.68 ms,1.36 ms,949 µs,1.19 ms,0 s,0 s,0 s,0 s
