"Time","rskj-miner1:8080 (heap)","rskj-miner2:8080 (heap)","rskj-miner4:8080 (heap)","rskj-node1:8080 (heap)","rskj-miner1:8080-max","rskj-miner2:8080-max","rskj-miner4:8080-max","rskj-node1:8080-max"
2026-02-09 18:19:00,228 MiB,419 MiB,53.9 MiB,649 MiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-09 18:20:00,745 MiB,224 MiB,603 MiB,212 MiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-09 18:21:00,416 MiB,812 MiB,317 MiB,571 MiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-09 18:22:00,851 MiB,463 MiB,694 MiB,39.6 MiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-09 18:23:00,726 MiB,608 MiB,757 MiB,818 MiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-09 18:24:00,434 MiB,370 MiB,422 MiB,377 MiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-09 18:25:00,160 MiB,689 MiB,650 MiB,454 MiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-09 18:26:00,678 MiB,319 MiB,193 MiB,720 MiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-09 18:27:00,250 MiB,737 MiB,525 MiB,124 MiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-09 18:28:00,601 MiB,172 MiB,670 MiB,153 MiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-09 18:29:00,54.3 MiB,332 MiB,725 MiB,117 MiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-09 18:30:00,569 MiB,837 MiB,360 MiB,433 MiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-09 18:31:00,844 MiB,102 MiB,405 MiB,413 MiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-09 18:32:00,395 MiB,488 MiB,683 MiB,620 MiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-09 18:33:00,700 MiB,564 MiB,658 MiB,550 MiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-09 18:34:00,279 MiB,175 MiB,218 MiB,782 MiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-09 18:35:00,583 MiB,320 MiB,273 MiB,797 MiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-09 18:36:00,141 MiB,411 MiB,344 MiB,767 MiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-09 18:37:00,516 MiB,820 MiB,626 MiB,170 MiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-09 18:38:00,193 MiB,587 MiB,336 MiB,503 MiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-09 18:39:00,627 MiB,834 MiB,517 MiB,573 MiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-09 18:40:00,225 MiB,185 MiB,613 MiB,570 MiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-09 18:41:00,595 MiB,487 MiB,873 MiB,722 MiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-09 18:42:00,216 MiB,631 MiB,111 MiB,709 MiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-09 18:43:00,757 MiB,281 MiB,465 MiB,143 MiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-09 18:44:00,481 MiB,421 MiB,547 MiB,118 MiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
