"Time","rskj-miner1","rskj-miner2","rskj-miner4","rskj-node1","rskj-miner1","rskj-miner2","rskj-miner4","rskj-node1"
2026-02-09 19:34:00,39.2 KiB,3.75 KiB,3.76 KiB,3.79 KiB,-44.1 KiB,-12.0 KiB,-12.0 KiB,-11.8 KiB
2026-02-09 19:36:00,39.1 KiB,3.26 KiB,3.26 KiB,3.29 KiB,-43.7 KiB,-11.5 KiB,-11.6 KiB,-11.4 KiB
2026-02-09 19:38:00,29.0 KiB,2.58 KiB,2.58 KiB,2.61 KiB,-34.2 KiB,-10.6 KiB,-10.7 KiB,-10.5 KiB
2026-02-09 19:40:00,20.0 KiB,2.40 KiB,2.41 KiB,2.40 KiB,-26.5 KiB,-10.4 KiB,-10.4 KiB,-10.2 KiB
2026-02-09 19:42:00,24.4 KiB,2.27 KiB,2.28 KiB,2.27 KiB,-30.1 KiB,-10.3 KiB,-10.3 KiB,-10.2 KiB
2026-02-09 19:44:00,39.4 KiB,2.48 KiB,2.49 KiB,2.49 KiB,-43.1 KiB,-10.5 KiB,-10.4 KiB,-10.4 KiB
2026-02-09 19:46:00,36.5 KiB,3.00 KiB,3.03 KiB,3.04 KiB,-40.9 KiB,-10.9 KiB,-10.9 KiB,-10.8 KiB
2026-02-09 19:48:00,36.3 KiB,2.40 KiB,2.42 KiB,2.42 KiB,-40.3 KiB,-10.5 KiB,-10.4 KiB,-10.3 KiB
2026-02-09 19:50:00,35.5 KiB,2.18 KiB,2.19 KiB,2.17 KiB,-39.5 KiB,-10.2 KiB,-10.2 KiB,-10.2 KiB
2026-02-09 19:52:00,34.3 KiB,2.91 KiB,2.91 KiB,2.89 KiB,-39.1 KiB,-10.9 KiB,-10.8 KiB,-10.7 KiB
2026-02-09 19:54:00,34.3 KiB,2.92 KiB,2.89 KiB,2.90 KiB,-39.1 KiB,-10.9 KiB,-10.9 KiB,-10.7 KiB
2026-02-09 19:56:00,34.5 KiB,2.51 KiB,2.50 KiB,2.50 KiB,-38.9 KiB,-10.5 KiB,-10.6 KiB,-10.4 KiB
2026-02-09 19:58:00,34.5 KiB,2.96 KiB,2.96 KiB,2.94 KiB,-39.3 KiB,-10.9 KiB,-10.9 KiB,-10.8 KiB
2026-02-09 20:00:00,35.1 KiB,2.76 KiB,2.76 KiB,2.74 KiB,-39.6 KiB,-10.7 KiB,-10.7 KiB,-10.6 KiB
2026-02-09 20:02:00,34.4 KiB,2.35 KiB,2.33 KiB,2.33 KiB,-38.7 KiB,-10.4 KiB,-10.3 KiB,-10.3 KiB
2026-02-09 20:04:00,34.5 KiB,2.69 KiB,2.66 KiB,2.66 KiB,-38.9 KiB,-10.6 KiB,-10.7 KiB,-10.5 KiB
