"Time","rskj-miner1","rskj-miner2","rskj-miner4","rskj-node1"
2026-02-09 18:18:00,172%,124%,104%,114%
2026-02-09 18:20:00,112%,68.3%,63.1%,76.9%
2026-02-09 18:22:00,54.4%,26.3%,34.3%,33.6%
2026-02-09 18:24:00,71.6%,45.6%,36.4%,32.3%
2026-02-09 18:26:00,72.6%,70.8%,45.7%,60.8%
2026-02-09 18:28:00,60.3%,16.2%,33.9%,20.4%
2026-02-09 18:30:00,58.8%,43.3%,67.1%,42.1%
2026-02-09 18:32:00,70.3%,19.7%,21.5%,27.0%
2026-02-09 18:34:00,56.3%,19.4%,26.9%,29.3%
2026-02-09 18:36:00,57.9%,30.6%,13.6%,14.2%
2026-02-09 18:38:00,83.5%,20.5%,16.6%,24.7%
2026-02-09 18:40:00,68.8%,24.2%,23.8%,19.9%
2026-02-09 18:42:00,38.0%,24.1%,20.5%,18.1%
2026-02-09 18:44:00,46.9%,13.5%,13.2%,11.1%
2026-02-09 18:46:00,60.9%,25.8%,12.6%,15.5%
2026-02-09 18:48:00,57.9%,18.0%,9.24%,11.3%
2026-02-09 18:50:00,57.2%,35.2%,37.2%,22.6%
2026-02-09 18:52:00,47.8%,21.2%,11.8%,10.2%
2026-02-09 18:54:00,68.3%,19.1%,7.80%,18.9%
2026-02-09 18:56:00,14.0%,23.0%,23.4%,26.8%
2026-02-09 18:58:00,58.9%,16.1%,10.5%,11.0%
2026-02-09 19:00:00,41.8%,11.8%,9.62%,6.32%
2026-02-09 19:02:00,48.3%,24.2%,28.5%,32.4%
2026-02-09 19:04:00,48.0%,13.8%,16.0%,8.65%
2026-02-09 19:06:00,49.1%,17.3%,12.0%,29.0%
2026-02-09 19:08:00,43.5%,31.3%,21.0%,18.3%
2026-02-09 19:10:00,45.8%,20.1%,19.2%,20.4%
2026-02-09 19:12:00,54.3%,20.0%,19.2%,15.6%
2026-02-09 19:14:00,34.4%,19.6%,20.3%,12.3%
2026-02-09 19:16:00,39.5%,15.2%,10.2%,20.2%
2026-02-09 19:18:00,39.8%,7.20%,13.7%,12.7%
2026-02-09 19:20:00,27.5%,14.6%,15.9%,18.4%
2026-02-09 19:22:00,35.0%,15.7%,8.47%,20.1%
2026-02-09 19:24:00,39.8%,17.0%,11.9%,18.5%
2026-02-09 19:26:00,34.9%,10.8%,19.8%,20.9%
2026-02-09 19:28:00,54.0%,29.5%,43.8%,33.7%
2026-02-09 19:30:00,47.0%,13.2%,13.4%,15.4%
2026-02-09 19:32:00,47.5%,24.3%,29.2%,23.6%
2026-02-09 19:34:00,65.9%,29.7%,25.9%,24.6%
2026-02-09 19:36:00,38.5%,11.0%,11.7%,19.2%
2026-02-09 19:38:00,20.9%,13.4%,15.5%,13.9%
2026-02-09 19:40:00,38.9%,22.5%,28.2%,19.9%
2026-02-09 19:42:00,58.5%,7.22%,7.80%,9.30%
2026-02-09 19:44:00,38.8%,10.2%,10.1%,9.28%
2026-02-09 19:46:00,63.8%,20.5%,12.6%,5.20%
2026-02-09 19:48:00,48.9%,25.4%,14.2%,11.5%
2026-02-09 19:50:00,27.3%,8.00%,5.24%,21.4%
2026-02-09 19:52:00,37.5%,22.7%,28.1%,18.2%
2026-02-09 19:54:00,10.4%,11.1%,14.7%,26.4%
2026-02-09 19:56:00,38.1%,13.0%,13.1%,18.0%
2026-02-09 19:58:00,32.3%,8.06%,4.53%,12.9%
2026-02-09 20:00:00,37.2%,17.8%,19.8%,14.3%
2026-02-09 20:02:00,58.4%,33.0%,37.1%,27.7%
2026-02-09 20:04:00,40.4%,30.0%,28.1%,15.3%
2026-02-09 20:06:00,56.7%,21.1%,26.8%,25%
2026-02-09 20:08:00,28.8%,22.4%,25.3%,20.7%
2026-02-09 20:10:00,42.0%,21.1%,27.7%,17.3%
2026-02-09 20:12:00,31.6%,31.9%,18.9%,27.2%
2026-02-09 20:14:00,23.2%,15.1%,14.4%,20.8%
2026-02-09 20:16:00,44.4%,4.28%,8.39%,11.3%
2026-02-09 20:18:00,44.7%,29.1%,22.0%,26.7%
2026-02-09 20:20:00,23.2%,6.26%,12.6%,7.96%
2026-02-09 20:22:00,50.2%,21.0%,21.6%,18.1%
2026-02-09 20:24:00,51.7%,21.7%,8.99%,30.3%
2026-02-09 20:26:00,31.8%,9.03%,6.30%,6.15%
2026-02-09 20:28:00,31.5%,13.6%,15.8%,14.3%
2026-02-09 20:30:00,42.1%,10.3%,14.0%,14.7%
2026-02-09 20:32:00,35.0%,7.51%,21.2%,13.0%
2026-02-09 20:34:00,61.1%,13.9%,23.4%,18.8%
2026-02-09 20:36:00,43.5%,20.8%,27.2%,22.1%
2026-02-09 20:38:00,59.1%,19.1%,13.4%,15.3%
2026-02-09 20:40:00,51.8%,22.5%,15.8%,14.4%
2026-02-09 20:42:00,52.9%,16.6%,16.8%,31.7%
2026-02-09 20:44:00,44.7%,20.8%,16.8%,21.1%
2026-02-09 20:46:00,42.7%,27.9%,17.0%,27.9%
2026-02-09 20:48:00,68.9%,20.4%,16.0%,23.1%
2026-02-09 20:50:00,40.5%,19.4%,16.7%,16.6%
2026-02-09 20:52:00,71.8%,16.6%,17.2%,10.8%
2026-02-09 20:54:00,23.6%,26.2%,20.9%,18.9%
2026-02-09 20:56:00,50.5%,25.1%,34.0%,30.3%
2026-02-09 20:58:00,35.8%,15.2%,14.7%,38.8%
2026-02-09 21:00:00,41.4%,26.8%,12.8%,27.1%
2026-02-09 21:02:00,43.6%,34.4%,26.0%,21.1%
2026-02-09 21:04:00,34.4%,13.1%,12.3%,18.8%
2026-02-09 21:06:00,49.8%,3.95%,12.2%,8.95%
2026-02-09 21:08:00,35.0%,16.4%,17.7%,16.2%
2026-02-09 21:10:00,54.8%,13.8%,8.42%,11.4%
