"Time","rskj-node1","rskj-miner1","rskj-miner2","rskj-miner2","rskj-miner4","rskj-miner4","rskj-miner1","rskj-node1"
2026-02-09 23:00:00,1.95 GiB,,2.18 GiB,,2.08 GiB,,2.13 GiB,
2026-02-09 23:04:00,1.96 GiB,,2.19 GiB,,2.10 GiB,,2.17 GiB,
2026-02-09 23:08:00,1.97 GiB,,2.19 GiB,,2.10 GiB,,2.10 GiB,
2026-02-09 23:12:00,1.97 GiB,,2.20 GiB,,2.11 GiB,,2.14 GiB,
2026-02-09 23:16:00,2.02 GiB,,2.21 GiB,,2.12 GiB,,2.19 GiB,
2026-02-09 23:20:00,2.03 GiB,,2.21 GiB,,2.13 GiB,,2.22 GiB,
2026-02-09 23:24:00,2.03 GiB,,2.22 GiB,,2.13 GiB,,2.25 GiB,
2026-02-09 23:28:00,2.03 GiB,,2.23 GiB,,2.14 GiB,,2.19 GiB,
2026-02-09 23:32:00,2.05 GiB,,2.23 GiB,,2.15 GiB,,2.22 GiB,
2026-02-09 23:36:00,2.05 GiB,,2.24 GiB,,2.16 GiB,,2.26 GiB,
2026-02-09 23:40:00,2.07 GiB,,2.25 GiB,,2.14 GiB,,2.22 GiB,
2026-02-09 23:44:00,2.08 GiB,,2.26 GiB,,2.15 GiB,,2.25 GiB,
2026-02-09 23:48:00,2.08 GiB,,2.26 GiB,,2.16 GiB,,2.29 GiB,
2026-02-09 23:52:00,2.09 GiB,,2.27 GiB,,2.17 GiB,,2.22 GiB,
2026-02-09 23:56:00,2.10 GiB,,2.28 GiB,,2.18 GiB,,2.26 GiB,
2026-02-10 00:00:00,2.11 GiB,,2.29 GiB,,2.19 GiB,,2.30 GiB,
2026-02-10 00:04:00,2.13 GiB,,2.30 GiB,,2.22 GiB,,2.36 GiB,
2026-02-10 00:08:00,2.13 GiB,,2.31 GiB,,2.23 GiB,,2.30 GiB,
2026-02-10 00:12:00,2.14 GiB,,2.31 GiB,,2.24 GiB,,2.33 GiB,
2026-02-10 00:16:00,2.15 GiB,,2.32 GiB,,2.26 GiB,,2.36 GiB,
2026-02-10 00:20:00,2.16 GiB,,2.38 GiB,,2.18 GiB,,2.30 GiB,
2026-02-10 00:24:00,2.17 GiB,,2.39 GiB,,2.18 GiB,,2.33 GiB,
2026-02-10 00:28:00,2.17 GiB,,2.39 GiB,,2.19 GiB,,2.36 GiB,
2026-02-10 00:32:00,2.16 GiB,,2.44 GiB,,2.21 GiB,,2.43 GiB,
2026-02-10 00:36:00,2.17 GiB,,2.44 GiB,,2.21 GiB,,2.37 GiB,
2026-02-10 00:40:00,2.17 GiB,,2.45 GiB,,2.22 GiB,,2.40 GiB,
2026-02-10 00:44:00,2.18 GiB,,2.46 GiB,,2.23 GiB,,2.44 GiB,
2026-02-10 00:48:00,2.19 GiB,,2.46 GiB,,2.24 GiB,,2.38 GiB,
2026-02-10 00:52:00,2.24 GiB,,2.47 GiB,,2.31 GiB,,2.43 GiB,
2026-02-10 00:56:00,2.24 GiB,,2.48 GiB,,2.31 GiB,,2.47 GiB,
2026-02-10 01:00:00,2.25 GiB,,2.49 GiB,,2.32 GiB,,2.51 GiB,
2026-02-10 01:04:00,2.25 GiB,,2.50 GiB,,2.33 GiB,,2.45 GiB,
2026-02-10 01:08:00,2.27 GiB,,2.51 GiB,,2.35 GiB,,2.48 GiB,
2026-02-10 01:12:00,2.27 GiB,,2.51 GiB,,2.35 GiB,,2.52 GiB,
2026-02-10 01:16:00,2.27 GiB,,2.52 GiB,,2.34 GiB,,2.48 GiB,
2026-02-10 01:20:00,2.28 GiB,,2.53 GiB,,2.35 GiB,,2.52 GiB,
2026-02-10 01:24:00,2.28 GiB,,2.54 GiB,,2.36 GiB,,2.55 GiB,
2026-02-10 01:28:00,2.30 GiB,,2.55 GiB,,2.37 GiB,,2.49 GiB,
2026-02-10 01:32:00,2.30 GiB,,2.55 GiB,,2.38 GiB,,2.53 GiB,
2026-02-10 01:36:00,2.34 GiB,,2.56 GiB,,2.42 GiB,,2.58 GiB,
2026-02-10 01:40:00,2.34 GiB,,2.57 GiB,,2.43 GiB,,2.61 GiB,
2026-02-10 01:44:00,2.35 GiB,,2.58 GiB,,2.44 GiB,,2.56 GiB,
2026-02-10 01:48:00,2.36 GiB,,2.59 GiB,,2.46 GiB,,2.59 GiB,
2026-02-10 01:52:00,2.37 GiB,,2.60 GiB,,2.47 GiB,,2.63 GiB,
2026-02-10 01:56:00,2.37 GiB,,2.60 GiB,,2.47 GiB,,2.57 GiB,
2026-02-10 02:00:00,2.39 GiB,,2.74 GiB,,2.48 GiB,,2.63 GiB,
2026-02-10 02:04:00,2.39 GiB,,2.74 GiB,,2.49 GiB,,2.66 GiB,
2026-02-10 02:08:00,2.40 GiB,,2.75 GiB,,2.50 GiB,,2.70 GiB,
2026-02-10 02:12:00,2.41 GiB,,2.76 GiB,,2.51 GiB,,2.64 GiB,
2026-02-10 02:16:00,2.42 GiB,,2.76 GiB,,2.51 GiB,,2.67 GiB,
2026-02-10 02:20:00,2.42 GiB,,2.77 GiB,,2.52 GiB,,2.70 GiB,
2026-02-10 02:24:00,2.45 GiB,,2.78 GiB,,2.57 GiB,,2.67 GiB,
2026-02-10 02:28:00,2.45 GiB,,2.79 GiB,,2.58 GiB,,2.70 GiB,
2026-02-10 02:32:00,2.46 GiB,,2.79 GiB,,2.59 GiB,,2.73 GiB,
2026-02-10 02:36:00,2.46 GiB,,2.80 GiB,,2.60 GiB,,2.77 GiB,
2026-02-10 02:40:00,2.47 GiB,,2.81 GiB,,2.61 GiB,,2.70 GiB,
2026-02-10 02:44:00,2.48 GiB,,2.82 GiB,,2.62 GiB,,2.74 GiB,
2026-02-10 02:48:00,2.53 GiB,,2.83 GiB,,2.65 GiB,,2.78 GiB,
2026-02-10 02:52:00,2.53 GiB,,2.83 GiB,,2.66 GiB,,2.73 GiB,
2026-02-10 02:56:00,2.54 GiB,,2.84 GiB,,2.66 GiB,,2.75 GiB,
2026-02-10 03:00:00,2.54 GiB,,2.84 GiB,,2.67 GiB,,2.79 GiB,
2026-02-10 03:04:00,2.55 GiB,,2.85 GiB,,2.68 GiB,,2.82 GiB,
2026-02-10 03:08:00,2.56 GiB,,2.86 GiB,,2.69 GiB,,2.76 GiB,
2026-02-10 03:12:00,2.56 GiB,,2.87 GiB,,2.68 GiB,,2.82 GiB,
2026-02-10 03:16:00,2.56 GiB,,2.87 GiB,,2.69 GiB,,2.85 GiB,
2026-02-10 03:20:00,2.57 GiB,,2.88 GiB,,2.70 GiB,,2.80 GiB,
2026-02-10 03:24:00,2.58 GiB,,2.89 GiB,,2.71 GiB,,2.83 GiB,
2026-02-10 03:28:00,2.59 GiB,,2.81 GiB,,2.72 GiB,,2.86 GiB,
2026-02-10 03:32:00,2.63 GiB,,2.82 GiB,,2.68 GiB,,2.91 GiB,
2026-02-10 03:36:00,2.64 GiB,,2.82 GiB,,2.69 GiB,,2.85 GiB,
2026-02-10 03:40:00,2.65 GiB,,2.83 GiB,,2.70 GiB,,2.89 GiB,
2026-02-10 03:44:00,2.65 GiB,,2.84 GiB,,2.70 GiB,,2.92 GiB,
2026-02-10 03:48:00,2.66 GiB,,2.85 GiB,,2.72 GiB,,2.95 GiB,
2026-02-10 03:52:00,2.67 GiB,,2.85 GiB,,2.72 GiB,,2.89 GiB,
2026-02-10 03:56:00,2.67 GiB,,2.86 GiB,,2.75 GiB,,2.93 GiB,
