Time,"__name__=""dockerstats_memory_usage_bytes"",id=""2448b4734be3"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner2""","__name__=""dockerstats_memory_usage_bytes"",id=""2e7a9b320abc"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner1""","__name__=""dockerstats_memory_usage_bytes"",id=""3103e9d23be4"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node2""","__name__=""dockerstats_memory_usage_bytes"",id=""5908d36887d3"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node1"""
2026-03-20 16:49:37,8583241728,8495067136,5618782208,5564928000
2026-03-20 16:50:07,8588328960,8507138048,5619462144,5567660032
2026-03-20 16:50:37,8509710336,8553304064,5620097024,5567709184
2026-03-20 16:51:07,8551518208,8586842112,5620236288,5568139264
2026-03-20 16:51:37,8567971840,8492519424,5621784576,5568233472
2026-03-20 16:52:07,8573308928,8496992256,5623390208,5568897024
2026-03-20 16:52:37,8581804032,8505659392,5624365056,5569384448
2026-03-20 16:53:07,8582639616,8530186240,5627449344,5570088960
2026-03-20 16:53:37,8516272128,8572145664,5627969536,5570572288
2026-03-20 16:54:07,8558436352,8488034304,5627883520,5570449408
2026-03-20 16:54:37,8482205696,8528949248,5628301312,5570965504
2026-03-20 16:55:07,8515457024,8563838976,5628899328,5571850240
2026-03-20 16:55:37,8552255488,8485322752,5629833216,5572907008
2026-03-20 16:56:07,8572293120,8507723776,5630267392,5573087232
2026-03-20 16:56:37,8581443584,8518242304,5632040960,5575159808
2026-03-20 16:57:07,8585670656,8521523200,5634834432,5576024064
2026-03-20 16:57:37,8588222464,8526213120,5636259840,5577097216
2026-03-20 16:58:07,8583839744,8531427328,5637496832,5579038720
2026-03-20 16:58:37,8584384512,8544915456,5638803456,5578895360
2026-03-20 16:59:07,8475398144,8567021568,5666889728,5606125568
2026-03-20 16:59:37,8495128576,8574681088,5670064128,5610156032
2026-03-20 17:00:07,8532905984,8589873152,5670633472,5610303488
2026-03-20 17:00:37,8559345664,8584126464,5670772736,5610627072
2026-03-20 17:01:07,8500916224,8586227712,5672701952,5611610112
2026-03-20 17:01:37,8554364928,8585478144,5673426944,5612679168
2026-03-20 17:02:07,8482406400,8585195520,5674123264,5613641728
2026-03-20 17:02:37,8512167936,8583680000,5675323392,5615980544
2026-03-20 17:03:07,8546127872,8501075968,5676388352,5616152576
2026-03-20 17:03:37,8589529088,8548020224,5677166592,5616295936
2026-03-20 17:04:07,8511057920,8581070848,5677998080,5618966528
2026-03-20 17:04:37,8546136064,8507019264,5679230976,5620178944
2026-03-20 17:05:07,8573034496,8533991424,5679849472,5620813824
2026-03-20 17:05:37,8578932736,8566038528,5681438720,5622181888
2026-03-20 17:06:07,8588767232,8570294272,5681942528,5623136256
2026-03-20 17:06:37,8484765696,8574173184,5686050816,5624299520
2026-03-20 17:07:07,8490098688,8577744896,5687361536,5625180160
2026-03-20 17:07:37,8508014592,8588087296,5688639488,5625630720
2026-03-20 17:08:07,8550539264,8507478016,5688995840,5627121664
2026-03-20 17:08:37,8587870208,8551530496,5690134528,5626990592
2026-03-20 17:09:07,8506847232,8482193408,5692211200,5628395520
2026-03-20 17:09:37,8544624640,8518729728,5692329984,5629169664
2026-03-20 17:10:07,8574767104,8552579072,5692895232,5630013440
2026-03-20 17:10:37,8494637056,8589148160,5693841408,5630234624
2026-03-20 17:11:07,8535027712,8518684672,5695062016,5630918656
2026-03-20 17:11:37,8576389120,8561672192,5696716800,5631569920
2026-03-20 17:12:07,8516194304,8501559296,5696872448,5633351680
2026-03-20 17:12:37,8563765248,8551223296,5698125824,5634342912
2026-03-20 17:13:07,8589856768,8583389184,5699137536,5635186688
2026-03-20 17:13:37,8500682752,8496263168,5700308992,5636026368
2026-03-20 17:14:07,8535564288,8533544960,5701287936,5636333568
2026-03-20 17:14:37,8558022656,8552443904,5702709248,5637283840
2026-03-20 17:15:07,8574201856,8569942016,5703942144,5638438912
2026-03-20 17:15:37,8581120000,8575430656,5705388032,5639225344
2026-03-20 17:16:07,8588718080,8587837440,5706493952,5639983104
2026-03-20 17:16:37,8481677312,8486346752,5707747328,5640732672
2026-03-20 17:17:07,8501460992,8506494976,5709160448,5641404416
2026-03-20 17:17:37,8529854464,8534065152,5710581760,5641932800
2026-03-20 17:18:07,8534802432,8538669056,5711474688,5643280384
2026-03-20 17:18:37,8556916736,8561532928,5712904192,5644009472
2026-03-20 17:19:07,8574308352,8579186688,5713596416,5645029376
2026-03-20 17:19:37,8588541952,8588095488,5715025920,5646417920
