Time,"exported_name=""BLOCKCHAIN_FLUSH"",instance=""rskj-miner1:8080"",job=""rskj-jvm"",name=""rskj-miner1""","exported_name=""BLOCKCHAIN_FLUSH"",instance=""rskj-miner2:8080"",job=""rskj-jvm"",name=""rskj-miner2""","exported_name=""BLOCKCHAIN_FLUSH"",instance=""rskj-miner3:8080"",job=""rskj-jvm"",name=""rskj-miner3""","exported_name=""BLOCKCHAIN_FLUSH"",instance=""rskj-miner4:8080"",job=""rskj-jvm"",name=""rskj-miner4""","exported_name=""BLOCKCHAIN_FLUSH"",instance=""rskj-node1:8080"",job=""rskj-jvm"",name=""rskj-node1""","exported_name=""BLOCKCHAIN_FLUSH"",instance=""rskj-node2:8080"",job=""rskj-jvm"",name=""rskj-node2"""
2026-03-10 15:56:29,0,0,0,0,0,0
2026-03-10 15:56:59,0,0,0,0,0,0
2026-03-10 15:57:29,0,0,0,0,0,0
2026-03-10 15:57:59,0,0,0,0,0,0
2026-03-10 15:58:29,0,0,0,0,0,0
2026-03-10 15:58:59,0,0,0,0,0,0
2026-03-10 15:59:29,0,0,0,0,0,0
2026-03-10 15:59:59,0,0,0,0,0,0
2026-03-10 16:00:29,0,0,0,0,0,0
2026-03-10 16:00:59,0,0,0,0,0,0
2026-03-10 16:01:29,0,0,0,,0,0
2026-03-10 16:01:59,0,0,0,0,0,0
2026-03-10 16:02:29,0,0,0,0,0,0
2026-03-10 16:02:59,0,0,0,0,0,0
2026-03-10 16:03:29,0,0,0,0,0,0
2026-03-10 16:03:59,0,0,0,0,0,0
2026-03-10 16:04:29,0,0,0,0,0,0
2026-03-10 16:04:59,0,0,0,0,0,0
2026-03-10 16:05:29,0,0,0,0,0,0
2026-03-10 16:05:59,0,0,0,0,0,0
2026-03-10 16:06:29,0,0,0,0,0,0
2026-03-10 16:06:59,0,0,0,0,0,0
2026-03-10 16:07:29,0,0,0,0,0,0
2026-03-10 16:07:59,0,0,0,0,0,0
2026-03-10 16:08:29,0,0,0,0,0,0
2026-03-10 16:08:59,0,0,0,0,0,0
2026-03-10 16:09:29,0,0,0,0,0,0
2026-03-10 16:09:59,0,0,0,0,0,0
2026-03-10 16:10:29,0,0,0,0,0,0
2026-03-10 16:10:59,0,0,0,0,0,0
2026-03-10 16:11:29,0,0,0,0,0,0
2026-03-10 16:11:59,0,0,0,0,0,0
2026-03-10 16:12:29,0,0,0,0,0,0
2026-03-10 16:12:59,0,0,3.012621834,4.793585544,3.632265626,0
2026-03-10 16:13:29,0,0,3.012621834,4.793585544,3.632265626,0
2026-03-10 16:13:59,0,0,3.012621834,4.793585544,3.632265626,0
2026-03-10 16:14:29,0,0,3.012621834,4.793585544,3.632265626,0
2026-03-10 16:14:59,0,0,3.012621834,4.793585544,3.632265626,0
2026-03-10 16:15:29,0,0,3.012621834,4.793585544,3.632265626,0
2026-03-10 16:15:59,0,0,3.012621834,4.793585544,3.632265626,0
2026-03-10 16:16:29,0,0,3.012621834,4.793585544,3.632265626,0
2026-03-10 16:16:59,0,0,3.012621834,4.793585544,3.632265626,0
2026-03-10 16:17:29,0,0,3.012621834,4.793585544,3.632265626,0
2026-03-10 16:17:59,0,0,3.012621834,4.793585544,3.632265626,0
2026-03-10 16:18:29,0,0,3.012621834,4.793585544,3.632265626,0
2026-03-10 16:18:59,0,0,3.012621834,4.793585544,3.632265626,0
2026-03-10 16:19:29,0,0,3.012621834,4.793585544,3.632265626,0
2026-03-10 16:19:59,0,0,3.012621834,4.793585544,3.632265626,0
2026-03-10 16:20:29,0,0,3.012621834,4.793585544,3.632265626,0
2026-03-10 16:20:59,0,0,3.012621834,4.793585544,3.632265626,0
2026-03-10 16:21:29,0,0,3.012621834,4.793585544,3.632265626,0
2026-03-10 16:21:59,0,0,3.012621834,4.793585544,3.632265626,0
2026-03-10 16:22:29,0,0,3.012621834,4.793585544,3.632265626,0
2026-03-10 16:22:59,0,0,3.012621834,4.793585544,3.632265626,0
2026-03-10 16:23:29,0,0,3.012621834,4.793585544,3.632265626,0
2026-03-10 16:23:59,0,0,3.012621834,4.793585544,3.632265626,0
2026-03-10 16:24:29,0,0,3.012621834,4.793585544,3.632265626,0
2026-03-10 16:24:59,0,0,3.012621834,4.793585544,3.632265626,0
2026-03-10 16:25:29,0,0,3.012621834,4.793585544,3.632265626,0
2026-03-10 16:25:59,0,0,3.012621834,,3.632265626,0
