Time,"__name__=""dockerstats_memory_usage_bytes"",id=""2fc5d701d57a"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner1""","__name__=""dockerstats_memory_usage_bytes"",id=""48fdb664e8e2"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node2""","__name__=""dockerstats_memory_usage_bytes"",id=""698c54ba6060"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner3""","__name__=""dockerstats_memory_usage_bytes"",id=""7dfdb6f0e6b6"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner2""","__name__=""dockerstats_memory_usage_bytes"",id=""963539534f6e"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node1""","__name__=""dockerstats_memory_usage_bytes"",id=""e0c06bff716e"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner4"""
2026-03-04 19:31:01,2473771008,3178434560,3207921664,2143461376,2034995200,2134876160
2026-03-04 19:31:31,2479906816,3179159552,3208716288,2161803264,2035732480,2150850560
2026-03-04 19:32:01,2486730752,3181252608,3234713600,2163834880,2050789376,2152882176
2026-03-04 19:32:31,2495881216,3193036800,3234906112,2164101120,2052493312,2153132032
2026-03-04 19:33:01,2404089856,3193118720,3235082240,2164113408,2052497408,2153140224
2026-03-04 19:33:31,2419511296,3194441728,3236511744,2186452992,2053898240,2167730176
2026-03-04 19:34:01,2426191872,3195846656,3237240832,2187837440,2055450624,2169102336
2026-03-04 19:34:31,2442260480,3198533632,3256197120,2192732160,2057920512,2171883520
2026-03-04 19:35:01,2460753920,3198582784,3256266752,2193977344,2057932800,2171895808
2026-03-04 19:35:31,2486738944,3222638592,3258380288,2212560896,2059902976,2173317120
2026-03-04 19:36:01,2501128192,3224268800,3259465728,2214301696,2076823552,2196492288
2026-03-04 19:36:31,2522181632,3224719360,3260653568,2214969344,2077265920,2196963328
2026-03-04 19:37:01,2538643456,3225731072,3281633280,2215981056,2078257152,2212556800
2026-03-04 19:37:31,2558050304,3226341376,3282251776,2216640512,2078871552,2213244928
2026-03-04 19:38:01,2569445376,3228758016,3283652608,2227253248,2080096256,2214735872
2026-03-04 19:38:31,2483466240,3229409280,3284254720,2227728384,2093895680,2215194624
2026-03-04 19:39:01,2501513216,3230433280,3285331968,2232455168,2094915584,2216235008
2026-03-04 19:39:31,2508574720,3231404032,3305074688,2233503744,2095910912,2232791040
