Time,"name=""rskj-miner1""","name=""rskj-miner2""","name=""rskj-node1""","name=""rskj-node2"""
2026-03-17 22:55:12,0,0,0,0
2026-03-17 22:55:42,0,0,0,0
2026-03-17 22:56:12,0,0,0,0
2026-03-17 22:56:42,0,0,0,0
2026-03-17 22:57:12,0,0,0,0
2026-03-17 22:57:42,0,0,0,0
2026-03-17 22:58:12,0.6896076132680505,0,0,0
2026-03-17 22:58:42,0,0,0,0
2026-03-17 22:59:12,0,0,0,0
2026-03-17 22:59:42,0,0,0,0
2026-03-17 23:00:12,0,0,0,0
2026-03-17 23:00:42,0,0,0,0
2026-03-17 23:01:12,0,0,0.137935790889341,0
2026-03-17 23:01:42,0,0,0,0
2026-03-17 23:02:12,0,0,0,0
2026-03-17 23:02:42,0,0,0,0
2026-03-17 23:03:12,0,0,0,0
2026-03-17 23:03:42,0,0,0,0
2026-03-17 23:04:12,0,0,0,0
2026-03-17 23:04:42,0,0,0.6896313920209647,0
2026-03-17 23:05:12,0,0,0,0
2026-03-17 23:05:42,0,0,0,0
2026-03-17 23:06:12,0,0,0,0
2026-03-17 23:06:42,0,0,0,0.6895838361548806
2026-03-17 23:07:12,0,0,0,0
2026-03-17 23:07:42,0,0,0.13793103448275862,0
2026-03-17 23:08:12,0,0,0,0
2026-03-17 23:08:42,0,0,0,0
2026-03-17 23:09:12,0,0,0,0
2026-03-17 23:09:42,0,0,0,0
2026-03-17 23:10:12,0,0,0,0
2026-03-17 23:10:42,0,0,0,0
2026-03-17 23:11:12,0,0,0,0
2026-03-17 23:11:42,0,0,0,0
2026-03-17 23:12:12,0,0,0,0
2026-03-17 23:12:42,0,0,0,0
2026-03-17 23:13:12,0,0,0,0
2026-03-17 23:13:42,0,0,0,0
2026-03-17 23:14:12,0,0,0,0
2026-03-17 23:14:42,0,0,0,0
2026-03-17 23:15:12,0,0.827614745336046,0,0
2026-03-17 23:15:42,0,0.13793103448275862,0,0
2026-03-17 23:16:12,0,0,0,0
2026-03-17 23:16:42,0,0,0,0
2026-03-17 23:17:12,0,0,0,0
2026-03-17 23:17:42,0,0,0,0
2026-03-17 23:18:12,0,0,0,0
2026-03-17 23:18:42,0,0,0,0
2026-03-17 23:19:12,0,0,0,0
2026-03-17 23:19:42,0,0,0,0
2026-03-17 23:20:12,0.13793103448275862,0,0,0
2026-03-17 23:20:42,0,0,0,0
2026-03-17 23:21:12,0,0,0,0
2026-03-17 23:21:42,0,0,0,0
2026-03-17 23:22:12,0,0,0,0.137935790889341
2026-03-17 23:22:42,0,0,0,0
2026-03-17 23:23:12,0,0,0,0
2026-03-17 23:23:42,0,0,0,0
2026-03-17 23:24:12,0,0,0,0
2026-03-17 23:24:42,0,0,0,0
2026-03-17 23:25:12,0,0,0,0
2026-03-17 23:25:42,0,0,0,0
2026-03-17 23:26:12,0,0,0,0
2026-03-17 23:26:42,0,1.6551153408503156,0,0
2026-03-17 23:27:12,0,0,0.1379215226536101,0.8275291359216606
2026-03-17 23:27:42,0,0,0,0
2026-03-17 23:28:12,0,0,0,0
2026-03-17 23:28:42,0,0,0,0
2026-03-17 23:29:12,0,0,0,0
2026-03-17 23:29:42,0,0,0,0
2026-03-17 23:30:12,0,0,0,0
2026-03-17 23:30:42,0,0,0,0
2026-03-17 23:31:12,0,0,0,0
2026-03-17 23:31:42,0,0,0,0
2026-03-17 23:32:12,0,0,0,0
