Time,"name=""rskj-miner2""","name=""rskj-node1""","name=""rskj-node2"""
2026-03-17 22:59:12,,,1.05645
2026-03-17 23:00:12,,,1.085838376
2026-03-18 00:49:12,,1.267545626,
2026-03-18 01:25:12,,,1.055784667
2026-03-18 01:26:12,,1.164206834,1.192616751
2026-03-18 01:36:12,,1.135398709,
2026-03-18 01:52:12,1.402483709,,
2026-03-18 02:21:12,,1.230777917,1.298085667
2026-03-18 02:26:12,,1.196501167,
2026-03-18 02:51:12,,,1.059753792
2026-03-18 02:54:12,1.040230292,,
2026-03-18 02:56:12,,1.136302167,1.022331126
2026-03-18 02:57:12,,1.279779293,
2026-03-18 03:08:12,1.030087792,,
2026-03-18 03:25:12,,,1.010444917
2026-03-18 03:26:12,,1.015200334,
2026-03-18 03:51:12,,1.302705126,1.062356792
2026-03-18 03:52:12,,1.608449376,
2026-03-18 03:59:12,,,1.017302084
2026-03-18 04:34:12,,,1.093109041
2026-03-18 05:07:12,,,1.064560167
2026-03-18 05:45:12,,1.349090084,
2026-03-18 05:58:12,,,1.047297125
2026-03-18 06:29:12,,,1.154961417
2026-03-18 06:31:12,,,1.062441792
2026-03-18 06:59:12,,1.258000334,1.12680725
2026-03-18 07:28:12,,1.294629876,
2026-03-18 07:59:12,,,1.153396584
2026-03-18 08:09:12,,1.107594251,
2026-03-18 08:23:12,,,1.237106709
2026-03-18 08:38:12,,1.007914376,
2026-03-18 08:46:12,1.246776334,,
2026-03-18 09:01:12,1.092419001,1.42833275,1.566929959
2026-03-18 09:02:12,,,1.296046917
2026-03-18 09:03:12,,,1.119246084
2026-03-18 09:29:12,,,1.255770167
2026-03-18 10:10:12,,1.002082292,
2026-03-18 10:11:12,,1.002082292,
2026-03-18 10:35:12,,1.596747375,1.192785459
2026-03-18 11:01:12,,,1.062866209
2026-03-18 11:06:12,,1.061922834,1.031784042
2026-03-18 11:33:12,,1.008976126,
2026-03-18 12:34:12,,,1.139536709
