Time,"__name__=""dockerstats_memory_usage_bytes"",id=""37148f56100e"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner2""","__name__=""dockerstats_memory_usage_bytes"",id=""67521290537f"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node1""","__name__=""dockerstats_memory_usage_bytes"",id=""a8469a7559fe"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner1""","__name__=""dockerstats_memory_usage_bytes"",id=""f30e284a89f1"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node2"""
2026-03-17 22:55:12,4438016000,2709192704,4425142272,2693926912
2026-03-17 22:55:42,4458049536,2715353088,4445245440,2700062720
2026-03-17 22:56:12,4481462272,2724519936,4468838400,2709229568
2026-03-17 22:56:42,4507680768,2739900416,4495024128,2724548608
2026-03-17 22:57:12,4515975168,2743226368,4505448448,2727600128
2026-03-17 22:57:42,4427657216,2751496192,4525490176,2736033792
2026-03-17 22:58:12,4439760896,2758586368,4429459456,2743767040
2026-03-17 22:58:42,4447662080,2758627328,4437106688,2743947264
2026-03-17 22:59:12,4472029184,2767679488,4461469696,2753220608
2026-03-17 22:59:42,4503879680,2674659328,4493250560,2660917248
2026-03-17 23:00:12,4518141952,2680795136,4507226112,2667081728
2026-03-17 23:00:42,4430266368,2685403136,4525821952,2671738880
2026-03-17 23:01:12,4446261248,2688557056,4434292736,2674864128
2026-03-17 23:01:42,4471791616,2699288576,4459851776,2685591552
2026-03-17 23:02:12,4484505600,2705399808,4473819136,2691850240
2026-03-17 23:02:42,4501381120,2708680704,4490457088,2695254016
2026-03-17 23:03:12,4518129664,2717843456,4507422720,2704424960
2026-03-17 23:03:42,4428627968,2720956416,4525527040,2707529728
2026-03-17 23:04:12,4454690816,2730201088,4443774976,2716852224
2026-03-17 23:04:42,4485607424,2736418816,4474445824,2723127296
2026-03-17 23:05:12,4513632256,2742571008,4502413312,2729381888
2026-03-17 23:05:42,4431290368,2748739584,4528136192,2735562752
2026-03-17 23:06:12,4454346752,2754908160,4443344896,2741739520
2026-03-17 23:06:42,4488073216,2766229504,4472672256,2751463424
2026-03-17 23:07:12,4511080448,2772426752,4495740928,2757697536
2026-03-17 23:07:42,4432474112,2781880320,4524683264,2767224832
2026-03-17 23:08:12,4452200448,2677702656,4437360640,2663260160
2026-03-17 23:08:42,4493979648,2689937408,4479029248,2675642368
2026-03-17 23:09:12,4425601024,2689949696,4518301696,2675695616
2026-03-17 23:09:42,4481998848,2696085504,4465872896,2681929728
2026-03-17 23:10:12,4428161024,2702172160,4519620608,2688139264
2026-03-17 23:10:42,4484972544,2711330816,4468105216,2697342976
2026-03-17 23:11:12,4531052544,2720505856,4513931264,2706546688
2026-03-17 23:11:42,4466200576,2723581952,4447469568,2709618688
2026-03-17 23:12:12,4507815936,2723590144,4489072640,2709946368
2026-03-17 23:12:42,4449943552,2726711296,4432150528,2713124864
2026-03-17 23:13:12,4497813504,2729758720,4480086016,2715918336
2026-03-17 23:13:42,4449333248,2739642368,4434821120,2724909056
2026-03-17 23:14:12,4454887424,2754785280,4437168128,2742480896
2026-03-17 23:14:42,4450324480,2764001280,4540510208,2750550016
2026-03-17 23:15:12,4428992512,2770083840,4517142528,2756562944
2026-03-17 23:15:42,4512718848,2773184512,4489453568,2759630848
2026-03-17 23:16:12,4490915840,2776268800,4470792192,2762645504
2026-03-17 23:16:42,4478222336,2782371840,4458319872,2768748544
2026-03-17 23:17:12,4457619456,2682945536,4443729920,2667470848
2026-03-17 23:17:42,4446457856,2689089536,4543365120,2673647616
2026-03-17 23:18:12,4440772608,2701144064,4535365632,2685673472
