Time,"__name__=""jvm_memory_bytes_used"",area=""heap"",instance=""rskj-miner1:8080"",job=""rskj-jvm"",name=""rskj-miner1""","__name__=""jvm_memory_bytes_used"",area=""heap"",instance=""rskj-miner2:8080"",job=""rskj-jvm"",name=""rskj-miner2""","__name__=""jvm_memory_bytes_used"",area=""heap"",instance=""rskj-node1:8080"",job=""rskj-jvm"",name=""rskj-node1""","__name__=""jvm_memory_bytes_used"",area=""heap"",instance=""rskj-node2:8080"",job=""rskj-jvm"",name=""rskj-node2""","__name__=""jvm_memory_bytes_max"",area=""heap"",instance=""rskj-miner1:8080"",job=""rskj-jvm"",name=""rskj-miner1""","__name__=""jvm_memory_bytes_max"",area=""heap"",instance=""rskj-miner2:8080"",job=""rskj-jvm"",name=""rskj-miner2""","__name__=""jvm_memory_bytes_max"",area=""heap"",instance=""rskj-node1:8080"",job=""rskj-jvm"",name=""rskj-node1""","__name__=""jvm_memory_bytes_max"",area=""heap"",instance=""rskj-node2:8080"",job=""rskj-jvm"",name=""rskj-node2"""
2026-03-17 22:55:12,2323815872,2196382592,1191199744,1863920128,5368709120,5368709120,4294967296,4294967296
2026-03-17 22:55:42,709180648,573405616,1960854528,696290112,5368709120,5368709120,4294967296,4294967296
2026-03-17 22:56:12,2319793384,2179824048,962771968,1610648384,5368709120,5368709120,4294967296,4294967296
2026-03-17 22:56:42,2965716200,2821552560,1321384960,1962969920,5368709120,5368709120,4294967296,4294967296
2026-03-17 22:57:12,814007680,657237664,1835187200,541196488,5368709120,5368709120,4294967296,4294967296
2026-03-17 22:57:42,1581565312,1403823776,409027272,1027735752,5368709120,5368709120,4294967296,4294967296
2026-03-17 22:58:12,2483340672,2326570656,924926664,1531052232,5368709120,5368709120,4294967296,4294967296
2026-03-17 22:58:42,243545944,95345880,1415660232,92502520,5368709120,5368709120,4294967296,4294967296
2026-03-17 22:59:12,2021930840,1777261784,128135344,734231032,5368709120,5368709120,4294967296,4294967296
2026-03-17 22:59:42,3087284056,2981027032,893595824,1495497208,5368709120,5368709120,4294967296,4294967296
2026-03-17 23:00:12,860245200,833532480,1327706288,1929607672,5368709120,5368709120,4294967296,4294967296
2026-03-17 23:00:42,1820740816,1814999616,1675833520,354743176,5368709120,5368709120,4294967296,4294967296
2026-03-17 23:01:12,3196472528,3211702848,254323712,858059656,5368709120,5368709120,4294967296,4294967296
2026-03-17 23:01:42,1166493264,1198483856,948481024,1550119816,5368709120,5368709120,4294967296,4294967296
2026-03-17 23:02:12,2219263568,2268031376,1315482624,1919218568,5368709120,5368709120,4294967296,4294967296
2026-03-17 23:02:42,3259450960,112424120,1940433920,621194712,5368709120,5368709120,4294967296,4294967296
2026-03-17 23:03:12,931864000,1014199480,382396928,984002008,5368709120,5368709120,4294967296,4294967296
2026-03-17 23:03:42,2261458368,2347988152,887810560,1472638424,5368709120,5368709120,4294967296,4294967296
2026-03-17 23:04:12,537626264,619961384,1433070080,1975954904,5368709120,5368709120,4294967296,4294967296
2026-03-17 23:04:42,2118878872,2192825384,1961552384,539528344,5368709120,5368709120,4294967296,4294967296
2026-03-17 23:05:12,902644696,947332104,854088832,1317571736,5368709120,5368709120,4294967296,4294967296
2026-03-17 23:05:42,2110604248,2172068872,1244159104,1665698968,5368709120,5368709120,4294967296,4294967296
2026-03-17 23:06:12,416305776,674813648,1789418624,246078344,5368709120,5368709120,4294967296,4294967296
2026-03-17 23:06:42,1905283696,2155402960,529430016,871029640,5368709120,5368709120,4294967296,4294967296
2026-03-17 23:07:12,181560936,427422304,1074689536,1372248968,5368709120,5368709120,4294967296,4294967296
2026-03-17 23:07:42,1666344552,1912205920,1737389568,72174888,5368709120,5368709120,4294967296,4294967296
2026-03-17 23:08:12,2974967400,3208245856,84858128,302861608,5368709120,5368709120,4294967296,4294967296
2026-03-17 23:08:42,2203119312,2470070208,867095824,1062030632,5368709120,5368709120,4294967296,4294967296
2026-03-17 23:09:12,1674809088,2017057376,1234097424,1426935080,5368709120,5368709120,4294967296,4294967296
2026-03-17 23:09:42,1276385704,1702570608,1718539536,1913474344,5368709120,5368709120,4294967296,4294967296
2026-03-17 23:10:12,1209507088,1518061080,299178176,493882368,5368709120,5368709120,4294967296,4294967296
2026-03-17 23:10:42,525808256,1111358784,1060444352,1255148544,5368709120,5368709120,4294967296,4294967296
2026-03-17 23:11:12,2836869760,306151808,1429543104,1624247296,5368709120,5368709120,4294967296,4294967296
2026-03-17 23:11:42,1901532088,2675933568,1777670336,1972374528,5368709120,5368709120,4294967296,4294967296
2026-03-17 23:12:12,1381592448,2227201616,217307744,414430744,5368709120,5368709120,4294967296,4294967296
2026-03-17 23:12:42,442150464,1363258720,431217248,626243096,5368709120,5368709120,4294967296,4294967296
