Time,"name=""rskj-miner1""","name=""rskj-miner2""","name=""rskj-miner3""","name=""rskj-miner4""","name=""rskj-node1""","name=""rskj-node2"""
2026-03-10 15:57:17,,1.771645043,,,,
2026-03-10 16:03:17,,,,1.020482917,,
2026-03-10 16:13:17,,,3.075078793,,3.66766296,
2026-03-10 16:14:17,,,,1.006841333,,
2026-03-10 16:16:17,,,,1.156499709,,
2026-03-10 16:19:17,,,,,,2.670435626
2026-03-10 16:21:17,,,,1.231274083,,
2026-03-10 16:26:17,1.226105543,,,,,
2026-03-10 16:30:17,,1.424670209,,1.411864834,,1.060013001
2026-03-10 16:32:17,,,,1.168328501,,1.018029625
2026-03-10 16:37:17,,,,1.017213834,,
2026-03-10 16:40:17,,,,,1.239338667,1.018606001
2026-03-10 16:50:17,,,,,,1.324964001
2026-03-10 16:53:17,,,,,1.228426126,
2026-03-10 17:06:17,,,,,4.294635085,
2026-03-10 17:16:17,,,,1.089950542,,
2026-03-10 17:26:17,,,5.124254377,,,
2026-03-10 17:27:17,,1.192262251,,,,
2026-03-10 17:36:17,,,1.346722584,,1.702367251,1.506834209
2026-03-10 17:37:17,,,,,1.579512501,
2026-03-10 17:41:17,,,,1.831728667,,
2026-03-10 17:42:17,,,,1.096499668,,
2026-03-10 17:45:17,,1.078922334,1.116743251,1.170693708,1.46532175,2.198288417
2026-03-10 17:46:17,,,,2.457917416,1.458269834,
2026-03-10 17:47:17,,1.812539918,,,,
2026-03-10 17:50:17,,,,,,1.004688291
2026-03-10 17:52:17,,2.621675751,,1.134070917,,
2026-03-10 17:55:17,,,,,2.484241417,1.531145334
2026-03-10 17:57:17,,1.386965251,,5.911502211,3.163406293,3.07176021
2026-03-10 17:59:17,,1.489921125,,2.026067542,,
2026-03-10 18:03:17,,,,1.96533996,,
2026-03-10 18:05:17,,,,3.222623793,1.102311125,1.106397
2026-03-10 18:10:17,,,,1.073430375,,
2026-03-10 18:12:17,,,,1.867782792,,
2026-03-10 18:16:17,,,,1.028691167,1.593583959,
2026-03-10 18:20:17,,2.208672709,1.714234334,2.59389121,5.185695751,1.662424126
2026-03-10 18:21:17,,,,,,1.039832125
2026-03-10 18:28:17,,,1.208105376,1.051550292,,
2026-03-10 18:30:17,,,,,1.028964,
2026-03-10 18:31:17,,1.109870792,,,,
2026-03-10 18:35:17,,,1.397524251,,,
2026-03-10 18:36:17,,1.980742875,,,,
2026-03-10 18:37:17,,1.128000792,,2.667709083,,
2026-03-10 18:39:17,,,,,1.438736292,
