Time,"__name__=""dockerstats_memory_usage_bytes"",id=""0cd2d8d58c18"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner1""","__name__=""dockerstats_memory_usage_bytes"",id=""6f7f8ac1cb36"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner2""","__name__=""dockerstats_memory_usage_bytes"",id=""7644cd0a6602"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node1""","__name__=""dockerstats_memory_usage_bytes"",id=""7f7806dc2042"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner3""","__name__=""dockerstats_memory_usage_bytes"",id=""bca28762949e"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner4""","__name__=""dockerstats_memory_usage_bytes"",id=""e471240ed05b"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node2"""
2026-03-10 15:56:47,822652928,818118656,714952704,720515072,686600192,707883008
2026-03-10 15:57:17,2708885504,1486741504,1338580992,2629816320,1376821248,972726272
2026-03-10 15:57:47,2843721728,1570586624,1433206784,2800369664,1535336448,1345413120
2026-03-10 15:58:17,2811711488,1636761600,1478721536,2881069056,1609539584,1781923840
2026-03-10 15:58:47,2895896576,1709641728,1529765888,2870444032,1678921728,1818640384
2026-03-10 15:59:17,2961387520,1698258944,1550659584,2945101824,1654562816,1825370112
2026-03-10 15:59:47,2956103680,1779924992,1567043584,2943451136,1756991488,1867001856
2026-03-10 16:00:17,3041837056,1750036480,1587351552,3031482368,1729593344,1873870848
2026-03-10 16:00:47,3075620864,1777004544,1592987648,3066515456,1760972800,1901678592
2026-03-10 16:01:17,3022831616,1822969856,1597952000,3017457664,1814605824,1910595584
2026-03-10 16:01:47,3057782784,1876217856,1645563904,3075203072,1866686464,1916579840
2026-03-10 16:02:17,3529932800,1985335296,1673273344,3363983360,1945378816,2354130944
2026-03-10 16:02:47,3574149120,1945968640,1707270144,3413643264,1903796224,2480836608
2026-03-10 16:03:17,3516342272,1981493248,1736908800,3351187456,1962967040,2486910976
2026-03-10 16:03:47,3547525120,2046136320,1763385344,3388743680,2035097600,2490351616
2026-03-10 16:04:17,3572326400,2090938368,1773723648,3418722304,2076925952,2496753664
2026-03-10 16:04:47,3592179712,2129502208,1781977088,3438567424,2116390912,2500157440
2026-03-10 16:05:17,3625467904,2200248320,1808502784,3381891072,2079916032,3028316160
2026-03-10 16:05:47,3554406400,2128351232,1829879808,3404189696,2109583360,3034652672
2026-03-10 16:06:17,3579174912,2180227072,1855995904,3529494528,2168082432,3048472576
2026-03-10 16:06:47,3614539776,2236731392,1886228480,3565445120,2230157312,3056181248
2026-03-10 16:07:17,3638599680,2282160128,1900867584,3591286784,2280955904,3131269120
2026-03-10 16:07:47,3751309312,2374950912,1915817984,3649880064,2281963520,3133923328
2026-03-10 16:08:17,3691925504,2332291072,1915625472,3690508288,2340044800,3133759488
2026-03-10 16:08:47,3725062144,2371944448,1919004672,3724808192,2393550848,3547222016
2026-03-10 16:09:17,3741724672,2396405760,1938821120,3649490944,2320822272,3550650368
2026-03-10 16:09:47,3679932416,2343993344,1962909696,3680305152,2376052736,3555012608
2026-03-10 16:10:17,3708858368,2412634112,1973780480,3710132224,2434519040,3557699584
2026-03-10 16:10:47,3755876352,2456006656,1995616256,3792670720,2479263744,3560615936
2026-03-10 16:11:17,3834933248,2511581184,1998426112,3749470208,2431766528,3546615808
2026-03-10 16:11:47,3782422528,2460131328,2007646208,3833602048,2490970112,3564130304
2026-03-10 16:12:17,3824615424,2532544512,2007928832,3875586048,2564833280,3564281856
2026-03-10 16:12:47,3858894848,2479509504,2018795520,3929083904,2501500928,3567759360
2026-03-10 16:13:17,3880304640,2516717568,2107084800,3938037760,2609266688,3569422336
2026-03-10 16:13:47,3807985664,2546737152,2130051072,3963551744,2660356096,3572039680
2026-03-10 16:14:17,3833233408,2582298624,2136293376,3992174592,2703196160,3573653504
2026-03-10 16:14:47,3917979648,2612109312,2165784576,4062568448,2737373184,3580375040
2026-03-10 16:15:17,3944423424,2652819456,2198585344,4097404928,2672963584,3584716800
2026-03-10 16:15:47,3987283968,2600382464,2191331328,4042670080,2732941312,3612250112
2026-03-10 16:16:17,3934572544,2661232640,2211418112,4087906304,2794291200,3612393472
2026-03-10 16:16:47,3986317312,2709127168,2207412224,4136722432,2849890304,3615559680
2026-03-10 16:17:17,4027170816,2664329216,2226237440,4089552896,2815836160,3615617024
2026-03-10 16:17:47,3967557632,2696032256,2229166080,4128051200,2859859968,3618717696
2026-03-10 16:18:17,3989958656,2731081728,2231164928,4152156160,2906337280,3620438016
2026-03-10 16:18:47,4012695552,2757914624,2246070272,4175585280,2941861888,3606040576
2026-03-10 16:19:17,4100231168,2778894336,2252394496,4242792448,2873798656,3647836160
2026-03-10 16:19:47,4135432192,2745335808,2265034752,4191178752,2950942720,3649110016
2026-03-10 16:20:17,4163497984,2773123072,2282475520,4225269760,2991063040,3652255744
2026-03-10 16:20:47,4093693952,2806308864,2297479168,4253618176,3034038272,3657224192
2026-03-10 16:21:17,4136542208,2860929024,2298826752,4280520704,3094384640,3689668608
2026-03-10 16:21:47,4168425472,2902306816,2298994688,4208193536,3042369536,3689795584
2026-03-10 16:22:17,4261625856,2847268864,2313134080,4267532288,3099238400,3721203712
2026-03-10 16:22:47,4190912512,2863390720,2323746816,4290088960,3129786368,3722219520
2026-03-10 16:23:17,4222615552,2926043136,2340376576,4294180864,3199627264,3739668480
2026-03-10 16:23:47,4301873152,2968408064,2348068864,4159700992,3138310144,3764551680
2026-03-10 16:24:17,4340744192,3012132864,2362793984,4234022912,3177263104,3805601792
2026-03-10 16:24:47,4380237824,2959282176,2379694080,4269367296,3227189248,3809284096
2026-03-10 16:25:17,4321918976,2993324032,2395119616,4294115328,3253448704,3835346944
2026-03-10 16:25:47,4359610368,3056181248,2400706560,4191510528,3308253184,3836563456
2026-03-10 16:26:17,4432465920,3095236608,2417266688,4234158080,3235373056,3850104832
2026-03-10 16:26:47,4459233280,3026345984,2432098304,4252639232,3259310080,3853373440
2026-03-10 16:27:17,4485988352,3079020544,2434437120,4273414144,3301277696,3856723968
2026-03-10 16:27:47,4433510400,3123904512,2434752512,4294512640,3344805888,3856973824
2026-03-10 16:28:17,4472688640,3174506496,2437242880,4201463808,3391991808,3861037056
2026-03-10 16:28:47,4504391680,3213619200,2452140032,4229898240,3323891712,3866857472
