Time,"name=""rskj-miner1""","name=""rskj-miner2""","name=""rskj-miner3""","name=""rskj-miner4""","name=""rskj-node1""","name=""rskj-node2"""
2026-02-10 19:12:00,2.324883543,,2.282374626,3.170744002,2.66810896,2.636122377
2026-02-10 19:36:00,2.692237459,,2.210441459,2.738069334,2.65236075,2.609216209
2026-02-10 22:50:00,2.02522621,,2.740952627,2.598778668,2.730458834,2.293494626
2026-02-10 22:56:00,,3.824855418,,,,
2026-02-11 00:49:00,4.220416169,,3.76543296,4.338832835,4.739276794,
2026-02-11 06:16:00,,,,2.064754626,2.139057001,
2026-02-11 06:41:00,,,,1.252421876,,
2026-02-11 07:47:00,,5.245455711,,,,
2026-02-11 08:11:00,,,2.290768793,2.206409959,2.170614084,2.087778209
2026-02-11 09:44:00,,15.927454715,,,,
2026-02-11 10:17:00,,,,,3.827323168,3.44283696
2026-02-11 10:51:00,,7.933670379,,,,
2026-02-11 11:09:00,2.551073418,,,,,
2026-02-11 11:10:00,,,2.851968502,1.892670543,,
2026-02-11 11:11:00,,,2.851968502,1.892670543,,
2026-02-11 13:51:00,,,2.516358167,2.496904376,3.273066585,2.656119085
2026-02-11 14:13:00,,,,2.551196501,2.380535584,2.221850334
2026-02-11 14:37:00,,,2.400167668,2.577349543,,2.354725085
2026-02-11 15:23:00,,,,2.949312292,2.360164875,2.378467708
