Time,"__name__=""promtail_custom_block_processed_after_seconds"",container_id=""rskj-miner1"",exported_job=""docker-json-logs"",instance=""host.docker.internal:9080"",job=""promtail"",source=""promtail""","__name__=""promtail_custom_block_processed_after_seconds"",container_id=""rskj-miner2"",exported_job=""docker-json-logs"",instance=""host.docker.internal:9080"",job=""promtail"",source=""promtail""","__name__=""promtail_custom_block_processed_after_seconds"",container_id=""rskj-miner3"",exported_job=""docker-json-logs"",instance=""host.docker.internal:9080"",job=""promtail"",source=""promtail""","__name__=""promtail_custom_block_processed_after_seconds"",container_id=""rskj-miner4"",exported_job=""docker-json-logs"",instance=""host.docker.internal:9080"",job=""promtail"",source=""promtail""","__name__=""promtail_custom_block_processed_after_seconds"",container_id=""rskj-node1"",exported_job=""docker-json-logs"",instance=""host.docker.internal:9080"",job=""promtail"",source=""promtail""","__name__=""promtail_custom_block_processed_after_seconds"",container_id=""rskj-node2"",exported_job=""docker-json-logs"",instance=""host.docker.internal:9080"",job=""promtail"",source=""promtail"""
2026-02-23 12:36:24,0.00484,0.006174,0.004212,0.005256,0.00255,0.004043
2026-02-23 12:36:54,0.005211,0.005111,0.005344,0.007212,0.00528,0.004903
2026-02-23 12:37:24,0.004647,0.003419,0.003795,0.003523,0.002692,0.003643
2026-02-23 12:37:54,0.009013,0.011021,0.016445,0.008025,0.007081,0.005058
2026-02-23 12:38:24,0.015871,0.021016,0.009214,0.010977,0.015006,0.00795
2026-02-23 12:38:54,0.020808,0.012805,0.010558,0.016631,0.011987,0.01258
2026-02-23 12:39:24,0.00476,0.002431,0.002261,0.002152,0.005011,0.003062
2026-02-23 12:39:54,,,,,,0.000218
2026-02-23 12:41:54,,,0.000455,0.000189,,0.000119
2026-02-23 12:42:24,,,0.000455,0.009768,,0.000119
2026-02-23 12:42:54,0.936806,0.008813,0.009351,0.007198,0.004175,0.005384
2026-02-23 12:43:24,,,0.005744,,,0.002953
2026-02-23 12:43:54,0.935804,0.007185,0.007517,0.009811,0.003223,0.004321
2026-02-23 12:44:24,,,,,,0.006071
2026-02-23 12:44:54,,,,0.96469,,
2026-02-23 12:45:54,,,0.839659,,,
2026-02-23 12:46:24,,0.005775,0.005267,0.007253,0.00416,0.004708
2026-02-23 12:46:54,0.908809,0.005613,0.00829,0.00677,0.003597,0.0041
2026-02-23 12:47:24,0.947083,0.004671,0.012067,0.005459,0.004302,0.006954
2026-02-23 12:47:54,0.005258,0.002452,0.002143,0.002304,0.003761,0.002986
2026-02-23 12:48:24,0.910148,0.00747,0.009182,0.004524,0.003209,0.003461
2026-02-23 12:48:54,0.915729,0.008051,0.00711,0.008632,0.004948,0.003502
2026-02-23 12:49:24,,0.993008,,,0.007076,0.005824
2026-02-23 12:49:54,,,,,0.997129,0.924809
2026-02-23 12:52:24,,,0.000131,,,
2026-02-23 12:53:54,,,,0.746804,,
2026-02-23 12:59:54,,,0.960381,,,
2026-02-23 13:01:24,0.000213,,,,0.000404,0.00025
2026-02-23 13:03:54,,0.000223,0.000285,,0.000117,
2026-02-23 13:05:24,,0.73463,0.719477,0.73343,0.532829,
2026-02-23 13:05:54,0.911167,0.006281,0.010494,0.006249,0.004655,0.003872
2026-02-23 13:06:24,0.990418,0.793218,0.006756,0.67312,0.006132,0.006516
2026-02-23 13:06:54,0.000136,0.451391,0.911884,0.682043,0.000078,
2026-02-23 13:07:24,,0.005031,0.006694,0.00837,0.00751,0.005328
2026-02-23 13:07:54,,0.005031,0.006694,0.00837,0.00751,0.005328
2026-02-23 13:08:24,,0.007067,0.006343,0.006018,0.005828,0.00725
2026-02-23 13:08:54,,0.007067,0.006343,0.006018,0.005828,0.00725
2026-02-23 13:09:54,,,,0.000068,0.000031,0.000086
2026-02-23 13:10:24,,0.968236,0.892156,,0.970735,0.906363
2026-02-23 13:12:24,,,,,0.986483,
2026-02-23 13:12:54,0.964159,,0.863195,,,0.887529
2026-02-23 13:13:54,,,0.984599,,,
2026-02-23 13:16:54,,,,0.917876,,
2026-02-23 13:17:24,0.011935,0.004244,0.004182,0.004466,0.002779,0.002056
2026-02-23 13:19:24,0.894984,0.00942,0.00877,0.011109,0.009254,0.009135
2026-02-23 13:19:54,,,,,0.004968,0.005566
2026-02-23 13:20:24,,,,,,0.000333
2026-02-23 13:20:54,,,,0.918568,,
2026-02-23 13:22:54,,0.009175,0.008457,0.005725,0.004734,0.005804
2026-02-23 13:23:54,0.005071,0.002642,0.002608,0.003232,0.002351,0.010651
2026-02-23 13:26:54,,,0.871794,,,
2026-02-23 13:27:24,,0.885157,,,,
2026-02-23 13:27:54,0.971557,0.012178,0.015805,0.020063,0.01695,0.008617
2026-02-23 13:29:24,0.012203,0.002343,0.00353,0.00239,0.002728,0.002144
2026-02-23 13:29:54,,,0.946013,,,
2026-02-23 13:30:24,0.000042,,,0.000094,,
2026-02-23 13:30:54,0.000042,,,0.000094,,
2026-02-23 13:31:24,,,0.844041,,,0.932825
2026-02-23 13:34:24,,,0.880432,,,
