Time,"__name__=""promtail_custom_block_datasource_flush_seconds"",container_id=""rskj-miner1"",exported_job=""docker-json-logs"",instance=""host.docker.internal:9080"",job=""promtail"",source=""promtail""","__name__=""promtail_custom_block_datasource_flush_seconds"",container_id=""rskj-miner3"",exported_job=""docker-json-logs"",instance=""host.docker.internal:9080"",job=""promtail"",source=""promtail""","__name__=""promtail_custom_block_datasource_flush_seconds"",container_id=""rskj-miner4"",exported_job=""docker-json-logs"",instance=""host.docker.internal:9080"",job=""promtail"",source=""promtail""","__name__=""promtail_custom_block_datasource_flush_seconds"",container_id=""rskj-node1"",exported_job=""docker-json-logs"",instance=""host.docker.internal:9080"",job=""promtail"",source=""promtail"""
2026-02-23 12:52:54,,0.000198,,
2026-02-23 12:53:24,0.000229,0.000198,0.000233,0.0004
2026-02-23 12:53:54,0.000229,0.000198,0.000233,0.0004
2026-02-23 12:54:24,0.000229,0.000198,0.000233,0.0004
2026-02-23 12:54:54,0.000229,0.000198,0.000233,0.0004
2026-02-23 12:55:24,0.000229,0.000198,0.000233,0.0004
2026-02-23 12:55:54,0.000229,0.000198,0.000233,0.0004
2026-02-23 12:56:24,0.000229,0.000198,0.000233,0.0004
2026-02-23 12:56:54,0.000229,0.000198,0.000233,0.0004
2026-02-23 12:57:24,0.000229,0.000198,0.000233,0.0004
2026-02-23 12:57:54,0.000229,,0.000233,0.0004
2026-02-23 13:21:24,,0.000117,,
2026-02-23 13:21:54,0.000128,0.000117,0.000179,0.000196
2026-02-23 13:22:24,0.000128,0.000117,0.000179,0.000196
2026-02-23 13:22:54,0.000128,0.000117,0.000179,0.000196
2026-02-23 13:23:24,0.000128,0.000117,0.000179,0.000196
2026-02-23 13:23:54,0.000128,0.000117,0.000179,0.000196
2026-02-23 13:24:24,0.000128,0.000117,0.000179,0.000196
2026-02-23 13:24:54,0.000128,0.000117,0.000179,0.000196
2026-02-23 13:25:24,0.000128,0.000117,0.000179,0.000196
2026-02-23 13:25:54,0.000128,0.000117,0.000179,0.000196
2026-02-23 13:26:24,0.000128,,0.000179,0.000196
