Time,"__name__=""dockerstats_memory_usage_bytes"",id=""32e8878a18b4"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner2""","__name__=""dockerstats_memory_usage_bytes"",id=""607db649cdaf"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner4""","__name__=""dockerstats_memory_usage_bytes"",id=""613f6ff7e2df"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner3""","__name__=""dockerstats_memory_usage_bytes"",id=""7dbd4d4b5e3e"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node2""","__name__=""dockerstats_memory_usage_bytes"",id=""7f4d8d0f8f10"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node1""","__name__=""dockerstats_memory_usage_bytes"",id=""856dd1ab9191"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner1"""
2026-02-23 19:56:46,1424670720,1418809344,2737274880,2685251584,1416724480,1465286656
2026-02-23 19:57:16,1424822272,1418952704,2737418240,2685280256,1416740864,1466060800
2026-02-23 19:57:46,1425022976,1419128832,2737598464,2685345792,1416802304,1466855424
2026-02-23 19:58:16,1425039360,1419128832,2737610752,2685358080,1416802304,1467559936
2026-02-23 19:58:46,1425154048,1423966208,2737721344,2685440000,1416880128,1468211200
2026-02-23 19:59:16,1425469440,1424003072,2737782784,2685464576,1416982528,1469128704
2026-02-23 19:59:46,1425584128,1424699392,2738094080,2685583360,1417097216,1470078976
2026-02-23 20:00:16,1425674240,1429262336,2738184192,2685599744,1417109504,1471520768
2026-02-23 20:00:46,1425948672,1417388032,2738413568,2685665280,1417162752,1473089536
2026-02-23 20:01:16,1426046976,1417478144,2738552832,2685669376,1417166848,1474437120
2026-02-23 20:01:46,1426378752,1417822208,2738896896,2685751296,1417244672,1476067328
2026-02-23 20:02:16,1426477056,1417912320,2738991104,2685767680,1417261056,1477525504
2026-02-23 20:02:46,1426640896,1418100736,2739179520,2685874176,1417330688,1478950912
2026-02-23 20:03:16,1426694144,1418141696,2739220480,2685886464,1417338880,1480093696
2026-02-23 20:03:46,1427070976,1419366400,2740596736,2685960192,1418276864,1482215424
2026-02-23 20:04:16,1426841600,1419395072,2740625408,2685972480,1420660736,1483886592
2026-02-23 20:04:46,1427218432,1419710464,2740936704,2686111744,1420533760,1485594624
2026-02-23 20:05:16,1427337216,1419800576,2741018624,2686119936,1420541952,1489088512
2026-02-23 20:05:46,1427763200,1420222464,2741469184,2686296064,1420632064,1491685376
2026-02-23 20:06:16,1427869696,1420304384,2741575680,2686312448,1420644352,1493962752
2026-02-23 20:06:46,1428054016,1420488704,2741739520,2686382080,1420697600,1497038848
2026-02-23 20:07:16,1428066304,1420488704,2741743616,2686382080,1420701696,1500233728
2026-02-23 20:07:46,1428434944,1420800000,2742353920,2686504960,1420812288,1504653312
2026-02-23 20:08:16,1428541440,1420906496,2742194176,2686513152,1420832768,1507274752
2026-02-23 20:08:46,1428729856,1421082624,2742464512,2686656512,1420955648,1511202816
2026-02-23 20:09:16,1428885504,1421225984,2742800384,2686824448,1421082624,1513017344
2026-02-23 20:09:46,1429192704,1421524992,2743185408,2686963712,1421230080,1517027328
2026-02-23 20:10:16,1429217280,1421541376,2743209984,2686967808,1421246464,1522262016
2026-02-23 20:10:46,1429299200,1421639680,2743463936,2687008768,1421287424,1528266752
2026-02-23 20:11:16,1429426176,1421754368,2743607296,2687037440,1421316096,1532882944
2026-02-23 20:11:46,1429815296,1422278656,2744541184,2687770624,1421967360,1538289664
2026-02-23 20:12:16,1430097920,1422368768,2744369152,2687242240,1421459456,1545097216
2026-02-23 20:12:46,1430376448,1422651392,2746056704,2687348736,1421565952,1446989824
2026-02-23 20:13:16,1430417408,1422655488,2745806848,2687356928,1421565952,1451974656
2026-02-23 20:13:46,1430593536,1422798848,2745954304,2687434752,1421688832,1457553408
2026-02-23 20:14:16,1430663168,1422860288,2746023936,2687471616,1421729792,1463119872
2026-02-23 20:14:46,1430949888,1423114240,2745389056,2687672320,1421885440,1470435328
2026-02-23 20:15:16,1431171072,1423208448,2745487360,2687692800,1421893632,1480966144
2026-02-23 20:15:46,1431506944,1423511552,2745774080,2687766528,1422004224,1491275776
2026-02-23 20:16:16,1431760896,1423773696,2746015744,2687819776,1422061568,1501773824
2026-02-23 20:16:46,1432305664,1424027648,2746290176,2687946752,1422188544,1512878080
