Time,"__name__=""dockerstats_memory_usage_bytes"",id=""4803d20c0a2b"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node2""","__name__=""dockerstats_memory_usage_bytes"",id=""50491906c364"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node1""","__name__=""dockerstats_memory_usage_bytes"",id=""7d566f6372a9"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner1""","__name__=""dockerstats_memory_usage_bytes"",id=""a0b9d55c18b2"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner3""","__name__=""dockerstats_memory_usage_bytes"",id=""dd8966529fa6"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner4""","__name__=""dockerstats_memory_usage_bytes"",id=""e7d7d83e2085"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner2"""
2026-02-20 14:31:51,2400006144,1226022912,1272631296,2433650688,1219342336,1220792320
2026-02-20 14:32:21,2400059392,1226080256,1290272768,2433851392,1219555328,1221001216
2026-02-20 14:32:51,2400137216,1226117120,1306324992,2434007040,1221758976,1221128192
2026-02-20 14:33:21,2400481280,1226276864,1322012672,2434318336,1222197248,1221472256
2026-02-20 14:33:51,2400362496,1226379264,1338138624,2434568192,1222438912,1221922816
2026-02-20 14:34:21,2400505856,1226440704,1355980800,2434842624,1222656000,1221914624
2026-02-20 14:34:51,2402668544,1228603392,1363087360,2435035136,1222848512,1222094848
2026-02-20 14:35:21,2403532800,1231761408,1366568960,2439606272,1225396224,1228275712
2026-02-20 14:35:51,2403815424,1231994880,1263329280,2439913472,1225633792,1231028224
2026-02-20 14:36:21,2403909632,1232039936,1265508352,2440417280,1227890688,1231187968
2026-02-20 14:36:51,2406129664,1232121856,1267535872,2442174464,1228099584,1231499264
2026-02-20 14:37:21,2406191104,1234292736,1269600256,2444222464,1228316672,1231663104
2026-02-20 14:37:51,2406305792,1234632704,1271377920,2444451840,1228513280,1231925248
2026-02-20 14:38:21,2406420480,1234386944,1273552896,2444484608,1228595200,1232015360
2026-02-20 14:38:51,2406469632,1234702336,1275682816,2444562432,1228636160,1234157568
2026-02-20 14:39:21,2406481920,1234456576,1277816832,2444574720,1228689408,1234276352
2026-02-20 14:39:51,2408718336,1234485248,1279950848,2444922880,1228849152,1234411520
2026-02-20 14:40:21,2408845312,1234530304,1282191360,2446983168,1229049856,1234677760
