Time,"__name__=""node_load1"",instance=""host.docker.internal:9300"",job=""node-exporter"""
2026-02-20 14:31:51,5.54
2026-02-20 14:32:21,5.14
2026-02-20 14:32:51,4.58
2026-02-20 14:33:21,4.45
2026-02-20 14:33:51,5.24
2026-02-20 14:34:21,5.06
2026-02-20 14:34:51,4.59
2026-02-20 14:35:21,4.49
2026-02-20 14:35:51,4.5
2026-02-20 14:36:21,4.56
2026-02-20 14:36:51,4.75
2026-02-20 14:37:21,5.1
2026-02-20 14:37:51,4.83
2026-02-20 14:38:21,4.62
2026-02-20 14:38:51,4.49
2026-02-20 14:39:21,4.54
2026-02-20 14:39:51,4.55
2026-02-20 14:40:21,4.76
2026-02-20 14:40:51,4.9
2026-02-20 14:41:21,5.22
2026-02-20 14:41:51,4.95
2026-02-20 14:42:21,4.83
2026-02-20 14:42:51,5.29
2026-02-20 14:43:21,5.03
2026-02-20 14:43:51,4.59
2026-02-20 14:44:21,4.52
2026-02-20 14:44:51,4.59
2026-02-20 14:45:21,4.56
2026-02-20 14:45:51,5.12
2026-02-20 14:46:21,5.09
2026-02-20 14:46:51,4.78
2026-02-20 14:47:21,4.8
2026-02-20 14:47:51,4.48
2026-02-20 14:48:21,5.19
2026-02-20 14:48:51,5.28
2026-02-20 14:49:21,5.19
2026-02-20 14:49:51,4.73
2026-02-20 14:50:21,4.84
2026-02-20 14:50:51,4.68
2026-02-20 14:51:21,4.9
2026-02-20 14:51:51,4.7
2026-02-20 14:52:21,5.36
2026-02-20 14:52:51,5.24
2026-02-20 14:53:21,5.02
2026-02-20 14:53:51,4.98
2026-02-20 14:54:21,4.79
2026-02-20 14:54:51,4.58
2026-02-20 14:55:21,4.53
2026-02-20 14:55:51,4.6
2026-02-20 14:56:21,4.67
2026-02-20 14:56:51,4.86
2026-02-20 14:57:21,4.81
2026-02-20 14:57:51,4.73
2026-02-20 14:58:21,4.84
2026-02-20 14:58:51,4.84
2026-02-20 14:59:21,4.73
2026-02-20 14:59:51,4.77
2026-02-20 15:00:21,5.14
2026-02-20 15:00:51,5.02
2026-02-20 15:01:21,5.23
2026-02-20 15:01:51,5.13
2026-02-20 15:02:21,4.92
2026-02-20 15:02:51,4.45
2026-02-20 15:03:21,4.48
2026-02-20 15:03:51,4.43
2026-02-20 15:04:21,4.84
2026-02-20 15:04:51,4.36
2026-02-20 15:05:21,4.79
2026-02-20 15:05:51,4.74
2026-02-20 15:06:21,4.45
2026-02-20 15:06:51,4.7
2026-02-20 15:07:21,4.43
2026-02-20 15:07:51,4.38
2026-02-20 15:08:21,4.86
2026-02-20 15:08:51,4.16
2026-02-20 15:09:21,4.55
2026-02-20 15:09:51,5
2026-02-20 15:10:21,4.81
2026-02-20 15:10:51,5.91
2026-02-20 15:11:21,5.41
2026-02-20 15:11:51,5.24
2026-02-20 15:12:21,4.97
2026-02-20 15:12:51,4.72
2026-02-20 15:13:21,4.81
2026-02-20 15:13:51,4.55
2026-02-20 15:14:21,5.2
2026-02-20 15:14:51,4.98
2026-02-20 15:15:21,5.26
2026-02-20 15:15:51,5.07
2026-02-20 15:16:21,5.72
2026-02-20 15:16:51,5.74
2026-02-20 15:17:21,5.61
2026-02-20 15:17:51,5.53
2026-02-20 15:18:21,5.97
2026-02-20 15:18:51,6.13
2026-02-20 15:19:21,6.29
2026-02-20 15:19:51,5.45
2026-02-20 15:20:21,5.34
2026-02-20 15:20:51,5.41
2026-02-20 15:21:21,5.41
2026-02-20 15:21:51,5.22
2026-02-20 15:22:21,5.09
2026-02-20 15:22:51,5.16
2026-02-20 15:23:21,4.71
2026-02-20 15:23:51,5.04
2026-02-20 15:24:21,4.91
2026-02-20 15:24:51,4.64
2026-02-20 15:25:21,5.92
2026-02-20 15:25:51,5.46
2026-02-20 15:26:21,5.6
2026-02-20 15:26:51,5.32
2026-02-20 15:27:21,5.79
2026-02-20 15:27:51,5.54
2026-02-20 15:28:21,6.14
2026-02-20 15:28:51,5.91
2026-02-20 15:29:21,5.54
2026-02-20 15:29:51,4.99
2026-02-20 15:30:21,5.01
2026-02-20 15:30:51,5.01
2026-02-20 15:31:21,6.71
2026-02-20 15:31:51,6.49
2026-02-20 15:32:21,5.97
2026-02-20 15:32:51,5.41
2026-02-20 15:33:21,5.97
2026-02-20 15:33:51,5.23
2026-02-20 15:34:21,4.68
2026-02-20 15:34:51,4.54
2026-02-20 15:35:21,5.4
2026-02-20 15:35:51,5.38
2026-02-20 15:36:21,5.16
2026-02-20 15:36:51,5.41
2026-02-20 15:37:21,5.55
2026-02-20 15:37:51,5.15
2026-02-20 15:38:21,5.35
2026-02-20 15:38:51,5.2
2026-02-20 15:39:21,5.3
2026-02-20 15:39:51,4.76
2026-02-20 15:40:21,4.94
2026-02-20 15:40:51,4.88
2026-02-20 15:41:21,5.34
2026-02-20 15:41:51,5.2
2026-02-20 15:42:21,5.2
2026-02-20 15:42:51,4.9
2026-02-20 15:43:21,4.89
2026-02-20 15:43:51,4.82
2026-02-20 15:44:21,4.89
2026-02-20 15:44:51,4.97
2026-02-20 15:45:21,4.8
2026-02-20 15:45:51,4.47
2026-02-20 15:46:21,4.79
2026-02-20 15:46:51,4.53
2026-02-20 15:47:21,5.4
2026-02-20 15:47:51,5.05
