Time,"gc=""Copy"",instance=""rskj-miner1:8080"",job=""rskj-jvm"",name=""rskj-miner1""","gc=""Copy"",instance=""rskj-miner2:8080"",job=""rskj-jvm"",name=""rskj-miner2""","gc=""Copy"",instance=""rskj-miner4:8080"",job=""rskj-jvm"",name=""rskj-miner4""","gc=""Copy"",instance=""rskj-node1:8080"",job=""rskj-jvm"",name=""rskj-node1""","gc=""G1 Old Generation"",instance=""rskj-node2:8080"",job=""rskj-jvm"",name=""rskj-node2""","gc=""G1 Young Generation"",instance=""rskj-node2:8080"",job=""rskj-jvm"",name=""rskj-node2""","gc=""MarkSweepCompact"",instance=""rskj-miner1:8080"",job=""rskj-jvm"",name=""rskj-miner1""","gc=""MarkSweepCompact"",instance=""rskj-miner2:8080"",job=""rskj-jvm"",name=""rskj-miner2""","gc=""MarkSweepCompact"",instance=""rskj-miner4:8080"",job=""rskj-jvm"",name=""rskj-miner4""","gc=""MarkSweepCompact"",instance=""rskj-node1:8080"",job=""rskj-jvm"",name=""rskj-node1"""
2026-02-27 17:04:01,0.0019491195064490169,0.0005423820742724458,0.0014237529449651627,0,0,0,0,0,0,0
2026-02-27 17:04:31,0.004135663316327392,0.0017458218922675453,0.0014237529449651627,0.0014576024135184201,0,0,0,0,0,0
2026-02-27 17:05:01,0.004321960644734879,0.0012034102272919986,0.0013729278958608834,0.0014576765314078493,0,0.001322078714532716,0,0,0,0
2026-02-27 17:05:31,0.0035933421471914255,0.0011865010085258469,0.0013729278958608834,0.0015254495838912501,0,0.0013220338983051048,0,0,0,0
2026-02-27 17:06:01,0.0029323027899250524,0.0011865010085258469,0.0016780514263437156,0.0015255012966760998,0,0,0,0,0,0
2026-02-27 17:06:31,0.001983050847457642,0.001305106866218071,0.0016779661016949187,0,0,0,0,0,0,0
2026-02-27 17:07:01,0.0031355932203389614,0.001305106866218071,0.0012033694344163613,0.0022033898305084576,0,0.0016440677966101614,0,0,0,0
2026-02-27 17:07:31,0.0027796610169491774,0.0013729278958608834,0.00120338983050847,0.002203464524221143,0,0.0016440399315265763,0,0,0,0
2026-02-27 17:08:01,0.00206779661016949,0.0013729278958608834,0,0.0019322361395955996,0,0,0,0,0,0
2026-02-27 17:08:31,0.0019661016949152487,0.0008813559322033831,0.0017966101694915232,0.0019322361395955996,0,0,0,0,0,0
2026-02-27 17:09:01,0.0017458218922675602,0.000881370870692717,0.0017966710735957128,0,0,0,0,0,0,0
2026-02-27 17:09:31,0.002254275496194836,0.0009661016949152608,0.0012712079865760317,0.0015424513110836025,0,0.002135665615783576,0,0,0,0
2026-02-27 17:10:01,0.0027119103713622293,0.0019322361395955844,0.0012712295332045031,0.0015423728813559203,0,0.0021354846363744124,0,0,0,0
2026-02-27 17:10:31,0.002898354209393369,0.0009661344452354231,0.003627180121696985,0.0012373300789857349,0,0,0,0,0,0
2026-02-27 17:11:01,0.003661016949152561,0.001525475439845431,0.003627118644067804,0.0012373091069340226,0,0.003932203389830527,0,0,0,0
2026-02-27 17:11:31,0.0038136239597281554,0.001525449583891265,0.0018644067796610073,0.001881355932203401,0,0.0061356972152070395,0,0,0,0
2026-02-27 17:12:01,0.003440677966101685,0.0010169491525423662,0.0018644699820332795,0.0018813240453551747,0,0.0022033524855510755,0,0,0,0
2026-02-27 17:12:31,0.0022880968119184685,0.0010169663892608284,0.0013389830508474681,0,0,0,0,0,0,0
2026-02-27 17:13:01,0.0021696018441615694,0.00047459235906301193,0.0013390284416421,0.0018983372599535604,0,0,0,0,0,0
2026-02-27 17:13:31,0.001593220338983071,0.00047459235906301193,0,0.0018983372599535604,0,0,0,0,0,0
2026-02-27 17:14:01,0.001915319163361462,0,0.0016440399315265763,0,0,0.0012203596671130181,0,0,0,0
2026-02-27 17:14:31,0.0018479940864189134,0.0008063974195282581,0.0016574680040325946,0.0022383214297918915,0,0.001230264506868993,0,0,0,0
2026-02-27 17:15:01,0.001898362032759337,0.0008063974195282581,0,0.0022385126706652354,0,0,0,0,0,0
2026-02-27 17:15:31,0.002101730537805765,0.0005254237288135692,0.0015424513110836326,0,0,0,0,0,0,0
2026-02-27 17:16:01,0.0025085596121902382,0.0005254237288135692,0.0015423990237122848,0.0025085170935100543,0,0,0,0,0,0
2026-02-27 17:16:31,0.002288135593220305,0.0008643921289469697,0,0.0025085596121902382,0,0.0022203389830508214,0,0,0,0
2026-02-27 17:17:01,0.001661016949152525,0.0008644214308717124,0.001322101123785945,0,0,0.0034917029679475144,0,0,0,0
2026-02-27 17:17:31,0.0020509517433090194,0.0007966101694915204,0.0013221235337988915,0.0022373639784399415,0,0,0,0,0,0
2026-02-27 17:18:01,0.002186440677966124,0.0007966506771530706,0.002220376616552827,0.0022373639784399415,0,0,0,0,0,0
2026-02-27 17:18:31,0.001694886527346958,0,0.002220376616552827,0,0,0,0,0,0,0
2026-02-27 17:19:01,0.002016949152542369,0.0009661344452354231,0,0.001983017236995968,0,0.0008983355367978413,0,0,0,0
2026-02-27 17:19:31,0.002016983338700652,0.0009661016949152457,0.001610224075392397,0.001983118071799029,0,0.0008983203105137215,0,0,0,0
2026-02-27 17:20:01,0.0018645015848263373,0.0008135731114086687,0.001610224075392397,0,0,0,0,0,0,0
2026-02-27 17:20:31,0.001796701527196326,0.0008135731114086687,0,0.0027797552459405653,0,0,0,0,0,0
2026-02-27 17:21:01,0.001627173802501781,0,0.0033051967863317144,0.0027796610169491774,0,0,0,0,0,0
2026-02-27 17:21:31,0.0016779376620735275,0.0013220563060390904,0.0033052528094648626,0,0,0.0019492186175802603,0,0,0,0
2026-02-27 17:22:01,0.0017797213464863287,0.0013220114913306603,0.0017966406210274731,0.00230512381565788,0,0.001949185579416604,0,0,0,0
2026-02-27 17:22:31,0.0014746262585172334,0.0011017509364883026,0.0017966406210274731,0.002305162886877508,0,0,0,0,0,0
2026-02-27 17:23:01,0.0015933013543061713,0.0011017322621105865,0,0,0,0,0,0,0,0
2026-02-27 17:23:31,0.0019152542372881279,0.0006779775928405573,0.002271147946644978,0.001881355932203401,0,0,0,0,0,0
2026-02-27 17:24:01,0.0015932473431752683,0.0006779546109387983,0.002271224936015871,0.0018813878201325558,0,0,0,0,0,0
2026-02-27 17:24:31,0.001949185579416574,0,0,0,0,0.0012712510805634365,0,0,0,0
2026-02-27 17:25:01,0.0012881355932203476,0.0011695311705481532,0,0.0017118934219223902,0,0.0012712079865760618,0,0,0,0
2026-02-27 17:25:31,0.0003898371158833148,0.0011695113476499594,0.0015254754398454158,0.0017118934219223902,0,0,0,0,0,0
2026-02-27 17:26:01,0.0003898437235160461,0,0.0015254495838912501,0,0,0,0,0,0,0
2026-02-27 17:26:31,0,0.0008813559322033831,0,0,0,0,0,0,0,0
2026-02-27 17:27:01,0.00030509508796909524,0.0008813858096884572,0.00133900574586011,0.001983017236995998,0,0.0020508126980898402,0,0,0,0
2026-02-27 17:27:31,0.0012712295332045031,0.0010169491525423814,0.002593308247737219,0.0017457923015644294,0,0.0020508126980898402,0,0,0,0
2026-02-27 17:28:01,0.0016441235296111953,0.0010508652689028525,0.0012542798060951191,0.0017458218922675303,0,0,0,0,0,0
