Time,"__name__=""dockerstats_memory_usage_bytes"",id=""a4b8089959be"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner2""","__name__=""dockerstats_memory_usage_bytes"",id=""d55e6260376b"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node1""","__name__=""dockerstats_memory_usage_bytes"",id=""e891e460902c"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner1""","__name__=""dockerstats_memory_usage_bytes"",id=""fe4bb0279bea"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node2"""
2026-03-18 19:56:48,5891887104,2844708864,5850255360,2817036288
2026-03-18 19:57:18,5904834560,2849349632,5862912000,2820648960
2026-03-18 19:57:48,5917741056,2837008384,5880909824,2826989568
2026-03-18 19:58:18,6002454528,2842841088,5961084928,2830827520
2026-03-18 19:58:48,6009589760,2862870528,5966606336,2837274624
2026-03-18 19:59:18,6025928704,2865381376,5981122560,2840166400
2026-03-18 19:59:48,6016708608,2869420032,5971587072,2843557888
2026-03-18 20:00:18,6085251072,2882551808,6039556096,2856108032
2026-03-18 20:00:48,6052483072,2885578752,6005932032,2859327488
2026-03-18 20:01:18,6037655552,2890715136,5986942976,2864197632
2026-03-18 20:01:48,6016036864,2892689408,6071418880,2867871744
2026-03-18 20:02:18,6083747840,2896195584,6027915264,2872868864
2026-03-18 20:02:48,6050451456,2899480576,5999722496,2878992384
2026-03-18 20:03:18,6020640768,2887348224,6072418304,2881265664
2026-03-18 20:03:48,6099906560,2906898432,6043009024,2889986048
2026-03-18 20:04:18,6086336512,2910986240,6020300800,2894536704
2026-03-18 20:04:48,6069166080,2914095104,6004166656,2898952192
2026-03-18 20:05:18,6132695040,2919739392,6070083584,2906804224
2026-03-18 20:05:48,6102773760,2923630592,6040600576,2910388224
2026-03-18 20:06:18,6081376256,2927071232,6017253376,2916601856
2026-03-18 20:06:48,6070222848,2932232192,6107951104,2921189376
2026-03-18 20:07:18,6138155008,2935025664,6067273728,2929086464
2026-03-18 20:07:48,6051889152,2937819136,6019469312,2935521280
2026-03-18 20:08:18,6016069632,2941280256,6100578304,2940403712
2026-03-18 20:08:48,6115627008,2944774144,6072799232,2945159168
