Time,"gc=""Copy"",instance=""rskj-miner1:8080"",job=""rskj-jvm"",name=""rskj-miner1""","gc=""Copy"",instance=""rskj-miner2:8080"",job=""rskj-jvm"",name=""rskj-miner2""","gc=""Copy"",instance=""rskj-miner3:8080"",job=""rskj-jvm"",name=""rskj-miner3""","gc=""Copy"",instance=""rskj-miner4:8080"",job=""rskj-jvm"",name=""rskj-miner4""","gc=""Copy"",instance=""rskj-node1:8080"",job=""rskj-jvm"",name=""rskj-node1""","gc=""Copy"",instance=""rskj-node2:8080"",job=""rskj-jvm"",name=""rskj-node2""","gc=""MarkSweepCompact"",instance=""rskj-miner1:8080"",job=""rskj-jvm"",name=""rskj-miner1""","gc=""MarkSweepCompact"",instance=""rskj-miner2:8080"",job=""rskj-jvm"",name=""rskj-miner2""","gc=""MarkSweepCompact"",instance=""rskj-miner3:8080"",job=""rskj-jvm"",name=""rskj-miner3""","gc=""MarkSweepCompact"",instance=""rskj-miner4:8080"",job=""rskj-jvm"",name=""rskj-miner4""","gc=""MarkSweepCompact"",instance=""rskj-node1:8080"",job=""rskj-jvm"",name=""rskj-node1""","gc=""MarkSweepCompact"",instance=""rskj-node2:8080"",job=""rskj-jvm"",name=""rskj-node2"""
2026-02-13 14:58:38,0.002491525423728814,0.0037627118644067794,0.001271143351072846,0.002949152542372884,0.0017966710735957147,0.0022034271767318076,0,0,0,0,0,0
2026-02-13 14:59:08,0.0025593220338983053,0.0018474576271186437,0.0031864406779661025,0.0029490525744890026,0.0017966710735957147,0.0030169491525423755,0,0,0,0,0,0
2026-02-13 14:59:38,0.002491525423728814,0.0016949152542372896,0.0019152542372881355,0.0022541990813715026,0.0026271631722571574,0.0030169491525423755,0,0,0,0,0,0
2026-02-13 15:00:08,0.0021694547550041507,0.0016948290764876377,0.0021355208298023775,0.002254237288135593,0.0026271186440677973,0.0017287549574590668,0,0,0,0,0,0
2026-02-13 15:00:38,0.0018474889404905166,0.0011016949152542364,0.0021355570244572107,0.0008982746347581427,0.0018644067796610149,0.0017288135593220317,0,0,0,0,0,0
2026-02-13 15:01:08,0.002694869578481721,0.0011016949152542364,0.0009491686299767802,0.0019999661022694513,0.001864343581573504,0.0023898710147629626,0,0,0,0,0,0
2026-02-13 15:01:38,0.0034576271186440672,0.0013898305084745774,0.0009491203688010585,0.0011016949152542364,0.002050916980236618,0.0023898305084745766,0,0,0,0,0,0
2026-02-13 15:02:08,0.0026779207132082493,0.0025423728813559346,0.0015423467398857642,0.005203389830508474,0.0020507779397308567,0.0013898540653231423,0,0,0,0,0,0
2026-02-13 15:02:38,0.0034067219199674596,0.001152522838595957,0.00596589946103522,0.009321875900408469,0.0033897156028609233,0.0013898069524245365,0,0,0,0,0,0
2026-02-13 15:03:08,0.004084745762711866,0.0009491525423728785,0.004423728813559324,0.0041185742614531975,0.003389830508474579,0.0011186061489441047,0,0,0,0,0,0
2026-02-13 15:03:38,0.0037966101694915213,0.0025085170935100582,0.0013559092218775927,0.0012881355932203402,0.0053729724232614105,0.0011186630281869196,0,0,0,0,0,0
2026-02-13 15:04:08,0.002389790003559262,0.0015593484635332818,0.001355932203389828,0.0033220902049187267,0.0053729724232614105,0.00230508474576271,0,0,0,0,0,0
2026-02-13 15:04:38,0.001593220338983056,0.0013389603566041246,0.005406688022236914,0.002033863832816391,0.0017457331231673999,0.002305123815657891,0,0,0,0,0,0
2026-02-13 15:05:08,0.001559295605159236,0.0013389603566041246,0.005406688022236914,0.0016440120673875457,0.0017456739487822612,0.002288096811918442,0,0,0,0,0,0
2026-02-13 15:05:38,0.0010508296469551336,0.0020678316581636998,0.004762631141845052,0.0016440399315265839,0.0018813878201325482,0.0022881355932203393,0,0,0,0,0,0
2026-02-13 15:06:08,0.0008474432636734941,0.0020677966101694933,0.004762711864406778,0.0013389603566041285,0.001881324045355167,0.0012542372881355944,0,0,0,0,0,0
2026-02-13 15:06:38,0.0007457627118644,0.0009152387247673739,0.0013729046255021265,0.0013390057458601025,0.0014237288135593234,0.001254216030236777,0,0,0,0,0,0
2026-02-13 15:07:08,0.0010338632588725797,0.0019999661022694513,0.0026779207132082493,0.0019830844590586283,0.0034237868438448103,0.001254216030236777,0,0,0,0,0,0
2026-02-13 15:07:38,0.0018983050847457643,0.0021694547550041546,0.0013050405071014534,0.0036949152542372875,0.001999999999999998,0.0032033355366858163,0,0,0,0,0,0
2026-02-13 15:08:08,0.0022881743758368825,0.0025592786562939653,0.0015084745762711858,0.0032203389830508466,0.0021525058897306866,0.0019491525423728775,0,0,0,0,0,0
2026-02-13 15:08:38,0.0023728813559322054,0.0014745512787918882,0.0026949152542372922,0.0015084490093388242,0.003949085608718498,0.001220318299689837,0,0,0,0,0,0
2026-02-13 15:09:08,0.0029830508474576224,0.0011525228385959494,0.004186369722547081,0.0012542585467550272,0.0017965797189878115,0.0012203389830508485,0,0,0,0,0,0
2026-02-13 15:09:38,0.0025424590664090293,0.0021864036202776226,0.0029999491534041804,0.0016609606454018482,0.0014067796610169447,0.0011356124680079354,0,0,0,0,0,0
2026-02-13 15:10:08,0.0016948865273469958,0.003220338983050854,0.001644067796610169,0.0040508474576271165,0.0038474576271186416,0.002627074117387845,0,0,0,0,0,0
2026-02-13 15:10:38,0.001457577709230193,0.0021864406779661017,0.004084814996864348,0.0023898710147629626,0.0024407193342260063,0.001491550704249226,0,0,0,0,0,0
2026-02-13 15:11:08,0.0020847810979847154,0.002254237288135593,0.002440636599379666,0.005016864120947108,0.0014915001440653562,0.0017288135593220317,0,0,0,0,0,0
2026-02-13 15:11:38,0.00215254237288136,0.0036610790013390016,0.0013729278958608758,0.00647490550366968,0.001491550704249226,0.0017288428617434173,0,0,0,0,0,0
2026-02-13 15:12:08,0.0021355570244572107,0.0025422867021456888,0.003135593220338984,0.0014576271186440652,0.0012711648955102486,0.0012711433510728403,0,0,0,0,0,0
