Time,"__name__=""jvm_memory_bytes_used"",area=""heap"",instance=""rskj-miner1:8080"",job=""rskj-jvm"",name=""rskj-miner1""","__name__=""jvm_memory_bytes_used"",area=""heap"",instance=""rskj-miner2:8080"",job=""rskj-jvm"",name=""rskj-miner2""","__name__=""jvm_memory_bytes_used"",area=""heap"",instance=""rskj-miner3:8080"",job=""rskj-jvm"",name=""rskj-miner3""","__name__=""jvm_memory_bytes_used"",area=""heap"",instance=""rskj-miner4:8080"",job=""rskj-jvm"",name=""rskj-miner4""","__name__=""jvm_memory_bytes_used"",area=""heap"",instance=""rskj-node1:8080"",job=""rskj-jvm"",name=""rskj-node1""","__name__=""jvm_memory_bytes_used"",area=""heap"",instance=""rskj-node2:8080"",job=""rskj-jvm"",name=""rskj-node2""","__name__=""jvm_memory_bytes_max"",area=""heap"",instance=""rskj-miner1:8080"",job=""rskj-jvm"",name=""rskj-miner1""","__name__=""jvm_memory_bytes_max"",area=""heap"",instance=""rskj-miner2:8080"",job=""rskj-jvm"",name=""rskj-miner2""","__name__=""jvm_memory_bytes_max"",area=""heap"",instance=""rskj-miner3:8080"",job=""rskj-jvm"",name=""rskj-miner3""","__name__=""jvm_memory_bytes_max"",area=""heap"",instance=""rskj-miner4:8080"",job=""rskj-jvm"",name=""rskj-miner4""","__name__=""jvm_memory_bytes_max"",area=""heap"",instance=""rskj-node1:8080"",job=""rskj-jvm"",name=""rskj-node1""","__name__=""jvm_memory_bytes_max"",area=""heap"",instance=""rskj-node2:8080"",job=""rskj-jvm"",name=""rskj-node2"""
2026-02-13 14:58:38,506247008,110424104,565536496,400601504,252157544,732875360,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-13 14:59:08,438975240,574972448,142646648,833949696,628185240,255477488,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-13 14:59:38,616878800,264137704,680535784,552298072,249088944,726826024,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-13 15:00:08,529814728,585571576,99358064,854839000,529329728,131103280,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-13 15:00:38,734230760,382392608,677834176,642645416,200882224,671893688,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-13 15:01:08,662118248,709954336,102247672,85026296,478397072,78708184,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-13 15:01:38,835151176,515197760,715185688,757368232,170138208,643494648,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-13 15:02:08,939499304,137913000,329561152,406300992,576371776,149141912,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-13 15:02:38,520445672,906584200,199398992,315673832,407568032,815842952,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-13 15:03:08,743223400,464387512,600298800,725479064,745136472,284688232,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-13 15:03:38,668889712,283080088,354737880,520523056,455727040,820858824,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-13 15:04:08,799861704,782348384,792902760,162242704,864815840,358939080,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-13 15:04:38,754480640,533906512,520175416,738539696,535939200,859883848,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-13 15:05:08,286760632,915087280,843936320,249819248,856278440,321395192,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-13 15:05:38,850593120,614685488,471072152,798669504,492644616,793532840,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-13 15:06:08,245531072,889077752,702347456,189584024,741455024,174658144,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-13 15:06:38,940745240,813600536,565723336,921549752,543122912,798137424,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-13 15:07:08,884612776,506176768,203721328,597192544,133599472,359247408,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-13 15:07:38,564462936,470472968,955134192,550206600,866960128,197080496,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-13 15:08:08,253472680,133249128,574898744,207122648,453346944,622586296,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-13 15:08:38,407263320,852455152,424433384,963619624,214891520,402706720,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-13 15:09:08,228736288,680401048,195911520,772977608,784470312,943444384,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-13 15:09:38,134282424,472818760,804193688,560454360,501381696,633123336,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-13 15:10:08,820987760,187775624,449970392,238253152,151122560,259045544,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-13 15:10:38,855407112,765157784,175005440,814298752,652796336,748365712,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-13 15:11:08,438265632,373830848,587431704,414111232,203134552,276575560,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-13 15:11:38,211970920,285549808,430012048,271122080,820842672,897973488,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-13 15:12:08,773578560,116290448,217398248,912406688,519592360,595153400,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
