"Time","rskj-node1"
2026-01-30 00:48:00,-2.75 KiB
2026-01-30 00:52:00,-2.75 KiB
2026-01-30 00:56:00,-2.79 KiB
2026-01-30 01:00:00,-2.80 KiB
2026-01-30 01:04:00,-2.83 KiB
2026-01-30 01:08:00,-2.83 KiB
2026-01-30 01:12:00,-2.83 KiB
2026-01-30 01:16:00,-2.83 KiB
2026-01-30 01:20:00,-2.82 KiB
2026-01-30 01:24:00,-2.80 KiB
2026-01-30 01:28:00,-2.79 KiB
2026-01-30 01:32:00,-2.77 KiB
2026-01-30 01:36:00,-2.77 KiB
2026-01-30 01:40:00,-2.78 KiB
2026-01-30 01:44:00,-2.81 KiB
2026-01-30 01:48:00,-2.80 KiB
2026-01-30 01:52:00,-2.78 KiB
2026-01-30 01:56:00,-2.80 KiB
2026-01-30 02:00:00,-2.81 KiB
2026-01-30 02:04:00,-2.82 KiB
2026-01-30 02:08:00,-2.79 KiB
2026-01-30 02:12:00,-2.80 KiB
2026-01-30 02:16:00,-2.81 KiB
2026-01-30 02:20:00,-2.79 KiB
2026-01-30 02:24:00,-2.80 KiB
2026-01-30 02:28:00,-2.78 KiB
2026-01-30 02:32:00,-2.78 KiB
2026-01-30 02:36:00,-2.77 KiB
2026-01-30 02:40:00,-2.79 KiB
2026-01-30 02:44:00,-2.76 KiB
2026-01-30 02:48:00,-2.78 KiB
2026-01-30 02:52:00,-2.77 KiB
2026-01-30 02:56:00,-2.78 KiB
2026-01-30 03:00:00,-2.77 KiB
2026-01-30 03:04:00,-2.81 KiB
2026-01-30 03:08:00,-2.80 KiB
2026-01-30 03:12:00,-2.79 KiB
2026-01-30 03:16:00,-2.80 KiB
2026-01-30 03:20:00,-2.80 KiB
2026-01-30 03:24:00,-2.78 KiB
2026-01-30 03:28:00,-2.76 KiB
2026-01-30 03:32:00,-2.72 KiB
2026-01-30 03:36:00,-2.72 KiB
2026-01-30 03:40:00,-2.73 KiB
2026-01-30 03:44:00,-2.73 KiB
2026-01-30 03:48:00,-2.73 KiB
2026-01-30 03:52:00,-2.70 KiB
2026-01-30 03:56:00,-2.72 KiB
2026-01-30 04:00:00,-2.72 KiB
2026-01-30 04:04:00,-2.73 KiB
2026-01-30 04:08:00,-2.77 KiB
2026-01-30 04:12:00,-2.73 KiB
2026-01-30 04:16:00,-2.73 KiB
2026-01-30 04:20:00,-2.73 KiB
2026-01-30 04:24:00,-2.71 KiB
2026-01-30 04:28:00,-2.70 KiB
2026-01-30 04:32:00,-2.72 KiB
2026-01-30 04:36:00,-2.70 KiB
2026-01-30 04:40:00,-2.70 KiB
2026-01-30 04:44:00,-2.72 KiB
2026-01-30 04:48:00,-2.76 KiB
2026-01-30 04:52:00,-2.73 KiB
2026-01-30 04:56:00,-2.72 KiB
2026-01-30 05:00:00,-2.71 KiB
2026-01-30 05:04:00,-2.75 KiB
2026-01-30 05:08:00,-2.73 KiB
2026-01-30 05:12:00,-2.72 KiB
2026-01-30 05:16:00,-2.69 KiB
2026-01-30 05:20:00,-2.67 KiB
2026-01-30 05:24:00,-2.69 KiB
2026-01-30 05:28:00,-2.75 KiB
2026-01-30 05:32:00,-2.73 KiB
2026-01-30 05:36:00,-2.75 KiB
2026-01-30 05:40:00,-2.75 KiB
2026-01-30 05:44:00,-2.71 KiB
2026-01-30 05:48:00,-2.74 KiB
2026-01-30 05:52:00,-2.79 KiB
2026-01-30 05:56:00,-2.77 KiB
2026-01-30 06:00:00,-2.74 KiB
2026-01-30 06:04:00,-2.74 KiB
2026-01-30 06:08:00,-2.75 KiB
2026-01-30 06:12:00,-2.82 KiB
2026-01-30 06:16:00,-2.82 KiB
2026-01-30 06:20:00,-2.82 KiB
2026-01-30 06:24:00,-2.81 KiB
2026-01-30 06:28:00,-2.81 KiB
2026-01-30 06:32:00,-2.83 KiB
2026-01-30 06:36:00,-2.79 KiB
2026-01-30 06:40:00,-2.79 KiB
2026-01-30 06:44:00,-2.78 KiB
2026-01-30 06:48:00,-2.76 KiB
2026-01-30 06:52:00,-2.74 KiB
2026-01-30 06:56:00,-2.71 KiB
2026-01-30 07:00:00,-2.68 KiB
2026-01-30 07:04:00,-2.69 KiB
2026-01-30 07:08:00,-2.73 KiB
2026-01-30 07:12:00,-2.70 KiB
2026-01-30 07:16:00,-2.69 KiB
2026-01-30 07:20:00,-2.72 KiB
2026-01-30 07:24:00,-2.74 KiB
2026-01-30 07:28:00,-2.78 KiB
2026-01-30 07:32:00,-2.78 KiB
2026-01-30 07:36:00,-2.79 KiB
2026-01-30 07:40:00,-2.76 KiB
2026-01-30 07:44:00,-2.80 KiB
2026-01-30 07:48:00,-2.77 KiB
2026-01-30 07:52:00,-2.76 KiB
2026-01-30 07:56:00,-2.79 KiB
2026-01-30 08:00:00,-2.79 KiB
2026-01-30 08:04:00,-2.77 KiB
2026-01-30 08:08:00,-2.75 KiB
2026-01-30 08:12:00,-2.75 KiB
2026-01-30 08:16:00,-2.75 KiB
2026-01-30 08:20:00,-2.75 KiB
2026-01-30 08:24:00,-2.73 KiB
2026-01-30 08:28:00,-2.74 KiB
2026-01-30 08:32:00,-2.76 KiB
2026-01-30 08:36:00,-2.78 KiB
2026-01-30 08:40:00,-2.76 KiB
2026-01-30 08:44:00,-2.73 KiB
2026-01-30 08:48:00,-2.71 KiB
2026-01-30 08:52:00,-2.73 KiB
2026-01-30 08:56:00,-2.73 KiB
2026-01-30 09:00:00,-2.69 KiB
2026-01-30 09:04:00,-2.67 KiB
2026-01-30 09:08:00,-2.69 KiB
2026-01-30 09:12:00,-2.73 KiB
2026-01-30 09:16:00,-2.76 KiB
2026-01-30 09:20:00,-2.77 KiB
2026-01-30 09:24:00,-2.81 KiB
2026-01-30 09:28:00,-2.82 KiB
2026-01-30 09:32:00,-2.80 KiB
2026-01-30 09:36:00,-2.81 KiB
2026-01-30 09:40:00,-2.83 KiB
2026-01-30 09:44:00,-2.84 KiB
2026-01-30 09:48:00,-2.86 KiB
2026-01-30 09:52:00,-2.84 KiB
2026-01-30 09:56:00,-2.81 KiB
2026-01-30 10:00:00,-2.81 KiB
2026-01-30 10:04:00,-2.80 KiB
2026-01-30 10:08:00,-2.79 KiB
2026-01-30 10:12:00,-2.76 KiB
2026-01-30 10:16:00,-2.72 KiB
2026-01-30 10:20:00,-2.72 KiB
2026-01-30 10:24:00,-2.70 KiB
2026-01-30 10:28:00,-2.74 KiB
2026-01-30 10:32:00,-2.75 KiB
2026-01-30 10:36:00,-2.72 KiB
2026-01-30 10:40:00,-2.73 KiB
2026-01-30 10:44:00,-2.73 KiB
2026-01-30 10:48:00,-2.75 KiB
2026-01-30 10:52:00,-2.76 KiB
2026-01-30 10:56:00,-2.76 KiB
2026-01-30 11:00:00,-2.75 KiB
2026-01-30 11:04:00,-2.76 KiB
2026-01-30 11:08:00,-2.80 KiB
2026-01-30 11:12:00,-2.76 KiB
2026-01-30 11:16:00,-2.78 KiB
2026-01-30 11:20:00,-2.77 KiB
2026-01-30 11:24:00,-2.75 KiB
2026-01-30 11:28:00,-2.74 KiB
2026-01-30 11:32:00,-2.73 KiB
2026-01-30 11:36:00,-2.68 KiB
2026-01-30 11:40:00,-2.68 KiB
2026-01-30 11:44:00,-2.69 KiB
2026-01-30 11:48:00,-2.65 KiB
2026-01-30 11:52:00,-2.64 KiB
2026-01-30 11:56:00,-2.67 KiB
2026-01-30 12:00:00,-2.72 KiB
2026-01-30 12:04:00,-2.74 KiB
2026-01-30 12:08:00,-2.79 KiB
2026-01-30 12:12:00,-2.77 KiB
2026-01-30 12:16:00,-2.80 KiB
2026-01-30 12:20:00,-2.82 KiB
2026-01-30 12:24:00,-2.81 KiB
2026-01-30 12:28:00,-2.74 KiB
2026-01-30 12:32:00,-2.70 KiB
2026-01-30 12:36:00,-2.69 KiB
2026-01-30 12:40:00,-2.69 KiB
2026-01-30 12:44:00,-2.69 KiB
2026-01-30 12:48:00,-2.71 KiB
2026-01-30 12:52:00,-2.73 KiB
2026-01-30 12:56:00,-2.72 KiB
2026-01-30 13:00:00,-2.74 KiB
2026-01-30 13:04:00,-2.77 KiB
2026-01-30 13:08:00,-2.78 KiB
2026-01-30 13:12:00,-2.80 KiB
2026-01-30 13:16:00,-2.81 KiB
2026-01-30 13:20:00,-2.80 KiB
2026-01-30 13:24:00,-2.80 KiB
2026-01-30 13:28:00,-2.78 KiB
2026-01-30 13:32:00,-2.78 KiB
2026-01-30 13:36:00,-2.77 KiB
2026-01-30 13:40:00,-2.73 KiB
2026-01-30 13:44:00,-2.72 KiB
2026-01-30 13:48:00,-2.73 KiB
2026-01-30 13:52:00,-2.74 KiB
2026-01-30 13:56:00,-2.79 KiB
2026-01-30 14:00:00,-2.77 KiB
2026-01-30 14:04:00,-2.80 KiB
2026-01-30 14:08:00,-2.82 KiB
2026-01-30 14:12:00,-2.82 KiB
2026-01-30 14:16:00,-2.81 KiB
2026-01-30 14:20:00,-2.83 KiB
2026-01-30 14:24:00,-2.78 KiB
2026-01-30 14:28:00,-2.76 KiB
2026-01-30 14:32:00,-2.74 KiB
2026-01-30 14:36:00,-2.69 KiB
2026-01-30 14:40:00,-2.68 KiB
2026-01-30 14:44:00,-2.63 KiB
2026-01-30 14:48:00,-2.62 KiB
2026-01-30 14:52:00,-2.65 KiB
2026-01-30 14:56:00,-2.69 KiB
2026-01-30 15:00:00,-2.73 KiB
2026-01-30 15:04:00,-2.76 KiB
2026-01-30 15:08:00,-2.80 KiB
2026-01-30 15:12:00,-2.80 KiB
2026-01-30 15:16:00,-2.80 KiB
2026-01-30 15:20:00,-2.80 KiB
2026-01-30 15:24:00,-2.79 KiB
2026-01-30 15:28:00,-2.72 KiB
2026-01-30 15:32:00,-2.70 KiB
2026-01-30 15:36:00,-2.70 KiB
2026-01-30 15:40:00,-2.71 KiB
