Time,"__name__=""jvm_memory_bytes_used"",area=""heap"",instance=""rskj-miner1:8080"",job=""rskj-jvm"",name=""rskj-miner1""","__name__=""jvm_memory_bytes_used"",area=""heap"",instance=""rskj-miner2:8080"",job=""rskj-jvm"",name=""rskj-miner2""","__name__=""jvm_memory_bytes_used"",area=""heap"",instance=""rskj-miner3:8080"",job=""rskj-jvm"",name=""rskj-miner3""","__name__=""jvm_memory_bytes_used"",area=""heap"",instance=""rskj-miner4:8080"",job=""rskj-jvm"",name=""rskj-miner4""","__name__=""jvm_memory_bytes_used"",area=""heap"",instance=""rskj-node1:8080"",job=""rskj-jvm"",name=""rskj-node1""","__name__=""jvm_memory_bytes_used"",area=""heap"",instance=""rskj-node2:8080"",job=""rskj-jvm"",name=""rskj-node2""","__name__=""jvm_memory_bytes_max"",area=""heap"",instance=""rskj-miner1:8080"",job=""rskj-jvm"",name=""rskj-miner1""","__name__=""jvm_memory_bytes_max"",area=""heap"",instance=""rskj-miner2:8080"",job=""rskj-jvm"",name=""rskj-miner2""","__name__=""jvm_memory_bytes_max"",area=""heap"",instance=""rskj-miner3:8080"",job=""rskj-jvm"",name=""rskj-miner3""","__name__=""jvm_memory_bytes_max"",area=""heap"",instance=""rskj-miner4:8080"",job=""rskj-jvm"",name=""rskj-miner4""","__name__=""jvm_memory_bytes_max"",area=""heap"",instance=""rskj-node1:8080"",job=""rskj-jvm"",name=""rskj-node1""","__name__=""jvm_memory_bytes_max"",area=""heap"",instance=""rskj-node2:8080"",job=""rskj-jvm"",name=""rskj-node2"""
2026-02-19 04:06:23,2019363344,1871072768,1910073896,2086863104,1576381992,2075846512,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-19 04:06:53,1872706504,1920259240,1813577024,2155742368,1339959824,1903858392,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-19 04:07:23,2015414936,2522350216,2421377984,1771104216,1479509144,2117558880,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-19 04:07:53,1865765600,2265361536,2048033784,2277082832,1967320984,1822522480,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-19 04:08:23,2376823392,1788226072,2485903424,1842346616,1346254608,2055138216,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-19 04:08:53,2529577552,2543559248,2351387128,2563096408,2053455000,1956459456,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-19 04:09:23,2200619424,2524496096,2287029256,1771777576,1693531680,1592526448,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-19 04:09:53,1827701280,2580470312,2255720352,1783731992,1443488520,2292347720,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-19 04:10:23,2396347808,1842252424,2299618064,1856715384,1519386816,2351153192,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-19 04:10:53,2143712464,1846033216,2287373968,1841725768,2205173704,2167511768,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-19 04:11:23,2138824664,2184064208,2543061120,2144951656,1946149200,1915361584,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-19 04:11:53,2213120184,2614485784,2041654600,2429581416,1926300400,1892928760,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-19 04:12:23,2027443400,1954222488,2403468424,1925297472,1729775112,1694449776,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-19 04:12:53,2211146640,2489783912,1975265920,2380999528,1823888544,1716784736,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-19 04:13:23,1812646200,2396252384,1811239512,2220762760,1783357560,1685079648,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-19 04:13:53,2363260288,2353332904,2613133000,2166872376,1987781064,1921691048,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-19 04:14:23,1912796472,2552891672,2114270752,2493444040,1567049816,2219504576,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-19 04:14:53,1938345544,2391510632,2706972520,2301636768,1793634568,2457670584,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-19 04:15:23,2219647880,2379567000,2656199824,2230271992,2224603592,2037644256,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-19 04:15:53,2025506200,1966525832,2182362384,2651819144,2225531328,2073014208,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-19 04:16:23,2234774616,1977765840,2172951192,2607303896,1809578256,1657489112,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-19 04:16:53,2096985352,2508066488,2668002064,2228706136,2287882760,2112419256,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-19 04:17:23,2327183088,2518345272,2614103704,2199208888,1868504712,1694362264,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-19 04:17:53,2689098144,2615056648,2648204912,2235629520,2341536768,2142708400,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-19 04:18:23,2523796568,2278097160,2047016968,2650941528,2178800032,1975227224,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-19 04:18:53,2483063728,2765199176,2511180432,2326405944,1948628984,1845010376,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
2026-02-19 04:19:23,2368214824,2508715496,2262646320,2054014720,1954592304,1850194536,3113877504,3113877504,3113877504,3113877504,3113877504,3113877504
